"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Efhd2",1.30120759149136e-36,-2.36198864569805,0.917,1,2.27399038689029e-32
"Hs3st4",6.61113017611405e-33,-3.76799793640108,0.217,0.941,1.15536110957769e-28
"Cck",1.19337906395401e-31,3.76046248341413,0.983,0.549,2.08554925216603e-27
"C1ql3",4.00938055389975e-31,3.30573906028747,1,0.471,7.0067934559952e-27
"Rprm",1.36801401358756e-30,-4.74092712836354,0.283,0.98,2.39074129014561e-26
"Nptxr",4.53564382923608e-30,2.90947059120703,1,0.667,7.92649115597297e-26
"Nxph3",3.53260731286968e-27,-3.14151863026681,0.083,0.961,6.17358453997106e-23
"Sema5a",1.78811968215648e-25,-3.21310286739149,0.033,0.922,3.12491795653667e-21
"Trbc2",3.62538015120897e-24,-2.76641066460881,0.2,1,6.3357143522528e-20
"mt-Co3",5.04369936987347e-24,1.84422178192177,1,1,8.81436901879087e-20
"Pcp4",6.42847678166142e-24,-3.00697946991691,0.583,1,1.12344060236315e-19
"Hsp90ab1",6.55738435716572e-24,-1.61711156906072,1,1,1.14596849025828e-19
"Adora1",6.99335060687602e-24,-1.96002503118868,0.7,1,1.22215795205765e-19
"mt-Cytb",8.32732534579308e-24,1.55251463115414,1,1,1.4552833774308e-19
"mt-Co2",1.27887376409761e-23,1.32473173187573,1,1,2.23495979013698e-19
"Foxp2",1.41138366878434e-23,-3.19203872921278,0.15,0.922,2.46653409956751e-19
"Tle4",2.19502390169075e-23,-2.59381486399677,0.3,0.922,3.83602377059476e-19
"mt-Atp6",2.84410851833761e-23,1.28203427654311,1,1,4.97036404664681e-19
"mt-Co1",4.73159079714163e-23,1.0217212913189,1,1,8.26892807708471e-19
"Arhgap25",1.34297560993502e-22,-1.81798763358697,0.05,0.922,2.34698417592245e-18
"Prss35",9.38548031865979e-22,-1.82308244816375,0.05,0.902,1.64020654048899e-17
"mt-Nd1",1.34202813604303e-21,1.35330400614731,1,1,2.3453283705488e-17
"Plcb4",2.13681281916616e-21,-2.84281487722808,0.283,0.961,3.73429408277478e-17
"Syt6",2.69881888710632e-21,-2.70898748349492,0.067,0.902,4.71645588710701e-17
"Sla",4.8623620181003e-21,-2.20325180086533,0.05,0.882,8.49746386283209e-17
"Ncald",5.46834142191864e-21,-1.38296457486737,0.967,1,9.55647346894502e-17
"mt-Nd4",1.14781736603983e-20,0.906742123286263,1,1,2.00592562889121e-16
"Tbr1",1.24437881968916e-20,-1.5912938841694,0.783,1,2.17467642528878e-16
"Mgll",1.36748597530951e-20,-2.04032315247287,0.317,0.98,2.3898184904509e-16
"Crym",1.968283365319e-20,-2.40465674244337,0.683,0.98,3.43977200923149e-16
"Ddah1",2.13550722265323e-20,-2.93430412813869,0.067,0.863,3.73201242230878e-16
"Syt17",4.62604936835214e-20,2.83304652443518,0.867,0.118,8.0844838761322e-16
"Nrip3",5.0818718186794e-20,-2.60495769889062,0.333,0.98,8.88107919032412e-16
"Pitpnc1",7.56639582342975e-20,-2.48027721642953,0.05,0.863,1.32230333410258e-15
"Cnr1",2.76838700610779e-19,2.86740964735702,0.95,0.176,4.83803313187397e-15
"Rnf152",6.04331708003826e-19,-2.28043726735756,0.033,0.824,1.05613009290749e-14
"Rtn4rl1",6.6198277684968e-19,2.04099159367638,0.867,0.059,1.1568811008225e-14
"Rph3a",7.3585205352526e-19,-1.8374722843654,0.683,0.98,1.28597504874074e-14
"Glul",1.3151870027951e-18,-2.15988859090933,0.367,0.98,2.29842080608472e-14
"Ppp1r1b",1.37620875259336e-18,-2.29685970533905,0.183,0.902,2.40506241603216e-14
"3110035E14Rik",1.38523477491506e-18,-1.62885882425949,0.917,1,2.42083629264156e-14
"Mef2c",1.45649327424434e-18,1.25211459616789,1,1,2.54536764606942e-14
"Stum",1.88244593558363e-18,2.22142163871185,0.9,0.098,3.28976251702595e-14
"Slc1a2",3.09892646800375e-18,-2.11312764869095,0.85,1,5.41568389548336e-14
"Rprml",3.48932477187492e-18,-1.45333798342762,0.9,0.98,6.09794397132861e-14
"Kcnip4",3.86075253682848e-18,1.89407569779953,0.967,0.431,6.74705113336145e-14
