"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cck",4.79662552928341e-44,3.90045385711561,0.916,0.743,8.38258277497569e-40
"Nptxr",3.23813873308567e-35,2.59205319659095,0.955,0.743,5.65897124994051e-31
"Plcb4",2.3034754162889e-29,-2.16020760257012,0.471,0.943,4.02555363750648e-25
"Nrn1",6.2050297455157e-29,2.90901845814638,0.906,0.571,1.08439099832632e-24
"C1ql3",1.66556321056018e-28,2.21758143192182,0.899,0.457,2.91073826677496e-24
"Rprm",1.84190198422914e-27,-3.08860021019154,0.465,0.914,3.21890790763885e-23
"Hsp90ab1",8.79527263304358e-26,-1.31579804013353,1,1,1.5370618453507e-21
"Crym",2.1266482039848e-23,-2.04781829396409,0.684,0.971,3.71653040128384e-19
"Foxp2",4.38303281070928e-23,-2.44028618863824,0.231,0.914,7.65978813999553e-19
"Ppp1r1b",4.9877768599766e-23,-1.89507219994426,0.313,0.886,8.7166388404951e-19
"Hsp90aa1",9.34145296003377e-23,-1.2055886513846,1,1,1.6325123192955e-18
"Hs3st4",1.67358634359185e-22,-2.45841703488028,0.386,0.971,2.92475949406111e-18
"Calm1",2.44901631537911e-22,-0.869369635609893,1,1,4.27990091275654e-18
"Psma4",1.20023694038404e-21,-1.60571890336369,0.717,0.886,2.09753407701515e-17
"Syt6",1.37073752497478e-21,-2.10353546901319,0.14,0.886,2.39550089864593e-17
"Ntm",7.53439527235476e-21,1.73713586527436,0.939,0.829,1.31671091779672e-16
"Ccdc12",1.45697297738656e-19,-1.4339878252964,0.813,1,2.54620597528075e-15
"Ndn",2.15607843698585e-19,-1.60430524018417,0.963,1,3.76796267647646e-15
"Cnr1",4.27772845636298e-19,2.48982687722244,0.884,0.229,7.47575825033995e-15
"Nfia",2.03297170400778e-18,-1.83343925733233,0.493,0.943,3.552821349924e-14
"Glul",4.41143754104317e-18,-1.65834817918037,0.47,0.943,7.70942824672705e-14
"Sla",1.00775843646956e-17,-1.44130589957285,0.12,0.8,1.76115864357421e-13
"mt-Co1",1.12923814341802e-17,0.663375498281536,1,1,1.97345657943733e-13
"Slc30a3",3.54761554980833e-17,2.37086899387387,0.764,0.057,6.19981293484504e-13
"Nxph3",5.64197539659808e-17,-1.80868755815701,0.21,0.886,9.8599162030948e-13
"Necab1",7.10187176172657e-17,1.63446720202055,0.909,0.743,1.24112310907934e-12
"Lmo1",7.81033434377473e-17,-1.81428219932583,0.338,0.886,1.36493402991807e-12
"Ifi27",1.19219088147586e-16,-1.90475735562592,0.212,0.857,2.08347278446722e-12
"Kcnip4",3.38572037155946e-16,1.92953679973989,0.865,0.343,5.91688492133731e-12
"Stum",3.93832611166969e-16,1.90338927889726,0.822,0.143,6.88261871275395e-12
"Srgap3",4.4612352233525e-16,1.60938427756312,0.887,0.543,7.79645467633082e-12
"Slc25a4",4.70882595539514e-16,-1.06536247852468,0.998,1,8.22914423964854e-12
"Ddah1",8.86244821210338e-16,-1.47726072252789,0.209,0.886,1.54880144954719e-11
"Tle4",1.20624056840006e-15,-1.55315300224548,0.389,0.971,2.10802601733594e-11
"mt-Nd4",1.25895055473676e-15,0.636592962604971,1,1,2.20014198945797e-11
"Nrip3",1.60424940662049e-15,-1.74022834778347,0.443,0.914,2.80358626300997e-11
"mt-Nd2",2.15158713409413e-15,0.754710417501503,1,1,3.7601136755429e-11
"Sebox",2.40157096135571e-15,-1.4985347407189,0.066,0.629,4.19698541206523e-11
"mt-Atp6",2.44766473701089e-15,0.863730175701834,1,1,4.27753889440024e-11
"Cpne5",2.63698181136049e-15,2.09620839926388,0.803,0.2,4.60838941353359e-11
"Fez1",2.70790129835932e-15,-1.22871432622137,0.87,1,4.73232830901276e-11
"Nwd2",2.84661961018968e-15,1.95895771291832,0.864,0.343,4.97475243076748e-11
"mt-Nd1",5.74905991144883e-15,0.999948770013708,1,1,1.0047057101248e-10
"Sema5a",5.75852597105651e-15,-1.90955770201991,0.168,0.8,1.00635999870184e-10
"Rwdd2a",6.09626225687667e-15,-1.64787756384319,0.394,0.857,1.06538279201177e-10
"Nos1ap",6.81709808890441e-15,-1.21071831240762,0.884,1,1.19135606201693e-10
"Ngef",8.03105237893683e-15,-1.16369130182995,0.924,1,1.403506713743e-10
"Uchl1",1.09403873294899e-14,-1.09188792145685,0.995,1,1.91194208970165e-10
