"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cck",5.51110229256173e-39,2.13053641946133,0.916,0.625,9.63120236648087e-35
"Rprm",8.64195059619897e-35,-2.51202197601684,0.465,0.823,1.51026728619173e-30
"Nptxr",1.19425931707112e-31,1.14063292017676,0.955,0.76,2.08708758251349e-27
"Crym",1.40012613894656e-30,-1.77312477752562,0.684,0.927,2.446860440423e-26
"Psma4",9.24266076596642e-30,-1.30924675526514,0.717,0.812,1.61524739546029e-25
"Syt6",5.91184125667532e-29,-1.79684032112489,0.14,0.688,1.03315337801658e-24
"Plcb4",2.09467236930942e-28,-1.64307646580912,0.471,0.844,3.66064943260515e-24
"Nfia",2.48357787659867e-28,-1.6743345991721,0.493,0.854,4.34030069714384e-24
"Hs3st4",2.52903090566536e-27,-1.87316455167966,0.386,0.833,4.41973441074078e-23
"Hsp90ab1",3.20568372625074e-27,-0.968313411947858,1,1,5.6022528799958e-23
"Ccdc12",4.67329071979519e-27,-1.28587830786051,0.813,0.948,8.16704286191407e-23
"Col12a1",6.23525970088607e-26,-1.39331875218869,0.125,0.646,1.08967398532685e-21
"Calm1",6.58510959422998e-26,-0.619831765527938,1,1,1.15081375268763e-21
"Foxp2",1.96144360346107e-25,-1.78682805692221,0.231,0.74,3.42781884140857e-21
"C1ql3",2.34148278880242e-25,1.16472933530912,0.899,0.573,4.0919753217111e-21
"Lsp1",2.95396494488368e-25,-1.35179087878856,0.094,0.573,5.16234913767872e-21
"3110035E14Rik",3.55586162335029e-24,-0.987203588672692,0.966,1,6.21422377296697e-20
"Nrn1",5.07868325247395e-24,1.36623439750175,0.906,0.615,8.87550685202347e-20
"Rnf152",2.09578522529369e-22,-1.29256372698003,0.128,0.615,3.66259425972325e-18
"Cyr61",2.20503158106155e-22,-1.83081758441607,0.168,0.656,3.85351319106316e-18
"Hsp90aa1",2.60300059206924e-22,-0.819844840414204,1,1,4.5490038347002e-18
"Nxph3",2.9575935285395e-22,-1.24939562281798,0.21,0.729,5.16869045047563e-18
"Slc25a4",3.21822680421467e-22,-0.861384881578788,0.998,1,5.62417316304556e-18
"Rwdd2a",3.39269702062242e-22,-1.46167654987853,0.394,0.771,5.92907731323974e-18
"Rab26",6.92478749322533e-22,-1.02250211959698,0.759,0.948,1.21017586231606e-17
"Ifi27",8.38130754986799e-22,-1.60450440677676,0.212,0.677,1.46471730741493e-17
"Cnr1",1.01797175375069e-21,1.04405891323309,0.884,0.417,1.77900743685471e-17
"Ndn",1.74189542013898e-21,-1.2872560182357,0.963,0.99,3.04413643623488e-17
"Sla",2.09047981605903e-21,-1.37035414646801,0.12,0.583,3.65332252654476e-17
"Lmo1",2.19921078421427e-21,-1.57591330620297,0.338,0.74,3.84334076649286e-17
"Glul",2.21583634511508e-21,-1.21080960913286,0.47,0.823,3.87239559672311e-17
"Ppp1r1b",5.62000216583932e-21,-1.29131501530867,0.313,0.74,9.82151578502079e-17
"Sema5a",7.37955658157479e-21,-1.72731192100133,0.168,0.615,1.28965130819601e-16
"Kcnip4",1.02261922805054e-20,1.21510198900787,0.865,0.5,1.78712936294112e-16
"Nrip3",1.1688278448263e-20,-1.38675564863904,0.443,0.844,2.04264354161844e-16
"Sorbs2",1.88750744936739e-20,0.825009279631801,0.983,1,3.29860801851444e-16
"Ntm",2.39397822531074e-20,0.892273340003022,0.939,0.708,4.18371634655305e-16
"Tle4",2.73826896365583e-20,-1.40699641901391,0.389,0.729,4.78539884088493e-16
"Ddah1",5.8277423640117e-20,-1.31830418031518,0.209,0.698,1.01845625553468e-15
"Camk2n1",2.420049115246e-19,0.819129193101973,1,1,4.22927783380391e-15
"Efhd2",4.18439188013416e-19,-0.956747376465326,0.971,1,7.31264324972245e-15
"Tmsb10",5.24088371913281e-19,-1.08931277756593,0.929,0.99,9.1589683875565e-15
"Sebox",6.84636916305769e-19,-0.906399240021939,0.066,0.448,1.19647147493596e-14
"Adora1",7.5208970290577e-19,-0.912290539153828,0.837,0.99,1.31435196479812e-14
"Stum",1.54305841044049e-18,0.735962536841448,0.822,0.365,2.69664887808579e-14
"Ankrd63",1.62833851596041e-18,-0.824968649632131,0.079,0.469,2.84568439049241e-14
"Nwd2",4.04596427761752e-18,1.08822590082787,0.864,0.583,7.07072717156437e-14
"Ptprk",6.43942825524695e-18,1.35115990440481,0.715,0.271,1.12535448188696e-13
"Garnl3",8.28106506699949e-18,-0.870177880781738,0.579,0.938,1.44719893110883e-13
"mt-Nd4",9.48949436621533e-18,0.425186383630138,1,1,1.65838403543979e-13
"Slc30a3",1.86620713411372e-17,1.06369577485202,0.764,0.302,3.26138358757714e-13
"Cyth2",2.81365478422155e-17,-1.04469972622775,0.707,0.896,4.91714310090557e-13
"mt-Atp6",2.99498223148787e-17,0.574493919045528,1,1,5.23403094774819e-13
"Cpne5",3.36484919918927e-17,0.871242753975622,0.803,0.354,5.88041046050316e-13
"Ldhb",4.92802590012123e-17,-1.15848829660892,0.889,0.958,8.61221806305186e-13
"Nos1ap",6.36330706460758e-17,-0.94294724989737,0.884,0.99,1.11205154261082e-12
"mt-Co1",7.33213855714654e-17,0.401431484056518,1,1,1.28136453424693e-12
"Uchl1",7.3407567680242e-17,-0.892425594578738,0.995,1,1.28287065277991e-12
"mt-Nd2",1.08861921088443e-16,0.477913295727059,1,1,1.90247093294163e-12
"Taldo1",1.14752001292826e-16,-0.951955782903362,0.603,0.76,2.00540597459343e-12
"Slc25a5",1.22144525634481e-16,-0.980105347715712,0.788,0.917,2.13459772998819e-12
"Rala",1.28431553659786e-16,-0.750323202959722,0.798,0.969,2.24446983175842e-12
"Cnksr3",1.45077296341858e-16,-0.522307214575637,0.012,0.26,2.53537083087031e-12
"Ccl27a",1.7706437917575e-16,-0.810833417046844,0.953,1,3.09437709047541e-12
"Akap7",1.84064719955462e-16,-0.827355998195345,0.532,0.917,3.21671504594165e-12
"mt-Co2",1.8564622990193e-16,0.561288661279935,1,1,3.24435351376613e-12
"Mdh1",1.99272584348946e-16,-0.972161661876001,0.985,1,3.48248768408217e-12
"Ramp3",2.03407992993818e-16,-1.02204110716269,0.648,0.927,3.55475808555997e-12
"Ptprs",2.8188473178092e-16,0.613020806769879,1,1,4.92621757260336e-12
"Arf1",3.03031257691294e-16,-0.482739492672444,0.997,1,5.29577425941305e-12
"Srgap3",5.54519570250632e-16,0.859058752748999,0.887,0.531,9.69078400970004e-12
"Psma6",7.31604691706274e-16,-0.949723959635637,0.734,0.865,1.27855235922588e-11
"Sncb",9.18710008235916e-16,0.446285415111038,0.993,1,1.60553761039309e-11
"Ngef",1.02765149438675e-15,-0.874792776772021,0.924,0.99,1.79592375159029e-11
"Fgf11",1.1221324363408e-15,-0.698750050032437,0.015,0.26,1.96103864574918e-11
"Anp32a",1.30274598795595e-15,-0.684522265189554,0.973,1,2.27667888855182e-11
"Plxna2",2.09169488842212e-15,-0.802445912388212,0.877,0.958,3.6554459870065e-11
"Slc39a10",2.18737471649739e-15,0.755933748647382,0.992,0.99,3.82265605455083e-11
"Prss35",2.3575920432402e-15,-0.938002025107925,0.165,0.573,4.12012785476658e-11
"Thsd7b",2.81623549864149e-15,-0.770111512346409,0.101,0.469,4.92165315742587e-11
"Bcl2",2.94987146594802e-15,-0.972910875756111,0.481,0.844,5.15519537389076e-11
"Rtn4r",2.9886492960117e-15,1.04740892617065,0.788,0.427,5.22296350971004e-11
"Mef2c",3.05993884562625e-15,0.648108877347546,1,1,5.34754912661644e-11
"Uqcrc2",3.83738804774708e-15,-0.942242015821782,0.827,0.948,6.7062193522428e-11
"Syt4",4.12731785113855e-15,0.550908212658644,0.998,1,7.21290067664973e-11
"Ina",4.40838038810328e-15,-0.710011390188672,0.97,1,7.7040855662493e-11
"mt-Nd1",6.53592020801409e-15,0.619393496652578,1,1,1.14221741555254e-10
"Necab1",1.05552670539141e-14,0.805683780659664,0.909,0.823,1.84463847034203e-10
"Igfbp6",1.13054668682942e-14,1.61027210683756,0.685,0.281,1.97574338990309e-10
"Ubb",1.17258997931251e-14,-1.02225552827637,1,1,2.04921824784653e-10
"Gde1",1.74169365440724e-14,-0.66362567368853,0.976,0.979,3.04378383044209e-10
"Ctsb",2.09759924192311e-14,-0.564574080044733,0.983,1,3.66576443518482e-10
"mt-Cytb",2.25111701472182e-14,0.662244410085827,1,1,3.93405209492784e-10
"Kcnab1",2.32811728988564e-14,1.01763456470073,0.813,0.469,4.06861777580414e-10
"Wisp1",2.54186706232389e-14,-0.570138987980922,0.079,0.385,4.44216687811723e-10
"Rab3b",3.16019891223591e-14,-1.13530638345733,0.357,0.75,5.52276361902348e-10
"Psmd13",3.3734869250554e-14,-0.820124370042679,0.625,0.875,5.89550575022683e-10
"mt-Co3",3.76182898110752e-14,0.746103322794223,1,1,6.57417232738351e-10
"Rtn4rl1",3.76886080574052e-14,1.09948948593424,0.638,0.219,6.58646114411214e-10
"Pcp4",4.32395274538975e-14,-1.07230116267834,0.811,0.969,7.55653981784313e-10
"Masp1",4.55563895841938e-14,-0.77187745084186,0.074,0.396,7.9614346437337e-10
"Arhgap25",4.7139716099586e-14,-0.939867094479986,0.231,0.625,8.23813678556366e-10
"Cxcl12",5.00172087472196e-14,-1.13748914851544,0.37,0.75,8.7410074006641e-10
"Chrna4",5.15813027221249e-14,-0.666659647412814,0.33,0.75,9.01434846371854e-10
"Eif3c",5.37401602226673e-14,-0.635413264810873,0.887,0.99,9.39163040051333e-10
"Itm2b",5.46403478781845e-14,-0.793908732564292,0.99,1,9.54894719519153e-10
"Fez1",6.2544028334354e-14,-0.879928929667869,0.87,0.979,1.09301943917117e-09
"Sdhb",7.46589947000664e-14,-0.8893841320494,0.806,0.958,1.30474059137836e-09
"Gm26917",7.81121064680751e-14,0.846926269413535,0.965,0.885,1.36508717263608e-09
"Cdh10",7.8866926524065e-14,1.03141127083056,0.801,0.458,1.37827840793456e-09
"Rtn1",8.96906717605348e-14,-0.390872495108837,1,1,1.56743417968711e-09
"Atp5f1",1.05478574679718e-13,-0.700825570512869,0.99,1,1.84334357110276e-09
"Rprml",1.06106689468251e-13,-0.760097306332631,0.933,0.99,1.85432050514716e-09
"Map1b",1.2945048813387e-13,-0.412732957059361,0.998,1,2.26227673062752e-09
"Bcap31",1.41042372588507e-13,-0.811916887165308,0.611,0.885,2.46485650335674e-09
"Sec62",1.55246933042667e-13,-0.501633166420052,0.993,1,2.71309540185365e-09
"Psmd14",1.56675810584512e-13,-0.845584195597953,0.684,0.927,2.73806646577494e-09
"Car10",1.70997309881421e-13,0.88442107495245,0.891,0.698,2.98834898748772e-09
"Lmo3",1.71539294816707e-13,-0.998833176870815,0.572,0.833,2.99782071621678e-09
"Psmb2",1.72940302947082e-13,-0.882410571096332,0.672,0.865,3.02230473430321e-09
