"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sparcl1",5.75215075657597e-08,0.387606238278944,0.966,0.951,0.00100524586621922
"Aldh2",1.87726510891774e-07,0.465446751413905,0.372,0.245,0.00328070850434464
"Spry2",3.29030686975038e-07,-0.31315025852472,0.584,0.765,0.00575014028557577
"Dclk1",4.16774724702932e-07,-0.256076163678332,0.998,1,0.00728355508890844
"Nrn1",5.9431337645739e-07,-0.274110997741174,0.906,0.974,0.0103862205669693
"Mgat4c",1.19149254232312e-06,0.463482403856673,0.453,0.402,0.0208225236696389
"Nell1",1.43649329026019e-06,-0.402881707670409,0.362,0.539,0.0251041567405871
"S100b",1.93571138786782e-06,-0.530163861748277,0.152,0.297,0.033828492214378
"Rnf152",2.54144752949032e-06,0.513609973328406,0.128,0.033,0.0444143370253728
"Necab3",2.75811077371423e-06,0.395926178921232,0.672,0.644,0.0482007438814299
"Hmgcr",2.87711855508513e-06,-0.26652608688744,0.948,0.98,0.0502805238686677
"Cldn10",3.82054428575439e-06,0.261276608525675,0.113,0.026,0.0667678319378437
"Pcdh17",3.95462691427302e-06,0.25660888999963,0.993,0.964,0.0691110599538353
"Pnmal2",5.36720851410083e-06,0.255242132763647,0.99,0.99,0.0937973359924261
"Ramp3",6.3912713153224e-06,0.467684009614182,0.648,0.588,0.111693857506574
"Lypd1",7.5000031437821e-06,0.918108010159195,0.441,0.307,0.131070054940736
"Itm2c",8.64527526699292e-06,0.271066451948926,0.998,1,0.151084830565968
"Robo2",8.65648812302805e-06,-0.308385567184434,0.801,0.876,0.151280786438038
"Cck",9.22385876907326e-06,-0.25245056319388,0.916,0.977,0.161196155848324
"Syt6",9.9863480170671e-06,0.636816434591948,0.14,0.056,0.174521417946265
"Csmd1",1.46858608615051e-05,0.301924622959857,0.862,0.837,0.256650104415663
"Tle4",1.51000208502776e-05,0.586623515332503,0.389,0.31,0.26388796437945
"Tspan5",1.76149689353813e-05,-0.298952169129107,0.944,0.961,0.307839197114724
"Camk2d",1.8020369474362e-05,-0.298529133005268,0.837,0.925,0.31492397693395
"Cnr1",1.8971629972236e-05,-0.327507947260174,0.884,0.948,0.331548205394797
"Ifi27",2.04228713321401e-05,0.346428805165837,0.212,0.225,0.35691009940048
"Ldlrad4",2.71047736357469e-05,-0.272616751026606,0.364,0.523,0.473683024058313
"Nrip3",2.95682880572851e-05,0.696478101486447,0.443,0.395,0.516735402089114
"Gsg1l",4.46500644981724e-05,0.421336843685131,0.35,0.271,0.780304527170061
"Fam110b",5.3107794877383e-05,0.291916178663042,0.524,0.516,0.928111823277146
"Ppp1r1b",6.08640793652291e-05,0.464174940637001,0.313,0.222,1
"Slc24a3",6.37075568811404e-05,-0.361250779250249,0.545,0.68,1
"Dnajc9",6.71317557239543e-05,0.328976754876083,0.524,0.408,1
"Fhod3",6.77444280660662e-05,-0.306103033114312,0.51,0.654,1
"Ryr3",6.8858628181218e-05,0.367032452031405,0.572,0.49,1
"Prmt1",6.90879799186472e-05,0.296432972137513,0.562,0.546,1
"Sccpdh",7.33052898399086e-05,-0.376577652378939,0.675,0.788,1
"Hs3st4",9.01056820208835e-05,0.604685080301694,0.386,0.395,1
"Nrp2",9.17166077752182e-05,0.39263455065748,0.53,0.461,1
"Vstm2b",9.47128035610798e-05,-0.297111547005486,0.577,0.716,1
"Arxes2",9.56285075558416e-05,0.284777079165311,0.759,0.742,1
"Ccnd2",0.000143267169443147,0.360764471757029,0.488,0.343,1
"Stk32c",0.000153454964242246,0.27139084532022,0.961,0.935,1
"Paqr7",0.00015631799101452,-0.257259275453134,0.38,0.526,1
"Zcchc12",0.000161628386380494,0.453519616036932,0.157,0.069,1
"Sorl1",0.000168897618717384,-0.276760051285851,0.906,0.931,1
"Prss35",0.000178832095723555,0.350978708452451,0.165,0.078,1
"Tmem178",0.000200529409383203,0.282858629981015,0.643,0.654,1
"Neto2",0.000202129215738625,0.396473278600502,0.448,0.333,1
"Ccdc12",0.000248282615235939,0.329320341107856,0.813,0.791,1
"Rae1",0.000267305403408637,0.278205590342994,0.503,0.441,1
"Nptx2",0.000269978290502015,-0.253112912553308,0.32,0.454,1
"Sema5a",0.000271938823117015,0.594675006402594,0.168,0.095,1
"Stxbp6",0.000293712630360592,-0.513064950259769,0.283,0.405,1
"Foxp2",0.000310832443287302,0.687615511054215,0.231,0.167,1
"Nrxn3",0.000384165701335503,0.251327898363026,0.966,0.967,1
"Cplx2",0.000385719293896479,0.42322436744079,0.83,0.856,1
"Gm9885",0.000396626557992229,0.27984885347209,0.263,0.222,1
"6030419C18Rik",0.000407978845404102,-0.276741464482784,0.719,0.745,1
"Tom1",0.000410600291878258,-0.29069874464154,0.202,0.317,1
"Psmc2",0.000471024330453242,0.25859507108464,0.613,0.624,1
"Adrb1",0.000523867311907665,-0.277478701231656,0.614,0.719,1
"Scube1",0.00061223360742146,-0.284523977497184,0.438,0.572,1
