"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cck",2.90523255624431e-35,3.87295188090962,0.916,0.629,5.07718441529256e-31
"Nrn1",6.19409059023169e-31,2.96040407594357,0.906,0.571,1.08247927154889e-26
"Bcl11b",1.90303020692012e-24,-2.0848828712661,0.557,1,3.3257355896136e-20
"Nptxr",5.98857490800216e-23,1.90525642600874,0.955,0.886,1.04656335092246e-18
"Nrip3",1.15435646476018e-20,-1.88664807373863,0.443,1,2.0173533578149e-16
"Pcdh10",2.12577601985355e-20,1.35534359869513,0.985,0.829,3.71500617229606e-16
"Car10",3.67800170005007e-20,2.50422981596343,0.891,0.371,6.4276757710075e-16
"Nfia",6.61189066692586e-20,-1.79228000719674,0.493,0.971,1.15549401295196e-15
"Ptprk",1.59727055027678e-19,2.43159206357593,0.715,0,2.79139001366369e-15
"Crym",2.45104432539392e-19,-1.76826162872418,0.684,1,4.28344506305841e-15
"Lmo3",3.73089099241205e-18,-1.58872743527649,0.572,1,6.52010509833929e-14
"Atp1b1",4.07196635265621e-18,-0.63096751580575,1,1,7.11616839790199e-14
"Nwd2",2.11129091713437e-16,1.92385870259241,0.864,0.543,3.68969200678403e-12
"Fezf2",4.33367758557227e-16,-1.59585018907357,0.492,0.943,7.57353494854611e-12
"Necab1",5.96272245232188e-16,1.89269820201385,0.909,0.686,1.04204537576777e-11
"Cdh6",1.58123012618958e-15,-1.5169579284402,0.209,0.857,2.76335776852892e-11
"Ina",2.202316058954e-15,-1.17074926373778,0.97,1,3.84876754462802e-11
"Sparcl1",3.15813823453812e-15,-1.17282078584476,0.966,1,5.51916237867882e-11
"Camk2d",3.8572531689002e-15,2.45454184268829,0.837,0.257,6.74093563796999e-11
"Dscaml1",4.8287961861814e-15,-1.35514642879381,0.296,0.914,8.43880421497061e-11
"Slc30a3",5.66005609793723e-15,2.41035117668358,0.764,0.2,9.89151403675511e-11
"Lmo4",6.61523218892554e-15,1.18901696237642,0.998,0.971,1.15607797733663e-10
"Sorbs2",7.10062205277944e-15,1.18718925472903,0.983,1,1.24090470994373e-10
"Hpca",1.66465175562104e-14,1.75075682130322,0.948,0.657,2.90914540812333e-10
"Nfib",2.46534605555334e-14,-1.35286394678721,0.867,1,4.30843876668502e-10
"Auts2",2.76535131655183e-14,1.36813407665106,0.946,0.886,4.83272796080597e-10
"Bok",6.33862314188295e-14,2.37367994170978,0.722,0.143,1.10773778027546e-09
"Fam84b",3.37915032651786e-13,-1.04417865356312,0.027,0.457,5.90540311062261e-09
"Nos1ap",4.56630480723495e-13,-1.0310792361002,0.884,1,7.9800742811238e-09
"Pcdh15",4.87568861564046e-13,2.07583955710712,0.722,0.2,8.52075342469326e-09
"Olfm1",6.52751814722067e-13,0.857994381188735,1,1,1.14074907140828e-08
"6330403K07Rik",6.67661961705009e-13,0.836083638230725,0.997,1,1.16680604427567e-08
"Cpne5",1.20341259602805e-12,1.78814011657862,0.803,0.229,2.10308385281861e-08
"Gap43",2.03835066913917e-12,-0.868551583574696,0.997,1,3.56222162938761e-08
"Gprc5b",2.15861672777504e-12,-1.24704607230626,0.042,0.486,3.77239859345965e-08
"Cnr1",2.25010224624643e-12,1.6604269495732,0.884,0.629,3.93227868554027e-08
"Cadps2",2.41358232134861e-12,-1.32153716773157,0.438,0.971,4.21797646478883e-08
"Pou3f1",4.75063004942917e-12,-2.20610640215059,0.103,0.486,8.30220107438241e-08
"Sez6",9.07292544622067e-12,-0.940891154458895,0.889,1,1.58558445098152e-07
"Fam126a",9.39507924909344e-12,-1.42664568385569,0.202,0.514,1.64188404957157e-07
"Ankrd63",1.07784082359657e-11,-1.15913918843768,0.079,0.571,1.88363462331736e-07
"Pdzrn4",1.14980748165021e-11,-1.25107214462469,0.3,0.857,2.00940355493191e-07
"Ppm1h",1.43259283932162e-11,1.17014843532212,0.845,0.743,2.50359924599847e-07
"Fat3",1.5537453403337e-11,1.27787736355728,0.625,0.743,2.71532535676718e-07
"Caln1",1.56516090128703e-11,-1.15959894782082,0.886,1,2.73527519108921e-07
"Tpbg",1.71373084136755e-11,-0.986136151506075,0.017,0.371,2.99491601837393e-07
"Cacng3",2.21550716174449e-11,1.19217543188111,0.842,0.686,3.87182031586467e-07
"1700019D03Rik",3.4752879870135e-11,-0.860249986457227,0.342,0.914,6.07341328610479e-07
"Igfbp6",4.19336755528479e-11,2.46871565675478,0.685,0.2,7.3283291396157e-07
"Sept4",5.95069925469814e-11,-1.18761658507471,0.354,0.829,1.03994420175105e-06
"Galnt17",7.15208454818177e-11,1.47515313974592,0.747,0.514,1.24989829564025e-06
"Lmo1",7.77320392617847e-11,-1.13037809287691,0.338,0.886,1.35844511813895e-06
"Fndc5",8.10025348802017e-11,1.73256601856134,0.685,0.229,1.41560029956641e-06
"Camk2n1",9.02790936219168e-11,1.0783947604263,1,1,1.57771744013662e-06
"Cxcl12",1.08645913673839e-10,-1.12388018856307,0.37,0.914,1.898695987364e-06
"Sncb",1.13943707175136e-10,0.588232198174484,0.993,1,1.99128022659268e-06
"Elmod1",1.25309489853457e-10,-0.848917736229909,0.983,1,2.18990864467901e-06
"Cdh10",1.373141507319e-10,1.52302228948618,0.801,0.4,2.39970209819068e-06
"Slc2a13",1.39583547674396e-10,1.3752798285377,0.769,0.571,2.43936207915774e-06
"Rnf152",1.56959086315886e-10,-1.03050093005411,0.128,0.629,2.74301699245643e-06
"Rimbp2",1.71012459217716e-10,1.33340077748483,0.919,0.886,2.98861373728881e-06
"Adgra1",1.93040785298316e-10,-0.936416048926697,0.729,1,3.37358076387338e-06
"Rasl10a",2.15311002683057e-10,1.2717098854525,0.657,0.829,3.7627750828891e-06
"Hsp90ab1",3.26771560901165e-10,-0.940017387249767,1,1,5.71065979830875e-06
"Rgma",3.4231961119368e-10,-0.79267214373373,0.032,0.4,5.98237752522076e-06
"Nrsn2",3.49841452479145e-10,-0.843281158602468,0.522,1,6.11382922352553e-06
"Ccl27a",3.68669719425183e-10,-0.933380923060377,0.953,1,6.4428720166745e-06
"Lypd1",3.9882580899194e-10,-2.1911677499967,0.441,0.886,6.96987983794315e-06
"Calm1",4.20716572828316e-10,-0.563836147074097,1,1,7.35244282674765e-06
"Igfbp4",4.24865951371934e-10,-1.96808167948326,0.086,0.514,7.42495736617592e-06
"Hsp90aa1",5.45527943702925e-10,-0.882024453597553,1,1,9.53364634415231e-06
"Hs3st4",8.90641154738979e-10,-1.81676580832841,0.386,0.829,1.55648448202184e-05
"Dnm3",8.95664915419267e-10,-0.857022502390385,0.961,1,1.56526400618671e-05
"Peg3",1.24415014284567e-09,-0.847413705561166,0.978,1,2.17427678963709e-05
"Adcyap1r1",1.49515294354119e-09,1.64049724966628,0.71,0.229,2.61292928413258e-05
"Mctp1",1.537080411368e-09,-0.874829060730363,0.79,1,2.68620172690671e-05
"Plcb4",1.54507285371881e-09,-1.28617898546375,0.471,0.8,2.70016931915899e-05
"Tspan17",1.77302773644173e-09,0.963475012660827,0.769,0.686,3.09854327220557e-05
"Cdh13",1.79260821490094e-09,-1.09388818003536,0.662,1,3.13276211636088e-05
"6430548M08Rik",2.14259885928593e-09,1.24927309479259,0.88,0.743,3.74440576648809e-05
"Htr2a",2.41486519730998e-09,1.52062583445816,0.421,0,4.22021841881892e-05
"BC030499",2.54263065279502e-09,1.71564105075584,0.633,0.2,4.44350132882459e-05
"Nr2f1",2.70611015366335e-09,1.35066491067463,0.923,0.8,4.72919810454207e-05
"Rwdd2a",3.05185193483989e-09,-1.25968055262508,0.394,0.886,5.33341644132619e-05
"Slc39a10",3.20163802599992e-09,0.96483751830023,0.992,0.971,5.59518261423745e-05
"Adamts2",3.23406829784778e-09,-1.53642300191137,0.054,0.4,5.65185775731878e-05
"B3galt5",3.42976098352045e-09,-0.856753211739774,0.061,0.457,5.99385029480034e-05
"Mgat5",3.60874800585381e-09,1.47694731576914,0.79,0.514,6.30664801503012e-05
"B3gat1",3.76843085866299e-09,-0.873827925234513,0.736,0.971,6.58570976859944e-05
"Zdhhc22",3.9175396787807e-09,1.03124836971667,0.912,0.486,6.84629234263716e-05
"Map1b",5.03386042896518e-09,-0.546181488671264,0.998,1,8.79717448565954e-05
"Trp53i11",5.30506236522885e-09,1.890900130835,0.665,0.286,9.27112698947393e-05
"Khdrbs2",5.32743607981771e-09,-1.04852109785376,0.566,0.886,9.31022729308943e-05
"Ehd3",5.32935587176399e-09,0.71906869833327,0.855,0.943,9.31358232149475e-05
"Alcam",5.86525366629526e-09,2.01230083872558,0.81,0.486,0.000102501173072176
"Akap7",6.29144864789528e-09,-1.01301186704994,0.532,0.914,0.000109949356570618
"Abat",7.59610949829557e-09,-0.953612523553587,0.428,0.914,0.000132749609592213
"Aldh3a2",7.86219234896485e-09,-0.86966866509226,0.397,0.886,0.00013739967349051
"Ptn",8.2054478450466e-09,2.03584132997549,0.805,0.486,0.000143398406540034
"Ckmt1",8.29147116926316e-09,-0.940722510385488,0.828,0.971,0.000144901750154043
"Kif26a",8.59049489234573e-09,-0.867467556797356,0.044,0.4,0.000150127488738634
"Nyap2",8.76459717086879e-09,1.06254233250624,0.791,0.714,0.000153170100158103
"Fgfr1",9.02722508355895e-09,-0.862982951584101,0.143,0.6,0.000157759785560276
"Prpf19",1.00909509818932e-08,-0.822688111154312,0.744,1,0.000176349459359566
"Ppp1r1b",1.13841082387013e-08,-1.29509046927414,0.313,0.743,0.000198948675579543
"Epha4",1.18203888707143e-08,1.19386679631845,0.936,0.971,0.000206573115904603
"Cbr4",1.22356459362929e-08,-0.443349775347282,0.271,0.686,0.000213830148382654
"Arhgef25",1.28063815653723e-08,1.15387959038139,0.911,0.686,0.000223804324236446
"Wnt5a",1.65933304596302e-08,-0.932649845749751,0.069,0.457,0.000289985043112497
"Nrsn1",1.7069905470155e-08,1.64572777448587,0.968,0.971,0.000298313667996428
"Vgll3",1.7186100594168e-08,-0.791733437135798,0.047,0.4,0.00030034429398368
"Npr3",1.76016629312274e-08,-1.23833669022846,0.189,0.657,0.00030760666138613
"Arpc1a",1.89309312559179e-08,-0.771158996730462,0.943,1,0.000330836954628421
"Neurod6",2.52392648682218e-08,1.02769689025465,0.968,0.771,0.000441081392837043
"Efnb3",2.84698026969774e-08,-1.06633863124157,0.623,0.971,0.000497538271932378
"Ephb1",2.86350096713291e-08,-0.923613445435257,0.185,0.657,0.000500425429016147
"Ogt",3.50658939577375e-08,0.592041777766272,1,1,0.00061281156280542
"Ifi27",3.63082605458253e-08,-1.3152254395909,0.212,0.686,0.000634523161298843
"Dync1i1",3.65350111159372e-08,-0.70099356639231,0.843,1,0.000638485854262119
"Gng12",3.72744152546199e-08,-0.714814629796064,0.48,0.943,0.000651407680989738
"mt-Co3",4.08263598656631e-08,0.81599033596922,1,1,0.000713481465012328
"Bcl6",4.10090244088029e-08,-1.13772859009655,0.072,0.4,0.00071667371056824
"Ntng1",4.26206685982893e-08,-1.08643833505621,0.492,0.486,0.000744838804423703
"Atp1b2",4.29261046676512e-08,1.68081031582678,0.663,0.286,0.000750176605171873
"3100002H09Rik",4.34834275711205e-08,-0.703540511700766,0.007,0.229,0.000759916380232901
"Dock4",4.49983055374645e-08,1.21372285262282,0.859,0.686,0.000786390387572729
"C1ql3",4.71516791764419e-08,1.12249136013635,0.899,0.629,0.000824022745287498
"Grin3a",4.96160564006254e-08,1.87984654742486,0.497,0.057,0.00086709020165733
"Scg3",5.4029679541511e-08,-0.956991065089671,0.635,0.943,0.000944222679667446
"Cyr61",5.66008394371426e-08,-2.46691168208471,0.168,0.571,0.000989156270003505
"Anp32a",5.73145240915883e-08,-0.709809749419472,0.973,1,0.0010016286230246
"mt-Cytb",6.35544416652999e-08,0.726256141635472,1,1,0.00111067742254278
"Gsg1l",6.68877502172284e-08,-1.01347353115081,0.35,0.829,0.00116893032279628
"Myo5b",6.71379330417786e-08,-0.748629053971549,0.221,0.686,0.00117330251783812
"Htr1f",7.87035698851069e-08,-0.978993592856419,0.207,0.657,0.00137542358731213
"Gm10600",8.09726588197634e-08,-0.869082049589934,0.582,0.943,0.00141507818553418
"Hspa12a",9.27509033855913e-08,-0.808327392978014,0.832,1,0.00162091478756659
"Unc5d",9.30174737422378e-08,1.21558242672446,0.451,0.029,0.00162557337111935
"Oma1",9.48594083919148e-08,-0.869480091330584,0.082,0.457,0.0016577630210571
"Rtn4r",9.57417354930778e-08,1.13465075409421,0.788,0.343,0.00167318256947703
"Satb2",1.07495161774081e-07,0.780207451778018,0.891,0.8,0.00187858544716384
"Kcnv1",1.15706227286862e-07,1.15419273394735,0.7,0.543,0.0020220820280652
"Usmg5",1.18782210263857e-07,-0.570499979562055,0.995,1,0.00207583790657117
"Ndufa10",1.2274029181314e-07,-0.644201431950039,0.946,0.971,0.00214500933972644
"Tox2",1.24077651053156e-07,-0.829939319613411,0.246,0.714,0.00216838102980496
"Adam15",1.24275107236962e-07,-0.324512946459518,0.598,0.971,0.00217183177407315
"Fhl1",1.34005563449915e-07,1.29453612784879,0.635,0.286,0.00234188122685071
"Rprm",1.36143976376965e-07,-1.804352362747,0.465,0.8,0.00237925213116384
"Hcn1",1.37457544049029e-07,-1.02509667121715,0.785,0.971,0.00240220803980083
"Syt6",1.43640349176324e-07,-1.49272580884712,0.14,0.543,0.00251025874220543
"Mrap2",1.47384082545369e-07,-0.57631545403321,0.126,0.514,0.00257568422656287
"Retreg1",1.49885260016053e-07,-0.921372926989819,0.638,0.943,0.00261939480404055
"2900055J20Rik",1.60970573464731e-07,1.26839100377801,0.801,0.6,0.00281312174186965
"Tle4",1.68070986233091e-07,-1.30698118900199,0.389,0.8,0.0029372085554095
"Tmsb10",1.71435048452569e-07,-0.925559804770088,0.929,1,0.0029959989067571
"mt-Atp6",1.84454173878136e-07,0.521335414507449,1,1,0.0032235211426943
"Slc24a3",1.94146014709692e-07,1.73362229103656,0.545,0.171,0.00339289575306657
"Ndn",1.95144139984168e-07,-1.09053896777879,0.963,1,0.00341033899036332
"Rpgrip1l",1.99684504509898e-07,-0.481295962505817,0.478,0.914,0.00348968640081497
"Sorcs3",2.01524166024282e-07,1.53376980851261,0.616,0.343,0.00352183632544035
"E2f1",2.04591812125013e-07,-0.372567567615158,0.32,0.714,0.00357544650869672
"Snx25",2.09563706566145e-07,-0.6895692570911,0.209,0.657,0.00366233533594995
"Fam49a",2.20957360936539e-07,-0.642009407819352,0.978,1,0.00386145083972696
"Ryr3",2.29183952268945e-07,-0.726502728009614,0.572,0.971,0.00400521874985208
"Nabp1",2.32154735177626e-07,1.39481694831112,0.626,0.2,0.0040571361519642
"Galnt9",2.34531833572497e-07,-0.756006597439868,0.747,1,0.00409867832351295
"Tmem38b",2.36541727656434e-07,-0.472308292699898,0.167,0.543,0.00413380323252385
"Teddm2",2.41026202334551e-07,-0.337627722765794,0.096,0.371,0.00421217391199861
"Reln",2.47445195637995e-07,-1.198283980194,0.03,0.314,0.0043243522389696
"Herc6",2.60914367783067e-07,1.3025758570347,0.532,0.143,0.00455973949137687
"Kcnip4",2.61482505768633e-07,0.954791689372563,0.865,0.629,0.00456966827081263
