"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cck",2.55478037895225e-51,3.92890687484741,0.916,0.549,4.46473419025696e-47
"C1ql3",8.39640701964747e-49,2.81569474837174,0.899,0.471,1.46735609075359e-44
"Nptxr",5.45760735357018e-44,2.49023661634588,0.955,0.667,9.53771461109925e-40
"Hsp90ab1",5.53426488478074e-39,-1.37527670889075,1,1,9.67168131264282e-35
"Rprm",5.6488429775688e-39,-2.99873012925567,0.465,0.98,9.87191798759923e-35
"Plcb4",5.2314691884094e-38,-2.16441669652276,0.471,0.961,9.14251555366427e-34
"mt-Co1",1.20562165394278e-34,0.805658232005859,1,1,2.10694440243041e-30
"Hs3st4",8.18556656396928e-34,-2.48880840960552,0.386,0.941,1.43050961271927e-29
"Crym",1.90823476717355e-33,-2.10665156737818,0.684,0.98,3.3348310791125e-29
"Hsp90aa1",2.25714991135781e-32,-1.21981085407983,1,1,3.94459518508891e-28
"Nrn1",7.45058499640832e-32,2.67665306979535,0.906,0.412,1.30206423397232e-27
"Syt6",3.04237735608456e-31,-2.16380519943498,0.14,0.902,5.31685866749338e-27
"Sema5a",9.98267149845802e-31,-2.20632099467669,0.168,0.922,1.74457167107052e-26
"mt-Atp6",1.51114153601707e-30,1.07781952948549,1,1,2.64087094834343e-26
"Calm1",2.27561663080145e-30,-0.856140528766433,1,1,3.97686762398861e-26
"Sla",2.78052235388911e-30,-1.71598146538373,0.12,0.882,4.85924086565662e-26
"Nfia",3.01520111610194e-30,-1.952983453803,0.493,0.961,5.26936547049975e-26
"Nxph3",1.03087792644491e-29,-1.92140292030048,0.21,0.961,1.80156226425512e-25
"Foxp2",1.38190693918097e-29,-2.29375180564809,0.231,0.922,2.41502056691266e-25
"mt-Co2",2.16329525427825e-29,1.04373182953413,1,1,3.78057478637667e-25
"Ccdc12",5.98311890040684e-29,-1.47609838866471,0.813,0.98,1.0456098590351e-24
"Cnr1",1.08470176987238e-28,2.41940996495228,0.884,0.176,1.89562481302897e-24
"Ppp1r1b",1.66560015468398e-28,-1.83592368370149,0.313,0.902,2.91080283032572e-24
"Ntm",1.95212665459599e-27,1.93320150953031,0.939,0.588,3.41153654157196e-23
"mt-Nd1",2.69485985102678e-27,1.16469555807031,1,1,4.7095370756544e-23
"Psma4",2.84091933182069e-27,-1.5085507824951,0.717,0.98,4.96479062428983e-23
"Ndn",4.3253688297398e-27,-1.58265178553623,0.963,1,7.55901456685327e-23
"Glul",6.59992090315955e-27,-1.69428806176012,0.47,0.98,1.15340217703616e-22
"mt-Nd2",6.82472498999941e-27,0.843485811838821,1,1,1.1926889392523e-22
"Prss35",6.96523369233998e-27,-1.36438802239667,0.165,0.902,1.21724424007334e-22
"mt-Nd4",8.07942130366275e-27,0.717386325751529,1,1,1.4119596670281e-22
"mt-Co3",1.67937699773494e-26,1.53106878533626,1,1,2.93487924124158e-22
"Stum",1.43644312377477e-25,2.11237894141309,0.822,0.098,2.51032800310879e-21
"Rnf152",2.24912418613558e-25,-1.7731802696976,0.128,0.824,3.93056942769054e-21
"Slc25a4",8.24713228064006e-25,-1.08809459693472,0.998,1,1.44126883736466e-20
"Nrip3",9.01567008115361e-25,-1.85293272543158,0.443,0.98,1.57557850338241e-20
"mt-Cytb",1.06122819619108e-24,1.26307547010321,1,1,1.85460239566353e-20
"Tle4",1.42192651370253e-24,-1.79196162093406,0.389,0.922,2.48495877534655e-20
"Slc30a3",1.90817996590697e-24,2.10485174755798,0.764,0.059,3.33473530841902e-20
"Cpne5",2.31858474009993e-24,2.20053309504135,0.803,0.098,4.05195869179864e-20
"Efhd2",6.48193691548232e-24,-1.32329030568431,0.971,1,1.13278329534969e-19
"Arhgap25",1.03966129613054e-23,-1.36324408427426,0.231,0.922,1.81691208111772e-19
"Nos1ap",1.56789788596281e-23,-1.21699009774293,0.884,1,2.7400583455086e-19
"Ifi27",3.12897226873477e-23,-1.77458212162685,0.212,0.882,5.46819193684089e-19
"Ddah1",1.9242295285076e-22,-1.87284729834904,0.209,0.863,3.36278352401988e-18
"Rwdd2a",2.56586484074142e-22,-1.71278251091362,0.394,0.882,4.48410539567971e-18
"Ajap1",2.73605148332438e-22,2.04826244087969,0.739,0.059,4.78152357225768e-18
"Epha4",3.31264240560332e-22,1.71732361674995,0.936,0.922,5.78917386803236e-18
"Cyr61",4.91225251388516e-22,-2.09882666056639,0.168,0.824,8.5846524932657e-18
"Ldhb",5.03254144713792e-22,-1.46982651737805,0.889,1,8.79486943301823e-18
"Lmo1",8.48995875962824e-22,-1.87460894925142,0.338,0.882,1.48370519283263e-17
"Syt4",8.51298383554225e-22,1.09135636845184,0.998,1,1.48772905509936e-17
"Kcnip4",1.23351829289438e-21,1.64788090373827,0.865,0.431,2.15569656866222e-17
"Uchl1",2.86147321474218e-21,-1.14549426186202,0.995,1,5.00071059008344e-17
"Mef2c",4.27688912557799e-21,1.25465838680477,1,1,7.4742914358601e-17
"Srgap3",7.6304633085554e-21,1.69192006444565,0.887,0.451,1.33349976780314e-16
"Adora1",1.15828683291164e-20,-1.1899339221029,0.837,1,2.02422206919639e-16
"Sparcl1",1.63868983598333e-20,-1.21022866137287,0.966,1,2.86377435736447e-16
"Trabd2b",2.09391463795264e-20,-0.959484158966733,0.04,0.549,3.65932522128603e-16
"3110035E14Rik",2.37578247597505e-20,-1.17208805631399,0.966,1,4.15191745501399e-16
"Ubb",2.41251776251945e-20,-1.35888357317333,1,1,4.21611604177898e-16
"Slc39a10",3.5410084009658e-20,1.25479042776873,0.992,1,6.18826628152783e-16
"Slc25a5",4.15820849525428e-20,-1.2213403715805,0.788,0.941,7.26688516630639e-16
"Rab3b",4.46104811386623e-20,-1.40906143431241,0.357,0.961,7.79612768379262e-16
"Mgat4c",4.49497080882224e-20,-1.37981372286798,0.453,0.961,7.85541098549775e-16
"Anp32a",9.02701346996395e-20,-0.97267695948591,0.973,1,1.5775608740109e-15
"Rala",9.68202348494157e-20,-1.07771096391706,0.798,0.98,1.69203042422839e-15
"Kcnab1",1.02512779345291e-19,1.90565651919837,0.813,0.235,1.7915133318383e-15
"Ngef",1.33143338839183e-19,-1.08833796719808,0.924,1,2.32681298955356e-15
"Sdhb",1.74465123255407e-19,-1.20440058314656,0.806,1,3.0489524940115e-15
"Nwd2",1.78290080459639e-19,1.653401923386,0.864,0.529,3.11579744611265e-15
"Lrrtm2",1.96103503805016e-19,-1.07145899360212,0.852,1,3.42710483249645e-15
"Ogfrl1",1.9866847073895e-19,-0.927740270333956,0.992,1,3.47193019463389e-15
"Tuba1a",2.70339023207764e-19,-1.21290257989342,0.997,1,4.72444476957888e-15
"Ncald",2.93688533543159e-19,-0.950157364316227,0.995,1,5.13250081220024e-15
"Bcl11b",8.54063493363135e-19,-1.39115376586395,0.557,0.961,1.49256136100142e-14
"Rapgef5",8.99430065601371e-19,1.51223674305431,0.874,0.549,1.57184398264496e-14
"Camk2d",9.07221153223528e-19,1.87726941596483,0.837,0.392,1.58545968737344e-14
"Tagln3",1.10262004008026e-18,-1.06147234137672,0.992,1,1.92693878204427e-14
"Nfib",1.1706965632907e-18,-1.28530148679918,0.867,1,2.04590931400682e-14
"Necab1",1.28556908495255e-18,1.46359177365099,0.909,0.725,2.24666053286308e-14
"Syt17",2.00213983734054e-18,2.09361553211222,0.721,0.118,3.49893957973632e-14
"Fez1",2.09562912121266e-18,-1.12956383986753,0.87,0.98,3.66232145223125e-14
"Mdh1",2.18877148081556e-18,-1.2354413413659,0.985,1,3.82509703987328e-14
"Col12a1",2.23709667703651e-18,-1.38049613751986,0.125,0.706,3.909550152789e-14
"Itm2b",2.48426101993236e-18,-1.05466430369216,0.99,1,4.34149455843379e-14
