"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt-Co3",1.79577783116608e-09,1.1481142368181,1,1,3.13830133774584e-05
"mt-Cytb",1.96022062563251e-09,0.945692685391281,1,1,3.42568156535538e-05
"Bc1",1.63876577512094e-07,-0.992593671757728,0.983,1,0.00286390706860136
"mt-Atp6",2.01183422012396e-07,0.700727467488809,1,1,0.00351588148308863
"mt-Nd1",2.7575126519994e-07,0.832493822992091,1,1,0.00481902911063415
"mt-Co2",3.07082921290646e-07,0.671800277107504,1,1,0.00536658113247533
"Dynlrb1",1.19231146535097e-06,0.691112095056746,1,1,0.0208368351684735
"Zfp106",1.57689496970989e-06,-0.685754246968008,0.852,1,0.02755781649065
"Cadm3",3.20926841675834e-06,-0.68613217242289,0.96,1,0.0560851748512688
"5730455P16Rik",3.34952103781985e-06,-0.700619060648452,0.801,0.943,0.0585362296569396
"2900097C17Rik",4.45985084019652e-06,-0.408335112428572,1,1,0.0779403532832744
"mt-Nd2",5.39101865756831e-06,0.562830971937701,1,1,0.0942134420596638
"Nup37",5.66317341985809e-06,-0.310249088981002,0.091,0.371,0.09896961868544
"Gnao1",6.20377384940938e-06,-0.50292275112665,1,1,0.108417151792278
"Ap2a2",6.32886552530011e-06,-0.543576966250813,0.989,1,0.110603253920145
"Sumo2",8.18720680189914e-06,0.378006023619668,1,1,0.143079626069989
"Tmem245",9.0419042062533e-06,-0.755714627555301,0.915,1,0.158016317908483
"Rrp36",1.08448221871058e-05,-0.379795129453499,0.165,0.514,0.18952411254186
"Gpr137c",1.24675017150389e-05,0.323608792038041,0.591,0.771,0.21788205997202
"Pcsk2",1.27509316893767e-05,-0.501649823855603,0.989,1,0.222835282203548
"Rpl23a",1.32737177753847e-05,-0.437062344313524,0.994,1,0.231971491842624
"Slx4ip",1.37438817367221e-05,-0.306637037402406,0.205,0.543,0.240188077230955
"Rpp30",1.96182452225203e-05,-0.268326345879031,0.324,0.657,0.342848453508764
"Tnk2",2.09696350569439e-05,-0.437485626205142,0.699,1,0.366465342255152
"Amotl1",2.10322823149205e-05,-0.861134955874657,0.148,0.514,0.367560165735551
"Camta1",2.54648783171527e-05,-0.51388486637223,1,1,0.44502421347056
"Nipal3",2.88775735988315e-05,-0.554551071381682,0.812,1,0.504664476213179
"Stmn3",3.40510749022029e-05,0.441268581882376,1,1,0.595076584990897
"Flrt1",3.6991347719039e-05,-0.71398074043269,0.699,0.914,0.646460792737926
