"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"6430548M08Rik",1.61215715318694e-10,-1.12780839030138,0.619,0.823,2.8174058409095e-06
"Lsamp",5.95315993834293e-10,-0.679128563805571,0.915,0.979,1.04037423082481e-05
"Cadm3",7.53330094901534e-10,-0.686900188398444,0.96,0.979,1.31651967384992e-05
"Gnao1",1.32223622173251e-09,-0.507333028610452,1,1,2.31074002109973e-05
"Pcdh15",2.44712954583634e-09,-1.17239373313219,0.153,0.49,4.27660359430359e-05
"Nsf",4.38392370571587e-09,-0.461805227615673,1,1,7.66134506810906e-05
"Olfm1",7.12240660744802e-09,-0.500628518668004,1,1,0.000124471177871762
"Bc1",1.43114152559622e-08,-0.921777591993348,0.983,1,0.000250106293013196
"Hapln4",1.6737164524278e-08,-0.818630781158443,0.21,0.562,0.000292498687226283
"Camk2d",1.92673019845471e-08,-1.58965044055103,0.244,0.573,0.000336715369481946
"Rprd1a",2.17913759213767e-08,-0.582679833519565,0.869,0.979,0.000380826085601978
"Syn2",2.70570728826352e-08,-0.559695849882663,1,1,0.000472849405696932
"2900097C17Rik",3.33461154369857e-08,-0.373114264170959,1,1,0.000582756713376762
"Rimbp2",3.64255408257982e-08,-1.17905353481739,0.557,0.792,0.000636572751471649
"Fam174b",3.72769934181774e-08,-0.513924422741938,0.42,0.781,0.000651452736976069
"mt-Cytb",3.83083918052997e-08,0.567369389915656,1,1,0.000669477455189418
"C130074G19Rik",3.87391889423049e-08,-0.690940637955753,0.023,0.25,0.000677006065955721
"Bcl11b",4.98944916735839e-08,0.498169064163763,0.983,0.771,0.000871956136487553
"Napb",5.68868656247996e-08,-0.383063671102013,1,1,0.000994154863658998
"Arhgef9",7.84989995450869e-08,-0.476321058239523,0.994,1,0.00137184851604994
"Stmn3",8.23985086109867e-08,0.371910776839114,1,1,0.0014399963364856
"Cnr1",1.02183833132872e-07,-1.13127488174065,0.409,0.417,0.00178576466783007
"Pou3f2",1.11454531463636e-07,-0.626864031847511,0.023,0.24,0.0019477793918585
"Rtn3",1.14690065692185e-07,-0.320591842224638,1,1,0.00200432358803663
"mt-Co3",1.33400135278671e-07,0.654018810182766,1,1,0.00233130076413005
"Tmcc2",1.59095705111422e-07,-0.729620356513207,0.318,0.646,0.0027803565425272
"Tecr",2.01019292748728e-07,0.578265766764824,0.994,1,0.00351301316007677
"Il1rapl2",2.50982168261904e-07,-0.597846166925355,0.011,0.198,0.00438616437254503
"Fat3",2.85475755834036e-07,-0.914363379677741,0.551,0.74,0.00498897430895561
"Celf4",3.26666876503644e-07,-0.3147313508273,1,1,0.00570883033377769
"Pip5k1c",3.2814305931565e-07,-0.584373280821834,0.966,0.99,0.0057346281046003
"Ttc3",3.89441534844842e-07,-0.328119805525319,1,1,0.00680588026294846
"Pafah1b1",4.27766893357439e-07,-0.435243460561138,1,1,0.00747565422831461
"Chn2",4.76523587756917e-07,-1.0924143777935,0.205,0.49,0.00832772621963988
"Gpr88",5.01427175666723e-07,-1.28352796846941,0.034,0.24,0.00876294132195165
"Atp6v0a1",5.1514347448312e-07,-0.450647575913893,0.983,0.99,0.00900264736006701
"Cbx6",5.15922755542215e-07,-0.512861462922786,0.966,0.979,0.00901626607585575
"App",5.59403680834066e-07,-0.347125132696487,1,1,0.00977613872625613
"Gabbr2",5.69975668061002e-07,-0.429331013296376,0.983,1,0.00996089477503407
"Hrh3",5.93286444918068e-07,-0.99734380409764,0.318,0.594,0.0103682739113882
"Trak1",7.62788124012086e-07,-0.494515105992998,0.653,0.917,0.0133304852552352
"Pgbd5",7.658213138495e-07,-0.605368853133478,0.903,0.906,0.0133834932808339
"Slc24a3",8.6409479146379e-07,-1.18617943925802,0.114,0.323,0.0151009205756212
"Camk2a",8.64874041445394e-07,-0.533499356935939,1,1,0.0151145387482997
