"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nptxr",6.76434945161132e-114,-2.74006792042273,0.659,0.99,1.1821377101636e-109
"Cck",4.0403150939698e-101,-3.3226417961032,0.642,0.977,7.06085465822162e-97
"Nrn1",6.0438772448689e-100,-2.79029270744099,0.648,0.974,1.05622798731329e-95
"Crym",1.72898875175966e-95,2.33568618121015,0.994,0.68,3.02158074257518e-91
"Nrip3",1.79338159740306e-78,2.3094928570469,0.96,0.395,3.13411367962158e-74
"C1ql3",5.74918830817418e-74,-2.45024659362038,0.369,0.971,1.00472814873652e-69
"Rprm",1.14668436173551e-72,3.40387370730819,0.881,0.484,2.00394559056898e-68
"Camk2d",8.27625255727437e-71,-2.73062234226051,0.244,0.925,1.44635789690927e-66
"Syt6",8.19764016542078e-69,2.619730225397,0.773,0.056,1.43261959530894e-64
"Hs3st4",2.49457881500686e-68,2.50334572019118,0.881,0.395,4.35952593710599e-64
"Cnr1",2.79261572622173e-68,-2.50284174223392,0.409,0.948,4.88037524314509e-64
"Slc30a3",5.39031325996395e-67,-2.49601209169939,0.068,0.837,9.42011145311299e-63
"Nwd2",6.65018732752133e-67,-2.20514978776957,0.352,0.944,1.16218673735763e-62
"Rimbp2",2.11406156714036e-65,-1.99063681368396,0.557,0.958,3.69453399473448e-61
"Ccdc12",4.23973148880222e-65,1.81954388223992,0.96,0.791,7.40935474983075e-61
"Camk2n1",3.35644227668514e-64,-1.49057143925127,0.994,1,5.86571852273495e-60
"Lmo3",3.0939663610816e-63,1.71991852136042,0.983,0.559,5.40701561262621e-59
"Foxp2",4.52936250266274e-63,2.58196932802354,0.812,0.167,7.91551390965341e-59
"Ldhb",4.73939878560216e-62,1.7399657072973,0.983,0.912,8.28257331771834e-58
"Ptprk",1.18404368896277e-60,-2.07033484815341,0.08,0.81,2.06923475083135e-56
"Car10",2.25518335551471e-59,-1.91046751084127,0.585,0.961,3.9411584320975e-55
"Ubb",6.32824208410339e-59,1.62187705163707,1,1,1.10592358661791e-54
"Ndn",1.10069137420343e-58,1.71794787975389,0.989,0.977,1.92356824555791e-54
"Srgap3",1.26738916239157e-58,-1.72101904917812,0.381,0.964,2.2148893001955e-54
"Cpne5",1.21342123472353e-57,-1.99970678843111,0.21,0.882,2.12057494980285e-53
"Ntm",3.36647764940402e-57,-1.63799823431446,0.67,0.977,5.88325634009846e-53
"Tle4",1.75282551982405e-56,2.22112081129097,0.858,0.31,3.06323787844451e-52
"Slc39a10",2.56828564588257e-56,-1.21663893020069,0.96,1,4.48833599474438e-52
"Bcl11b",6.10746442908097e-56,1.85011384925846,0.983,0.503,1.06734048362619e-51
"Mef2c",8.09522405788566e-55,-1.2087989235656,1,1,1.4147213563561e-50
"Lmo1",1.23608059000548e-54,2.20083554404933,0.869,0.268,2.16017443909358e-50
"Uchl1",2.23887250212867e-54,1.2509704998334,0.994,1,3.91265358472006e-50
"Stum",2.50376599623551e-54,-1.7462170764103,0.233,0.912,4.37558145502118e-50
"Sema5a",2.52624445165498e-54,2.51285324449398,0.75,0.095,4.41486480371224e-50
"Nfia",4.97324741448295e-54,2.00902517960275,0.92,0.461,8.69124718155041e-50
"Pcdh15",5.76201601439474e-54,-2.02299739527482,0.153,0.817,1.00696991867562e-49
"Ppp1r1b",3.96518192027667e-53,1.92138615206672,0.841,0.222,6.9295519238755e-49
"Ifi27",8.84093973614733e-53,2.17990018031836,0.807,0.225,1.54504262828911e-48
"Rnf152",9.47547465255145e-53,2.2241128566311,0.648,0.033,1.65593395027989e-48
"Necab1",1.89238452973513e-52,-1.91780174594533,0.602,0.922,3.30713120416511e-48
"Hsp90ab1",1.97539587790318e-52,1.15973178018922,1,1,3.4522018362236e-48
"Auts2",3.73646729760146e-52,-1.44083981301908,0.761,0.974,6.52985024928831e-48
"Fez1",4.54169143992043e-52,1.32272482788283,0.983,0.905,7.93705996040495e-48
"Mdh1",6.34601887252578e-51,1.3374542073045,0.994,0.997,1.1090302581626e-46
"Hsp90aa1",9.1274532996085e-51,0.975776689976509,1,1,1.59511373863958e-46
"Kcnab1",1.02637504164983e-49,-1.7813868759175,0.273,0.889,1.79369302278725e-45
"Plcb4",1.27879552026532e-49,1.78539023697232,0.892,0.441,2.23482305121567e-45
"Rwdd2a",1.52069839235925e-49,2.05547693311157,0.818,0.353,2.65757251048703e-45
"Wnt4",1.65879744127047e-48,-1.93482284069137,0.136,0.761,2.89891440836428e-44
"Sparcl1",2.72779197488766e-48,1.27041891106427,0.994,0.951,4.76708925531368e-44
"Tecr",5.76938923681487e-48,1.37740253296174,0.994,0.98,1.00825846302577e-43
"6430548M08Rik",5.84756505411041e-47,-1.62604713763993,0.619,0.889,1.02192046885634e-42
"Lingo1",8.25827694310009e-47,-1.07630335570915,0.972,1,1.44321647857617e-42
"Nfib",1.15452717577814e-46,1.2906317112592,1,0.869,2.01765169238988e-42
"Ptprs",1.48325589767524e-46,-0.906238569905199,0.989,0.997,2.59213800677725e-42
"Nxph3",4.57379529973692e-46,1.95658795346226,0.761,0.173,7.99316466582024e-42
"Calm1",5.08540696852443e-46,0.652712826435645,1,1,8.8872572181933e-42
"Cxcl12",2.47134293777014e-45,1.91829792773801,0.858,0.284,4.3189189180471e-41
"Cyr61",6.0878220139408e-45,2.85955583195903,0.71,0.127,1.06390777515629e-40
"Col12a1",6.73798085298605e-45,1.98409806368743,0.705,0.111,1.17752953386784e-40
"Nr2f1",6.86405003777833e-45,-1.45148364357607,0.795,0.967,1.19956138460214e-40
"Cnih3",1.3011599335753e-44,-1.42623582736056,0.699,0.938,2.27390709991619e-40
"Sla",2.04406240999547e-44,1.58784535966641,0.642,0.056,3.57220346770809e-40
"Ckb",2.74102455909809e-44,1.4054736838153,0.994,0.993,4.79021451947983e-40
"Mdh2",2.84523146934569e-44,1.36536917032807,0.972,0.912,4.97232651582853e-40
"Slc2a13",4.69019468488478e-44,-1.59806403849972,0.318,0.859,8.19658423130464e-40
"Bok",8.33012294158987e-44,-1.88934609367211,0.324,0.853,1.45577228527225e-39
"Syt4",2.96191075720945e-43,-0.947214235243018,1,1,5.17623523929923e-39
"Psma4",5.02427242699486e-43,1.50834496405774,0.926,0.69,8.78041849341621e-39
