"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Stmn3",2.64470554322553e-09,0.622023482120429,1,1,4.62188740734093e-05
"Rpgrip1l",3.37464024903309e-09,-0.748687780979535,0.369,0.914,5.89752129921024e-05
"Caln1",1.72584316004101e-08,-0.947983817896347,0.972,1,0.000301608350648766
"Atp5o.1",5.24350064193508e-08,0.699950990283961,0.989,0.971,0.000916354172184574
"Bc1",1.41847519388255e-07,-1.02900278002603,0.983,1,0.00247892724882914
"Peg3",2.25740402528503e-07,-0.727392284434256,0.966,1,0.00394503927458812
"Dst",2.6054532723096e-07,-0.647860690771795,0.983,1,0.00455329013868826
"Syt11",2.63494307329339e-07,-0.516942234583388,1,1,0.00460482651488752
"Ttc9b",2.76458319482933e-07,1.05052477373123,0.989,0.971,0.00483138559128374
"Rpl15",3.15040669415427e-07,0.391545879623497,1,1,0.00550565073870401
"C1qtnf4",5.46000031126821e-07,0.799091889078811,0.972,0.971,0.00954189654397232
"Rab3c",1.13468994532224e-06,-1.47160461688863,0.909,0.971,0.0198298414844514
"Gabarapl1",3.12172403886765e-06,-0.432955375823806,0.994,1,0.054555249303251
"Cox4i1",3.19752323729752e-06,0.528617595020989,1,1,0.0558799160950114
"H3f3a",3.40756966051199e-06,0.549974954693297,0.994,1,0.0595506873871075
"Snx25",3.51132143621877e-06,-0.717135818469711,0.216,0.657,0.0613638534193592
"Mrps21",3.91597413626545e-06,0.654904168476405,0.949,0.886,0.068435564005375
"Adam15",3.94588259940478e-06,-0.36406177903466,0.614,0.971,0.0689582443071979
"Dynlrb1",3.98879678056235e-06,0.662525415531467,1,1,0.0697082125371076
"Cfl1",4.41214151052036e-06,0.506712887137039,1,1,0.0771065850378538
"Wfs1",4.57119423092857e-06,-0.701359980805399,0.324,0.771,0.0798861903797076
"Tecr",4.64005787496345e-06,0.848493957041717,0.994,1,0.0810896514228613
"Scg5",5.38388698446275e-06,0.576924794612485,0.994,0.971,0.0940888089404711
"Sumo1",5.62642749614219e-06,0.388715307412845,0.994,1,0.0983274469225809
"Yipf4",5.93644810779173e-06,0.725005224925637,0.943,0.857,0.103745367131768
"Ppfia1",6.64511296702838e-06,-0.252143649862975,0.312,0.657,0.116129994211788
"Cdh13",6.93479078664979e-06,-0.826677291504567,0.915,1,0.121192403787492
"Psmb6",7.41263346143719e-06,0.67798461406326,0.972,0.914,0.129543182372076
"Eif4a2",7.58028250249907e-06,0.463734747019387,1,1,0.132473017013674
"Pafah1b1",7.87863747333861e-06,-0.517925375544086,1,1,0.137687068484065
"Xylt1",7.89542249505112e-06,-0.783917542891483,0.773,0.971,0.137980403523513
"Atp6v0a1",9.59525483896374e-06,-0.563696529761273,0.983,1,0.16768667356573
"Crim1",9.88879793451278e-06,-0.809359490233536,0.881,1,0.172816632703545
"2900097C17Rik",1.04640014995995e-05,-0.402747909851684,1,1,0.182868890207001
"Atp6v0b",1.099343175348e-05,0.504844078423652,1,1,0.192121213323816
"Hlf",1.13118876861419e-05,-0.784380212938823,0.926,1,0.197686549203015
"Nsf",1.1753474628799e-05,-0.48603039510424,1,1,0.205403722612892
"Rab39b",1.41349886526077e-05,-0.335207980845918,0.693,1,0.247023061692972
"Snap25",1.42605822116231e-05,0.353882601889312,1,1,0.249217934730326
"Vapa",1.53421668032107e-05,0.507288940576135,0.983,1,0.26811970705291
"Cbx6",1.53622118357535e-05,-0.615772441766097,0.966,1,0.268470014041628
"Snrpn",1.58035384898355e-05,0.330060748034519,1,1,0.276182638648366
"Ndufs7",1.73063958370023e-05,0.43490092642071,0.983,1,0.302446573647452
"Tspyl4",1.78689247091604e-05,-0.502359454351023,0.989,1,0.312277328217286
"Rpl18",1.83008635930083e-05,0.490542410783663,1,1,0.319825892151412
"Ywhah",1.89299160444312e-05,0.383590620184266,1,1,0.330819212792479
"Cntnap2",2.07646925060079e-05,-0.863016994105917,0.676,0.943,0.362883766234994
"Selenok",2.14833270038507e-05,0.479512310144443,1,1,0.375442622719295
"Dpp6",2.25561809145976e-05,-0.914261951433803,0.642,0.943,0.394191817663507
"mt-Cytb",2.26736185309589e-05,0.6313811214653,1,1,0.396244157447038
"Rimklb",2.32455501735232e-05,-0.731832950238916,0.352,0.771,0.406239234832492
"Opa1",2.42010528299593e-05,-0.628809819534004,0.83,1,0.422937599256368
"Syt4",2.63055442663549e-05,-0.554296590940692,1,1,0.459715691598819
"Tenm4",2.68407911830813e-05,-1.07269024859796,0.636,0.943,0.469069666715528
"Calm2",2.70295645122463e-05,0.454676099650835,1,1,0.472368669416017
"Ywhaz",2.70672876455221e-05,-0.290192584341746,1,1,0.473027918893145
"Col12a1",2.76651189329024e-05,1.24938608801718,0.705,0.343,0.483475618471402
"Uso1",2.85201128739593e-05,-0.416058804513873,0.705,1,0.498417492585312
"Tro",2.97152499860119e-05,-0.650876693556137,0.653,0.857,0.519303708755543
"Cavin4",3.26163688579717e-05,-0.399667002486771,0.006,0.2,0.570003662161913
"Arid4a",3.29389651858392e-05,-0.601045925444043,0.864,0.971,0.575641355587726
"Cox5a",3.3262313276196e-05,0.404673137844575,1,1,0.581292186814801
"mt-Co3",3.34258068044979e-05,0.723905823357763,1,1,0.584149399715406
"Anks1b",3.55447611766322e-05,-0.484481417719639,1,0.971,0.621180246322824
"Rasa3",3.61941311180671e-05,-0.551093814454098,0.176,0.543,0.63252863541934
"Psmb5",3.67528095716932e-05,0.593054679157571,0.983,0.971,0.64229210007491
"Ccdc88c",3.67968004305638e-05,-0.695878957539951,0.188,0.571,0.643060884324533
"Dctn3",3.74344988397797e-05,0.54909951795187,0.989,0.943,0.65420530172399
"Nenf",3.76388394045895e-05,0.540505931606655,1,1,0.657776357434607
"Stmn1",3.86946347564572e-05,0.530042842052605,1,1,0.676227437003847
"Myl12b",3.88386550899011e-05,0.564043270337169,0.994,1,0.678744336351112
