"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt-Co3",2.97342194851061e-17,1.43898427272481,1,1,5.19635219721714e-13
"mt-Cytb",3.60754855765735e-17,1.16820044993304,1,1,6.30455185936199e-13
"mt-Co2",2.27525173654645e-15,0.899440721012882,1,1,3.97622993478857e-11
"mt-Atp6",3.854805551003e-15,0.914816821272465,1,1,6.73665818093284e-11
"mt-Nd1",2.71940725789215e-13,0.997240611048694,1,1,4.75243612389233e-09
"mt-Co1",5.84060559385482e-11,0.567073492733257,1,1,1.02070423358207e-06
"Bc1",1.2462288524157e-10,-1.08133514670757,0.983,1,2.17790954248167e-06
"mt-Nd2",1.50688667290654e-10,0.651606366275019,1,1,2.63343514957147e-06
"Cadm3",2.1964252953752e-10,-0.727306865213583,0.96,1,3.83847284619769e-06
"2900097C17Rik",2.6366859985404e-09,-0.498894058417648,1,1,4.6078724510492e-05
"mt-Nd4",1.5721385375033e-08,0.476521546384659,1,1,0.000274746930814076
"Agap1",2.41085196534224e-08,-0.785972158175072,0.83,0.961,0.00042132048946321
"Tenm1",3.23535402687545e-08,-0.775319923845299,0.841,0.98,0.000565410469736754
"Susd4",3.2949784295157e-08,-0.699735310798566,0.886,0.98,0.000575830430342163
"Dnajb14",4.64703312647885e-08,-0.626022673434127,0.972,1,0.000812115509183443
"Chchd10",5.71406635058959e-08,0.664200796600351,1,1,0.000998590235429036
"Cbx6",6.29293474769941e-08,-0.623144847462944,0.966,1,0.00109975327650795
"Grik3",7.63422761686778e-08,-0.715304377920301,0.818,0.98,0.00133415761832381
"Lsamp",7.87800033637089e-08,-0.810092577887714,0.915,1,0.00137675933878418
"Nmt1",1.21501029322458e-07,-0.596078427078707,0.92,1,0.00212335198843928
"Tmem94",1.39514254120226e-07,-0.60503211452879,0.21,0.627,0.00243815110500507
"Olfm1",1.47368173903852e-07,-0.503949338946114,1,1,0.00257540620714372
"Pgm2l1",1.50711918650105e-07,-0.476849393859805,1,1,0.00263384149032923
"Gnao1",1.80445095254254e-07,-0.497070617790404,1,1,0.00315345848466335
"Zfp106",2.1096927615173e-07,-0.666940425278952,0.852,0.961,0.00368689907002764
"Hpcal4",2.34104962809471e-07,-0.501317038676856,1,1,0.00409121833005831
"Tmsb4x",2.53618054130893e-07,0.445736200665897,1,1,0.00443222911399149
"Cox8a",2.55428009926672e-07,0.36414576937431,1,1,0.00446385990147852
"Map1b",2.60694415646327e-07,-0.416548330934161,1,1,0.00455589560783521
"Ubxn2a",2.87265213397228e-07,-0.675273511213511,0.597,0.941,0.00502024686932996
"Prss35",3.3562578308674e-07,-0.572809395331114,0.506,0.902,0.00586539618522388
"Tsc22d2",3.64484118132292e-07,0.504287529003862,0.818,0.882,0.00636972444847993
"Map7d2",4.00572040729154e-07,-0.571348632871451,0.96,1,0.0070003969837827
"Tmem130",5.0233918984686e-07,-0.692877120073144,0.835,0.98,0.00877887968176372
"Rpl19",5.09667960997995e-07,0.343343385718155,1,1,0.00890695728640096
"Las1l",5.30667730374862e-07,-0.630831534857841,0.545,0.922,0.00927394925603109
"Dnajc5",5.59576662142604e-07,-0.546204314819921,0.989,1,0.00977916174760414
"Camk2a",5.59729422545575e-07,-0.527230933458885,1,1,0.00978183138840647
"4430402I18Rik",5.69383896660207e-07,0.522968731902948,0.705,0.765,0.00995055297803378
"Wdr60",6.03769812258359e-07,-0.581898184362509,0.295,0.706,0.0105514812390271
"Slc8a2",7.5159185822671e-07,-0.516405771302744,0.977,1,0.01313481931437
"Rabep1",7.5589399974384e-07,-0.576592921611935,0.858,1,0.0132100035395233
"Gabarap",7.76263388455492e-07,0.626529696848596,0.994,1,0.0135659789766482
"Gria4",8.74918602737304e-07,-0.491834383061828,0.403,0.804,0.0152900775014371
"Dact1",8.87496032520733e-07,-0.270500179295896,0.165,0.471,0.0155098806643323
"Atp2b4",8.96411876810112e-07,-0.608456909348659,0.983,1,0.0156656939591335
"Ppp2r2c",9.25175493698807e-07,-0.499542108311858,0.994,1,0.0161683669278804
"Gabarapl1",1.01782715575121e-06,-0.348075591990764,0.994,1,0.0177875473739081
"Dpm2",1.01883522291098e-06,0.309121974338641,0.852,0.98,0.0178051643555923
"Uqcrh",1.20158947526855e-06,0.378244156343307,1,1,0.0209989776697932
"Macf1",1.24479000849475e-06,-0.595703524280108,0.96,1,0.0217539501884542
"Fam168a",1.30698576890008e-06,-0.472103219009868,0.989,1,0.0228408832972978
"Pex5l",1.40095091088846e-06,1.00500156396214,0.75,0.843,0.0244830181186867
"Sh3rf3",1.5003426525233e-06,-0.404251213075234,0.381,0.765,0.0262199881954971
"Csnk2a1",1.5035845993772e-06,-0.547033716203102,0.943,0.98,0.026276644458716
"Coq5",1.63043817294072e-06,0.319131792113897,0.67,0.804,0.028493537510312
"Spock2",1.77151296017508e-06,-0.461830193278417,0.994,1,0.0309589604920198
"Stk4",1.78425216559134e-06,-0.330593600534484,0.455,0.824,0.0311815908458743
"Ncl",2.31361058252363e-06,-0.60741589009529,1,1,0.040432658540183
"Dynlrb1",2.59150140574231e-06,0.59383989138305,1,1,0.0452890785667526
"Gne",2.65789037916726e-06,-0.264905915827269,0.284,0.608,0.046449292266327
"mt-Nd3",2.68403409476738e-06,0.554633205104424,1,1,0.0469061798401547
"Nr2c2",2.79788998312781e-06,-0.351536839131706,0.739,1,0.0488959253451416
"Usp34",2.83375652318372e-06,-0.503319770833706,0.96,1,0.0495227289991587
"Rbm48",2.85714245749676e-06,-0.384063646190721,0.307,0.667,0.0499314215872134
"Dag1",2.90220425083943e-06,-0.342772708292702,0.517,0.863,0.0507189214876698
"Rnasel",3.5128721892666e-06,-0.398984390242632,0.33,0.686,0.0613909543796231
"Dlc1",3.56525842329047e-06,-0.653814094142478,0.67,0.961,0.0623064562054243
"Tmem30a",3.72746282788173e-06,-0.382446351960343,1,1,0.0651411403800611
"Sv2a",3.87452810057934e-06,-0.42556043268785,0.994,1,0.0677112530857245
"Nipal3",3.94165173360033e-06,-0.64131379888674,0.812,0.961,0.0688843056963993
"Alg9",3.95141187846527e-06,-0.265081816673701,0.188,0.471,0.069054873988059
"Susd6",4.01211558914431e-06,-0.451809865560889,0.386,0.765,0.070115732035886
"Syt11",4.10128104549343e-06,-0.322767775755796,1,1,0.0716739875510431
"Ap2b1",4.46105381707547e-06,-0.512684306131117,0.955,1,0.077961376507211
"Rtn3",4.54740339144001e-06,-0.300087362862643,1,1,0.0794704216688056
"Rnf114",4.88951188496242e-06,-0.314473386409908,0.369,0.706,0.0854491097016032
"Gpr137c",5.0617440940409e-06,0.77039886730259,0.591,0.49,0.0884590397874588
"Brinp2",5.12273937284993e-06,-0.559640718146925,0.682,0.961,0.0895249932799253
"Stmn3",5.13023864029621e-06,0.423424376838089,1,1,0.0896560504778166
"Pptc7",5.15468683786888e-06,-0.369093901637202,0.534,0.882,0.0900833071785965
"Ablim1",5.1683660064339e-06,-0.560655920865411,0.886,1,0.0903223643284389
"Napb",5.32196047697322e-06,-0.36811382939236,1,1,0.0930065812955841
"Osbpl1a",5.39354500755501e-06,-0.47666797784228,0.96,1,0.0942575925520313
"Hapln4",5.51244167867322e-06,-0.555947335252279,0.21,0.569,0.0963354307764932
"Khsrp",5.64286097048048e-06,-0.561422545199332,0.5,0.863,0.0986146383201169
"Polg",5.92318117476062e-06,0.363265868407942,0.631,0.765,0.103513514210117
"Sema3c",6.39203576130334e-06,-1.02396234900787,0.358,0.686,0.111707216964537
"Rps19bp1",6.80908365918348e-06,0.273956786834869,0.812,0.941,0.11899554602789
"Pfdn5",7.46470925913239e-06,0.401329867716901,0.994,1,0.130453259012598
"Arhgef9",7.72250823870525e-06,-0.471883444550012,0.994,1,0.134958553979613
"Impdh1",8.16802701607936e-06,-0.372359422240905,0.392,0.745,0.142744440133003
"Ccdc85a",8.36542142248979e-06,0.333094285573353,0.597,0.745,0.146194104779432
"Hs3st4",8.5934888099783e-06,-0.590147769716034,0.881,0.941,0.150179810443181
"Srcin1",8.67062130879397e-06,-0.45069521775125,0.989,1,0.151527777992483
"Arhgap25",8.73271911658537e-06,-0.485093174205543,0.591,0.922,0.152612999281446
"Aldh9a1",8.96812621534402e-06,-0.359221668053354,0.153,0.451,0.156726973739352
"B230217C12Rik",9.26646073170756e-06,0.684226322019732,0.886,0.843,0.161940667747321
"Rprd1a",9.41046469908183e-06,-0.506682501637286,0.869,1,0.164457281081154
"Rangap1",9.49023085080566e-06,-0.49463240853333,0.966,1,0.16585127434868
"Trabd2b",9.75589608776467e-06,-0.362921375595346,0.227,0.549,0.170494040029775
"Rnf20",1.01059875855691e-05,-0.50148243922544,0.534,0.882,0.176612239045406
