"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Bc1",8.89449949931772e-09,-1.08257736716879,0.982,1,0.000155440273250076
"Dynlrb1",1.65902294209306e-08,0.678648045851424,1,1,0.000289930849360184
"Sumo2",9.14709738502947e-08,0.409124996742206,1,1,0.00159854673900775
"mt-Co3",6.24568279530196e-07,0.936524550443183,1,1,0.0109149552530697
"Rab3a",6.5558072034547e-07,0.519004275368526,1,1,0.0114569286687574
"Fxyd7",1.99561446506528e-06,0.565978296220857,1,0.971,0.0348753583914808
"mt-Cytb",2.99158868352477e-06,0.744535140554048,1,1,0.0522810038332789
"Fndc3a",3.556607690644e-06,-0.26107238261582,0.69,1,0.0621552760016946
"Stmn3",5.32985424501958e-06,0.465597981971367,1,1,0.0931445327859621
"Kif1b",6.16887042666309e-06,-0.457471157727112,1,1,0.107807179576364
"Dynll1",6.42144758212728e-06,0.289440551045959,1,1,0.112221217945256
"Rbm3",7.40985749394144e-06,0.625302718903732,0.993,0.971,0.129494669564121
"Mllt11",8.60998125329894e-06,0.419910395017381,1,1,0.150468032382652
"Rorb",8.96594132373419e-06,-0.670248801999101,0.064,0.371,0.156688790573579
"Tnk2",1.35336793395039e-05,-0.443277521749643,0.701,1,0.23651458013717
"Tmem245",1.38736971738276e-05,-0.69199027182784,0.957,1,0.242456731809812
"Sez6l",1.46861875783596e-05,-0.588794181064041,0.911,1,0.256655814119412
"Yipf5",1.49218921981297e-05,0.609127787703437,0.843,0.771,0.260774988054515
"Rpl23a",1.5608105492436e-05,-0.423241815048384,0.996,1,0.272767251585812
"Galnt17",1.5912476433032e-05,-0.700037150406505,0.459,0.857,0.278086438143667
"Exoc4",1.74810604444833e-05,-0.598186224223355,0.776,0.971,0.30549901232779
"Timp4",1.90940059343658e-05,-0.548024095779974,0.199,0.571,0.333686847708977
"Orc3",2.1810215849605e-05,-0.270551246649595,0.288,0.6,0.381155332187697
"Nup37",2.22871549666242e-05,-0.298234140107334,0.11,0.371,0.389490320196724
"Adrb1",2.29501239102064e-05,-0.790769625139087,0.292,0.686,0.401076365454767
"Dhcr24",2.36556771866855e-05,-0.58242926609701,0.673,0.971,0.413406614514517
"Saysd1",2.69922444955557e-05,0.375979937329563,0.598,0.686,0.471716464804331
"Timp2",2.88870886521492e-05,-0.848328472092962,0.833,1,0.504830761284959
"Pebp1",3.29261059847548e-05,0.290268763868938,1,1,0.575416628189575
"Senp7",3.77730590773722e-05,-0.451009407121016,0.73,1,0.660121980436156
"Hlf",4.08756635281974e-05,-0.884172442713067,0.911,0.971,0.714343095818778
"mt-Atp8",4.1124297525101e-05,-0.450356264090189,0.754,1,0.718688223548665
"Slx4ip",5.54037845206288e-05,-0.343773055048791,0.224,0.543,0.968236538282509
"Ttc9b",5.85780261251617e-05,0.432318408892858,1,1,1
"Calm2",6.26157792928064e-05,0.250646112766143,1,1,1
"Col4a2",6.39318708095028e-05,-0.472073622270171,0.178,0.514,1
"Atp5o.1",6.9226904057079e-05,0.435615995363794,0.996,1,1
"mt-Nd1",6.92495115145793e-05,0.565691613270652,1,1,1
"Cds2",7.4228080297902e-05,-0.480012211949054,0.964,0.971,1
"Slc25a22",7.55141575860834e-05,-0.461052656855405,0.982,0.971,1
"Svip",7.69243533430621e-05,-0.564706411544909,0.683,0.943,1
"Synj1",7.76789857326259e-05,-0.453168557418818,1,1,1
"Rtn3",7.86512598788557e-05,-0.294605062651945,1,1,1
"Pex16",8.63645124991123e-05,0.298738558588824,0.473,0.514,1
"Mrpl11",9.37109833643761e-05,0.453389555996921,0.972,0.971,1
"Peli1",0.00010097680406411,-0.671781862091287,0.79,0.943,1
"Arxes2",0.000101088262682098,0.440526926090049,0.947,0.971,1
"Pfn2",0.000101258567703669,0.278907109781223,1,1,1
"Fbxo42",0.000106227744575259,-0.535191685882837,0.313,0.686,1
"Tspyl4",0.000107818212932088,-0.475892753844937,1,1,1
"H3f3a",0.000108930513858542,0.359022231253132,1,1,1
"Gnao1",0.000111604569320035,-0.406121101339935,1,1,1
"Zik1",0.000111763329057257,-0.345023015390117,0.32,0.657,1
"Trp53i11",0.000115848238128623,-0.743649375636595,0.071,0.343,1
"Mrpl39",0.000117942184082365,0.344292893753893,0.495,0.514,1
"Atp6v0b",0.000118352684171089,0.354805071934962,1,1,1
"Pcsk2",0.000125443223702912,-0.404069193820416,0.996,1,1
"Cox4i1",0.000126126282567662,0.38489451536348,1,1,1
"Plxna1",0.000131475164277764,-0.400863899783946,0.391,0.743,1
"App",0.000131907072316982,-0.35479065567421,1,1,1
"Pcm1",0.000144653743116299,-0.483632252091131,0.794,1,1
"Zdhhc21",0.000152511238609913,-0.432046790185901,0.762,1,1
"Lrrc40",0.0001566055255301,-0.411670325709413,0.317,0.657,1
"Tmcc2",0.000158733821939299,-0.336042679403689,0.331,0.657,1
"Zfp106",0.000159843877530739,-0.495097106574601,0.929,1,1
"Pyroxd1",0.00016234849716095,-0.283350592248439,0.249,0.543,1
"mt-Atp6",0.000163658945715851,0.487420637832944,1,1,1
"Vps26b",0.000165953193070512,-0.379829482480924,0.758,1,1
"Ddx10",0.000167247979336704,-0.306289018902212,0.32,0.629,1
"Cant1",0.000186340732595309,0.266833862241746,0.509,0.6,1
"Camk2a",0.000191552851279714,-0.498409452527143,1,1,1
"Cadm3",0.00019552396814191,-0.515809397377527,0.989,1,1
"mt-Co2",0.00021064921784874,0.4636063496008,1,1,1
"Nsf",0.000211224621556778,-0.380514952070863,1,1,1
"Ap2a2",0.00021123210600732,-0.410847673926235,0.993,1,1
"Ube2w",0.000214538955352107,0.560356779972213,0.989,0.914,1
"Sgpp2",0.000218143561977289,-0.289825741691261,0.064,0.286,1
"Sort1",0.000219976239623737,-0.59487430335858,0.836,0.943,1
"Spock2",0.000221183495975652,-0.311279771235975,1,0.971,1
"Ptpn12",0.000234495269160331,-0.250161089862942,0.402,0.686,1
"Syt17",0.000246446709012486,-1.01760110048216,0.028,0.229,1
"Cox15",0.000254763632652554,-0.316564209279342,0.203,0.486,1
"Stat2",0.000256759187302412,-0.252165728817179,0.331,0.629,1
"Crip2",0.000256937182548216,0.451475025364617,1,1,1
"Flrt1",0.000258199666796388,-0.588083819626225,0.765,0.914,1
"Npy1r",0.000261572192963919,-0.905631780280191,0.178,0.457,1
"Cpeb3",0.000265777862263304,-0.486069512045577,0.79,0.829,1
"Ptprf",0.000265984746077568,-0.572671788943137,0.658,0.943,1
"Cbll1",0.000291207456149263,-0.262299819706392,0.438,0.743,1
"Fbxo18",0.000294052181356205,-0.434769263945239,0.342,0.686,1
"Gm42418",0.000311542027848827,-0.351879446385188,1,1,1
"Fbxl16",0.00032760234485884,-0.443021767530416,0.972,1,1
"Cops7a",0.000328539490402239,0.363749151413413,0.964,1,1
"Gabarap",0.000332338473250954,0.447727395474033,0.996,1,1
"Pip4k2b",0.000347020661516625,-0.32202313160999,0.772,1,1
"Zfp623",0.000356482110171627,-0.328648148904159,0.068,0.286,1
"Arhgef18",0.000377516433066236,-0.407005899463449,0.409,0.743,1
"C1d",0.000385256477695946,0.534527548800643,0.975,0.943,1
"Atp8b2",0.000397558452632103,-0.331532363303454,0.206,0.486,1
"Kctd20",0.000398924508095992,-0.338082809857114,0.655,0.943,1
"Slc25a19",0.000400011283909523,-0.333524590303103,0.505,0.829,1
"Cd81",0.000409220658742192,0.531352012420212,0.996,1,1
"Stmn1",0.000410781271681358,0.264117522927929,1,1,1
"Golgb1",0.000442402827309021,-0.503394485541135,0.872,0.971,1
"Rock2",0.000443338480125791,-0.3668689128283,1,1,1
"Zmynd11",0.000457170530834904,-0.376264102392438,0.989,1,1
"Glra2",0.000465648634356093,0.84833577868151,0.783,0.543,1
"mt-Nd2",0.000481191958306735,0.389816589704839,1,1,1
"Mkl1",0.000485873189459086,-0.386299069624752,0.335,0.657,1
"Mapt",0.000487566244311903,-0.317151601997471,1,1,1
"Bicral",0.000487935636902834,-0.430502588336912,0.658,0.943,1
"Arf5",0.00050767763652598,0.364270317802993,1,1,1
"Atp5h",0.000518295586049649,0.282990293395023,1,1,1
"Eea1",0.000520220337867334,-0.302725791386871,0.783,1,1
"Zzef1",0.000523563205431929,-0.408092228515367,0.658,0.943,1
"Nmt1",0.00052833432383832,-0.465179993579465,0.954,1,1
"Rap2a",0.000528801187103293,-0.475517753675048,0.964,1,1
"Prkar2a",0.000530046582082145,-0.481376164939302,0.911,1,1
"Disp2",0.000532833439449586,-0.495279506613836,0.879,1,1
"1810022K09Rik",0.00054424024894712,-0.608980925162844,0.69,0.914,1
"Fam114a2",0.000557989401869774,-0.476498310658964,0.619,0.914,1
"Arhgap22",0.000562598041871511,-0.441162240572558,0.103,0.371,1
"Polr3a",0.000592517854038516,-0.253509324258797,0.246,0.514,1
"Cldn10",0.000623177185329488,0.300213284787781,0.374,0.429,1
"Nudt8.1",0.00063876814676287,-0.276169708041221,0.078,0.286,1
"Asnsd1",0.00067177903172087,-0.420045556575631,0.384,0.714,1
"Trpv2",0.000679087044905796,-0.265035667306605,0.224,0.486,1
"Ccdc184",0.000690432602090323,0.379849546287548,0.577,0.6,1
"Ctxn1",0.000694743590474367,0.364742596918674,1,1,1
"1110032A03Rik",0.00069610914256816,0.342357931928852,0.783,0.857,1
"Lyst",0.000699138986966629,-0.279094070188268,0.566,0.857,1
"Zfpl1",0.000702766506437134,0.465248511436476,0.609,0.543,1
"Nme2",0.000704646874748458,-0.333098632098581,0.335,0.629,1
"Selenow",0.000711177759395131,0.336965360906897,1,1,1
"Enc1",0.000713945556053505,-0.505238507453686,0.996,1,1
"Prdx1",0.000718633123014209,0.475058208829477,1,0.943,1
"Dph5",0.000724701054725789,0.30985820867815,0.441,0.486,1
"Ybx3",0.00072933971829691,-0.35948215706748,0.37,0.686,1
"Cnot4",0.000729826416475331,-0.480536087013219,0.751,0.971,1
"Atp6v1f",0.000732648696858662,0.3110510704591,1,1,1
"Sumf1",0.000752473904258043,-0.435387203364624,0.359,0.686,1
"Pomp",0.000770928458210945,0.330408132831228,1,1,1
"Arl16",0.000780430943158412,-0.430426756011524,0.58,0.886,1
"Zfp787",0.000781086359109531,-0.290063595145949,0.32,0.6,1
"Thumpd3",0.000819331799360963,0.301987534519285,0.438,0.457,1
"Rgs11",0.000824099927821928,0.261229357187292,0.569,0.657,1
"Glt8d2",0.000824324948908602,-0.387461343051474,0.302,0.6,1
"Cbfa2t2",0.000838707278182053,-0.459393232951943,0.441,0.771,1
"Chchd6",0.000847198312617787,0.410936472002887,0.993,1,1
"Rbm8a",0.000847798337207039,0.273430698235709,0.886,0.971,1
"Klhdc8a",0.0008503750589491,-0.35610953079916,0.068,0.286,1
"Il1rap",0.000852564640566001,-0.315010670635919,0.498,0.8,1
"Dnal4",0.000899946197209254,-0.449794477760532,0.705,0.943,1
"Map1b",0.000922198909953364,-0.275534491365454,1,1,1
"Sv2a",0.000940018303702221,-0.332706343698713,1,1,1
"Ndufb10",0.000945665624331082,0.340051582929003,1,1,1
"Ptprt",0.000946481983181771,-0.688702699555868,0.416,0.743,1
"Ankrd49",0.000958109676458333,-0.263552910617938,0.342,0.629,1
"Arxes1",0.000969462706072916,0.443419783677233,0.826,0.857,1
"Gpx4",0.000969609381746583,0.270903340707377,1,1,1
"Cmip",0.000969891155287289,-0.615952483186833,0.861,0.886,1
"Nsg2",0.000987457157227704,-0.353833945562958,1,1,1
"2010111I01Rik",0.000995856429569429,-0.415000473886406,0.48,0.8,1
"Cpsf7",0.00100048348579242,0.30589723697603,0.673,0.714,1
"Pcsk5",0.00102058645683425,-0.629285066635849,0.206,0.486,1
"Ccsap",0.00102868488573817,-0.283419286418916,0.641,0.914,1
"Gm42303",0.00104075161059645,-0.25534635027079,0.103,0.314,1
"2610037D02Rik",0.00106797684726036,0.288367953663179,0.534,0.6,1
"Mtf1",0.00107342788372646,-0.535453205856956,0.427,0.743,1
"Ubxn1",0.00108454857031617,0.307163089473222,0.94,1,1
"Tmem145",0.0011198631506707,-0.256129992860299,0.196,0.429,1
"Vps13a",0.00113484666139832,-0.478163480053686,0.922,0.943,1
"Dnajc27",0.00113627580582623,-0.417418916426219,0.754,0.971,1
"Cst3",0.00114137295827516,0.345008664504711,0.996,1,1
"Kcnj11",0.00114372963756475,-0.538204104128306,0.281,0.6,1
"Mtmr9",0.00114827860432894,-0.462198601489625,0.594,0.886,1
"5730455P16Rik",0.00115342780641043,-0.436630050779518,0.89,0.943,1
"Ppia",0.00115488117057916,0.275321479473472,1,1,1
"Grin2b",0.00117060101445382,-0.369755509222995,1,1,1
"Tubgcp3",0.00118626847668367,-0.51884921835048,0.423,0.743,1
"Ubxn2a",0.00118816692947727,-0.423109664172681,0.637,0.914,1
"Brms1",0.00118833237809452,0.389229840989218,0.502,0.457,1
"Hp1bp3",0.00122239965113714,-0.383203472874595,0.989,1,1
"B930036N10Rik",0.00125344837109893,-0.468557755532912,0.117,0.086,1
"Syt7",0.00126947846320411,-0.425397537197053,0.993,1,1
"Creg2",0.00129492654168409,-0.409496284901523,0.979,0.971,1
"Ndufb5",0.00133203920460155,0.314104380468595,1,0.971,1
"Tpr",0.00133592825548283,-0.410814164381876,0.907,0.943,1
"Chmp5",0.00134077109326685,0.544826902396683,0.975,0.943,1
"Pde1a",0.00134528027738228,-0.307814551056993,1,1,1
"Dad1",0.00134597342269357,0.340039774657011,1,0.943,1
"Hacd2",0.00134639114532152,-0.587640961468901,0.491,0.771,1
"Nrsn1",0.00135112921772453,0.373613411629611,0.968,1,1
"Grid1",0.00138137091248749,-0.524407293234927,0.719,0.914,1
"Polr2a",0.00138769487711949,0.327640002768436,0.694,0.771,1
"Csnk2a1",0.00139017731044221,-0.40520178324527,0.904,1,1
"Lars2",0.00139462765590059,-0.327978569575105,0.683,0.943,1
"Timmdc1",0.00140412308889781,-0.285826847882136,0.238,0.486,1
"Mrpl1",0.00141046589987964,-0.288086446115208,0.509,0.8,1
"Nptn",0.00141564715620828,0.352624678910581,1,1,1
"Tecr",0.00141594334104037,0.595380898558782,0.993,1,1
"Dars2",0.00148225798891256,-0.298285857574299,0.253,0.514,1
"Nudcd2",0.00148584673082424,0.545439361163827,0.705,0.571,1
"Clstn2",0.00148744211624137,-0.526140153782384,0.84,0.971,1
"Camta1",0.00154559368473558,-0.401277162285282,0.996,1,1
"Cttn",0.00159426287621031,-0.418990697766191,0.751,0.971,1
"Mrgpre",0.00161777722229553,-0.266161629255463,0.256,0.514,1
"Ube2q1",0.00162877001025356,-0.433030274947645,0.875,1,1
"2900097C17Rik",0.00163284520894017,-0.272851070175765,1,1,1
"Rab3c",0.00163785202496623,-0.891808610122665,0.936,0.971,1
"Arhgap23",0.00163794426567467,-0.312970648769187,0.644,0.914,1
"Atad3a",0.00170164185329571,0.313363198202379,0.452,0.457,1
"Syt1",0.00170247882627612,-0.289382352239456,1,1,1
"Miga1",0.00171493745343224,-0.371885028304385,0.886,1,1
"Sft2d1",0.00172599259709895,-0.352880375415212,0.744,0.971,1
"Fgf13",0.0017396666156344,0.502170157904157,0.897,0.8,1
"Cbx6",0.00177146548668017,-0.463872603105341,0.979,1,1
"Eloa",0.00178043453475796,-0.398200646220681,0.185,0.457,1
"Hps3",0.00181153414329184,-0.256411999620486,0.306,0.571,1
"Gmps",0.00181683570411655,-0.415176247549724,0.954,0.971,1
"Api5",0.00184557218438446,-0.307854937383348,0.744,0.971,1
"Clmn",0.00186802617858913,-0.3431577053886,0.359,0.657,1
"Gm10501",0.00187153172484019,-0.258059442731041,0.174,0.4,1
"Atg9b",0.00187511472672817,-0.261640559531604,0.132,0.343,1
