"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nptxr",4.35655981884926e-18,-2.54746324613074,0.548,0.76,7.61352393942097e-14
"Cnr1",5.1657120686928e-18,-2.10172808879831,0.221,0.417,9.02759841124753e-14
"C1ql3",6.68948000800295e-18,-2.86702371859047,0.295,0.573,1.1690535261986e-13
"Mef2c",1.69224914602774e-15,-0.991227717723185,1,1,2.95737460759808e-11
"Fam19a1",4.15899386652251e-15,-1.48740887627132,0.011,0.292,7.26825768113474e-11
"Stum",5.01727882838886e-15,-1.98271298481646,0.075,0.365,8.76819648049237e-11
"Syt17",5.75323935696123e-15,-1.6219919423545,0.028,0.333,1.00543611002254e-10
"Slc30a3",1.29760731722056e-14,-1.80860319779193,0.028,0.302,2.26769854757466e-10
"Foxp2",1.85140059126391e-14,0.550221237831977,0.989,0.74,3.23550767329282e-10
"Nsf",3.71723327201073e-14,-0.546917643999529,1,1,6.49623686616594e-10
"Calm2",6.42693465645261e-14,0.330733599155451,1,1,1.12317110056166e-09
"Ywhah",1.88765146285625e-13,0.298019877849162,1,1,3.29885969648758e-09
"Ttc9b",2.58575524616438e-13,0.551301915288004,1,1,4.51886586819686e-09
"Gpc6",3.2933658142006e-13,-0.715967518391552,0.007,0.25,5.75548609689696e-09
"Ntng1",3.56479975285579e-13,-0.891954026516007,0.021,0.292,6.22984404809078e-09
"Tenm4",5.45746374780241e-13,-1.08842818571614,0.601,0.74,9.5374636456595e-09
"6430548M08Rik",5.61769976339886e-13,-1.09441739088107,0.644,0.823,9.81749210651585e-09
"Cpne5",6.65483086398792e-13,-1.44508722114542,0.121,0.354,1.16299824179053e-08
"Kcnab1",1.55142363904919e-12,-1.27631617055493,0.135,0.469,2.71126795160236e-08
"Rprm",3.12449029778804e-12,0.594266594818952,0.986,0.823,5.46035924441439e-08
"Srgap3",3.31620576438175e-12,-1.41378830134005,0.302,0.531,5.79540119383354e-08
"Dynll1",5.34752168461322e-12,0.302300031427227,1,1,9.34532889603007e-08
"Camk2d",5.38276231302287e-12,-1.72851028277982,0.267,0.573,9.40691541823878e-08
"Ckb",6.9176896795222e-12,0.526022727790275,1,1,1.2089354483933e-07
"Bc1",9.17002640222374e-12,-1.01176128740441,0.982,1,1.60255381405262e-07
"Hlf",1.01418801714025e-11,-0.959005489230379,0.911,0.948,1.7723949787543e-07
"Rabac1",1.42436972324039e-11,0.500227998082964,1,0.969,2.48922852833491e-07
"Vstm2l",1.98686927719233e-11,-1.39684147530408,0.11,0.396,3.47225274882132e-07
"Trpc5",2.14490763868211e-11,-0.779199220467623,0.018,0.26,3.74844058936086e-07
"Stmn1",2.54450982355175e-11,0.33435295338754,1,1,4.44678536763904e-07
"Clta",3.51653032316105e-11,0.402586026666022,1,1,6.14548839275625e-07
"Ptgfrn",3.53079868667254e-11,-0.710691840673073,0.007,0.208,6.17042378482893e-07
"Tecr",3.79381244790158e-11,0.625949831595338,0.993,1,6.63006663395281e-07
"Rprml",5.10854847069654e-11,0.425658146811699,1,0.99,8.92769930738928e-07
"Syt6",5.25809860517944e-11,0.408915373536993,0.961,0.688,9.18905312241158e-07
"Bhlhe22",5.62747170152192e-11,-1.09489534112527,0.028,0.271,9.83456954557971e-07
"Crip2",7.28829424869981e-11,0.466275318174762,1,0.99,1.27370230290278e-06
"Tle4",7.78265825220541e-11,0.409569953777963,0.975,0.729,1.36009735615542e-06
"Auts2",8.20264349676301e-11,-1.05587259486005,0.783,0.906,1.4334939774943e-06
"Ubb",8.26146212675846e-11,0.446746593111894,1,1,1.44377312127231e-06
"Mgst3",8.79367351621557e-11,0.467393830200501,1,0.969,1.53678238369383e-06
"Ndufa11",9.37887087202292e-11,0.433367813908793,1,0.969,1.63905147359472e-06
"Ndufc2",9.5547371322676e-11,0.433952476537987,1,0.969,1.66978586123509e-06
"Rab3c",1.22923057575012e-10,-1.18809996927342,0.936,0.969,2.1482033541809e-06
"Psmb5",1.39355484931191e-10,0.468996868393684,0.989,0.917,2.43537645465749e-06
"Rtn4rl1",1.62304575565246e-10,-0.878760245433394,0.011,0.219,2.83643476257823e-06
"Cck",1.86811209246401e-10,-2.1757268575529,0.569,0.625,3.2647126927901e-06
"Ccdc12",1.97855971416344e-10,0.442302232066265,1,0.948,3.45773095647203e-06
"Gm12027",3.04639426401843e-10,-0.624630718553902,0.05,0.323,5.32387861579861e-06
"Ajap1",3.12399328773166e-10,-1.16770606063946,0.075,0.365,5.45949066963985e-06
"Cacna2d3",3.18942731566277e-10,-0.722670915987275,0.05,0.323,5.57384317685226e-06
"Dad1",3.25249435745413e-10,0.4590756283724,1,0.948,5.68405913908684e-06
"Kcnb2",3.26947921189887e-10,-1.20467181596473,0.338,0.594,5.71374187071446e-06
"Il1rapl2",3.62311817721622e-10,-0.623602195516932,0.007,0.198,6.33176132650307e-06
"Nsg2",3.68236023540202e-10,-0.430263799894571,1,1,6.43529274738857e-06
"Stmn3",3.76483366533443e-10,0.396240176928105,1,1,6.57942331353846e-06
"Nwd2",3.8640633412111e-10,-1.27451921887039,0.32,0.583,6.75283709510052e-06
"Man1c1",5.03953837563836e-10,-0.527765504819739,0.004,0.177,8.8070972652656e-06
"Trp53i11",5.14929117666853e-10,-1.1421538183666,0.071,0.344,8.99890126034592e-06
"Myl6",5.36213680308571e-10,0.337622809536769,1,1,9.37087027707258e-06
"Park7",5.70895204709393e-10,0.388551309382501,0.996,0.969,9.97696459750136e-06
"Tmem178b",5.89661930873776e-10,-0.973772033097309,0.459,0.75,1.03049319039501e-05
