"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nptxr",3.69854834854449e-207,-3.83222253899341,0.548,0.99,6.46358309391635e-203
"Cck",1.73789842400406e-170,-4.5587138402081,0.569,0.977,3.0371512857895e-166
"C1ql3",3.42838632775198e-168,-4.14988519987841,0.295,0.971,5.99144794637937e-164
"Rprm",3.97995996705155e-166,3.78725804255611,0.986,0.484,6.95537803841929e-162
"Hs3st4",4.60291006806855e-144,2.75478626159046,0.993,0.395,8.04404563495659e-140
"Foxp2",1.34489002129332e-143,3.02466480580841,0.989,0.167,2.35032980121221e-139
"Ccdc12",1.41558596303571e-139,2.05750088103463,1,0.791,2.47387802900121e-135
"Crym",2.65677872897865e-139,2.40763627878462,0.996,0.68,4.64298650676308e-135
"Syt6",5.49623124181044e-134,2.84257212925383,0.961,0.056,9.60521371818792e-130
"Nrn1",3.18831908482178e-133,-3.00623592483771,0.555,0.974,5.57190643263454e-129
"Cnr1",1.09329481586128e-124,-3.47329494929157,0.221,0.948,1.91064202019917e-120
"Mef2c",2.44356674823689e-122,-1.70946236204295,1,1,4.27037724921878e-118
"Tle4",2.74526804077173e-119,2.40318988812438,0.975,0.31,4.79763042805267e-115
"Stum",1.39308241288939e-115,-2.92010709543661,0.075,0.912,2.43455082476549e-111
"Hsp90ab1",8.92620687891226e-115,1.32976614505081,1,1,1.55994391415871e-110
"Ntm",1.50667347715164e-110,-2.36835865939375,0.587,0.977,2.6330625686702e-106
"Nxph3",4.82489917276721e-110,2.26726182683143,0.961,0.173,8.43199379432798e-106
"Nrip3",3.04847850587882e-108,2.24368707647646,0.989,0.395,5.32752103687382e-104
"Ndn",1.53637266681843e-107,1.84913502449907,1,0.977,2.68496487253189e-103
"Slc30a3",5.00444719444348e-107,-2.92480176787984,0.028,0.837,8.74577191700942e-103
"Ubb",1.11070049896894e-106,1.74564913922691,1,1,1.94106019199813e-102
"Srgap3",3.29022384546532e-106,-2.33719938875975,0.302,0.964,5.7499951923352e-102
