"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ttc9b",1.2871188563172e-27,1.36209689972441,1,0.971,2.24936891329995e-23
"Pcp4",1.0374315402724e-20,1.13191734551619,1,0.857,1.81301535978004e-16
"Ywhah",1.310858772634e-19,0.550769999457468,1,1,2.29085679105518e-15
"Ncald",8.44184767993182e-19,0.643537990453714,0.996,0.886,1.47529730054488e-14
"Rab3c",1.66884974524835e-18,-2.22523432754247,0.936,0.971,2.91648181479601e-14
"Stmn1",3.09122466976359e-18,0.670818255891778,1,1,5.40222423287885e-14
"Rtn4",3.66895462822963e-18,0.675438786838474,1,1,6.4118651082941e-14
"Rprm",5.95788684666432e-18,1.30193620808879,0.986,0.8,1.04120030532306e-13
"Calm2",1.71717166605684e-17,0.559731890014171,1,1,3.00092920360093e-13
"C1ql3",3.19815563694439e-17,-2.90926169376324,0.295,0.629,5.58909679112402e-13
"Ccdc12",6.21278958836611e-17,1.0892797844867,1,0.943,1.08574710846286e-12
"Tagln3",2.02110518030536e-16,0.754602076366846,1,1,3.53208341310165e-12
"Syt17",3.82167940056956e-16,-2.51574545767698,0.028,0.543,6.67876692043536e-12
"Nptx1",5.42597967989838e-16,0.823681368856712,0.993,0.8,9.48244208859041e-12
"Dner",2.48347839605833e-15,-2.16533142449308,0.26,0.714,4.34012684495153e-11
"Atp6v0b",3.1968271453851e-15,0.666714943745291,1,1,5.58677511927499e-11
"Mef2c",5.33306196457626e-15,-1.18190645888317,1,1,9.32005908929347e-11
"Fxyd7",1.95110864293253e-14,0.888162625508004,1,1,3.40975746438889e-10
"Snca",2.00203872651867e-14,0.506839221567415,1,1,3.49876287846403e-10
"Ntng1",2.34587983107775e-14,-2.85013112992202,0.021,0.486,4.09965959279147e-10
"Cpne7",4.41128115301349e-14,-2.07330566247364,0.05,0.486,7.70915494300638e-10
"Pid1",5.35624070083067e-14,-1.5171932495804,0.391,0.743,9.36056624877168e-10
"Trpc5",5.36834460152085e-14,-1.32539589307292,0.018,0.486,9.38171902561783e-10
"Timp2",7.98268877405583e-14,-1.80300552927807,0.833,0.943,1.395054690154e-09
"Lypd1",8.65460791356902e-14,-2.35691541266093,0.772,0.886,1.51247927897532e-09
"Psmb6",1.24322255766857e-13,0.884504297749848,0.986,0.914,2.1726557417816e-09
"Psmb5",1.7651712973439e-13,0.810265258998858,0.989,0.971,3.0848133592382e-09
"Rtn4rl1",1.80149954420539e-13,-1.61513370376171,0.011,0.429,3.14830060345333e-09
"Park7",4.00707917449731e-13,0.689893872946721,0.996,0.971,7.00277156535151e-09
"Pou3f1",4.45025668045682e-13,-2.46662398670641,0.025,0.486,7.77726857476634e-09
"Dctn3",5.76428940031246e-13,0.725402766820334,1,0.943,1.00736721559861e-08
"Rprml",6.14181568557564e-13,0.685258938332113,1,1,1.0733437092112e-08
"Caln1",6.44314648977538e-13,-1.08096225608074,0.972,1,1.12600428055315e-08
"Bcl6",7.855611526407e-13,-1.34202123983771,0.007,0.4,1.37284667035489e-08
"Gabra2",8.12596760868288e-13,-1.955719260173,0.413,0.686,1.42009409929342e-08
"Zfp703",9.23503869081165e-13,-1.68741532968301,0.107,0.543,1.61391536160624e-08
"St6galnac5",1.04267522537839e-12,-1.6969787305671,0.673,0.886,1.82217922387127e-08
"Hlf",1.0651401761224e-12,-1.1966283996728,0.911,1,1.86143897179151e-08
"Cfl1",1.78579598418009e-12,0.544806176034727,1,1,3.12085706195312e-08
"Ppfia2",1.82803952961204e-12,-1.36285224808516,0.655,0.943,3.19468188195001e-08
"Crip2",1.85207509905587e-12,0.831343700379092,1,1,3.23668644311004e-08
"Ppia",1.90642130690793e-12,0.5831315865634,1,1,3.3316618759523e-08
"Clta",2.18210776776505e-12,0.613252451323106,1,1,3.8134515349462e-08
"Gprc5b",3.1157724851538e-12,-1.30390006284035,0.032,0.486,5.44512399505479e-08
"Fam126a",3.67889159455242e-12,-1.55246466721354,0.181,0.514,6.4292309506398e-08
"Stum",3.75542821292182e-12,-2.08507055689619,0.075,0.457,6.56298634490217e-08
"Foxp2",3.87673276854449e-12,0.781633995591627,0.989,0.629,6.77497818630835e-08
"Fam19a1",5.14536939999479e-12,-2.60512811025171,0.011,0.4,8.99204756343089e-08
"Cacna2d3",5.3199559536144e-12,-1.49933258827383,0.05,0.514,9.29715502453653e-08
"Trbc2",6.24910619596291e-12,1.24610148426695,0.957,0.543,1.09209379880648e-07
"Nptxr",6.91131142528414e-12,-1.78283974029876,0.548,0.886,1.20782078468266e-07
"Scg5",7.09228005362257e-12,0.642684005654109,1,0.971,1.23944686217108e-07
"Nxph3",7.30906959798586e-12,0.463451964304062,0.961,0.514,1.27733300294401e-07
"Kcng1",1.10865826512136e-11,-1.62853634024879,0.082,0.543,1.93749118412608e-07
"Dpp6",1.21679476863888e-11,-1.33962943826463,0.591,0.943,2.1264705376733e-07
"Ndst3",1.22351251302255e-11,-1.557570273155,0.228,0.571,2.13821046775822e-07
"Bend7",1.54960688974617e-11,-0.952823181563174,0.004,0.343,2.70809300052041e-07
"Snap25",1.70626374481392e-11,0.450664968053398,1,1,2.9818665204368e-07
"Rapgef5",2.03416761671906e-11,-1.61587149804774,0.431,0.743,3.55491132697823e-07
"Cdh13",3.41987454311293e-11,-1.17037107129628,0.904,1,5.97657275154416e-07
