"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt-Co3",8.48877846521966e-14,1.22739458634989,1,1,1.48349892458179e-09
"Bc1",9.75683089919961e-13,-1.17131884211863,0.982,1,1.70510376794412e-08
"mt-Cytb",1.29624043254715e-12,0.967042905095804,1,1,2.2653097799194e-08
"mt-Co2",2.9994074673319e-11,0.691246793506178,1,1,5.24176448990922e-07
"mt-Atp6",6.56207259986096e-11,0.7015099916166,1,1,1.1467878075517e-06
"Selenow",1.26675374547674e-10,0.546264922454158,1,1,2.21377884559514e-06
"mt-Nd1",3.08249197500367e-10,0.730438401327255,1,1,5.38696297551642e-06
"Dynll1",3.57061355870444e-09,0.331789056162872,1,1,6.24000425519188e-05
"Calm2",3.97242759128608e-09,0.323898364595871,1,1,6.94221445853156e-05
"Tmsb4x",1.02265805009529e-08,0.2922393706933,1,1,0.000178719720834654
"Atp5h",1.18159740527985e-08,0.39823572027966,1,1,0.000206495962546707
"Map7d2",1.80874085672065e-08,-0.58298725154019,0.989,1,0.000316095552120501
"Dynlrb1",3.92507837623561e-08,0.581375842177729,1,1,0.000685946697030936
"mt-Nd2",3.94446843909127e-08,0.478591984042158,1,1,0.00068933530441559
"mt-Co1",4.73753784252456e-08,0.366854503388174,1,1,0.000827932113359592
"Ctxn1",5.65839876924162e-08,0.484040465678081,1,1,0.000988861768912665
"Cadm3",8.99821101129769e-08,-0.556984090168219,0.989,1,0.00157252735633439
"Rab3a",9.45003620339914e-08,0.459452648308874,1,1,0.00165148832690603
"Macf1",1.44399783669484e-07,-0.601340399950762,0.947,1,0.0025235306194079
"Mllt11",1.67335588642791e-07,0.417325274268265,1,1,0.00292435674712142
"Hic2",2.30178777963403e-07,-0.439312126098082,0.214,0.569,0.00402260432368843
"Sumo2",2.63542431442068e-07,0.3297394785619,1,1,0.00460566753188157
"Rpl19",2.95171315213658e-07,0.273161858075707,1,1,0.00515841390467388
"Cds2",3.38233556601674e-07,-0.547350272850013,0.964,1,0.00591096963517086
"Crip2",3.85199596883622e-07,0.513287919119681,1,0.98,0.00673174815513818
"Stmn3",3.89799216814414e-07,0.44775377692708,1,1,0.0068121311130487
"Camk2a",6.77996463086915e-07,-0.51452938169454,1,1,0.0118486661889069
"Tmem130",6.97411929200922e-07,-0.645491309702523,0.854,0.98,0.0121879708747153
"Map1b",6.98615079249185e-07,-0.343081251098813,1,1,0.0122089971249588
"Syt1",7.306013001451e-07,-0.364834098101346,1,1,0.0127679883213358
"Ubxn2a",7.6986819129856e-07,-0.629777421974692,0.637,0.941,0.0134542165111336
"Csnk2a1",8.49636007950964e-07,-0.573569138494679,0.904,0.98,0.014848238874951
"Scand1",9.31691750590518e-07,0.476365380840001,0.996,1,0.0162822450333199
"Tsc22d2",9.77731327321849e-07,0.458118142590116,0.808,0.882,0.0170868326762766
"Kif1b",1.05257596511137e-06,-0.45400588199514,1,1,0.0183948175662863
"Gabarap",1.05988523786074e-06,0.575366482249529,0.996,1,0.0185225544168543
"Rock2",1.06913857878946e-06,-0.46133664894179,1,1,0.0186842658029247
"Nr2c2",1.0822693911704e-06,-0.433848229072749,0.74,1,0.0189137398800939
"Rpl14",1.21048556090395e-06,0.315588592450105,1,1,0.0211544456623574
"Dact1",1.28255193087401e-06,-0.41990141127804,0.153,0.471,0.0224138775439541
"Nedd4",1.2993565307595e-06,-0.385798190378646,0.996,0.98,0.0227075547315531
"H3f3a",1.30990396268083e-06,0.408836970011252,1,1,0.0228918816518102
"Syt11",1.32457276011425e-06,-0.309964518733882,1,1,0.0231482335557567
