"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",1.4770560310845e-11,1.46716812567228,0.971,0.559,2.58130311992328e-07,"DMS+AI+MD+LH","Hs3st4"
"2",1.71430848266828e-11,1.41172192953148,0.914,0.433,2.99592550431108e-07,"DMS+AI+MD+LH","Foxp2"
"3",7.71720906979593e-11,1.28928850825842,0.943,0.603,1.34865945703754e-06,"DMS+AI+MD+LH","Plcb4"
"4",1.44874547013807e-10,1.18365844474118,0.886,0.473,2.5318275836133e-06,"DMS+AI+MD+LH","Ppp1r1b"
"5",9.36480790218116e-10,1.1023441582079,0.886,0.364,1.63659382898518e-05,"DMS+AI+MD+LH","Syt6"
"6",2.89756356562629e-09,1.47579004276241,0.914,0.609,5.0637820872885e-05,"DMS+AI+MD+LH","Rprm"
"7",3.73874306876461e-09,1.14664193820061,0.886,0.416,6.53382738697303e-05,"DMS+AI+MD+LH","Nxph3"
"8",3.00227301422412e-08,1.0760862861324,0.971,0.771,0.000524677231965807,"DMS+AI+MD+LH","Crym"
"9",6.2644249142499e-06,1.31206997974001,0.743,0.354,0.109477089801431,"DMS+AI+MD+LH","Cyr61"
"10",8.96278573330728e-05,1.07985101472035,0.829,0.515,1,"DMS+AI+MD+LH","Arl4d"
"11",2.03373017482245e-08,0.762900592628172,0.771,0.552,0.000355414685351972,"DMS+AI+MD","Rwdd2a"
"12",2.27491799944352e-07,0.845464962922772,0.615,0.358,0.00397564669582749,"DMS+AI+MD","Sema5a"
"13",4.84990297138218e-07,0.759684053250836,0.74,0.505,0.0084756904327875,"DMS+AI+MD","Lmo1"
"14",3.08635018760214e-16,1.5275892869967,1,0.686,5.39370558785351e-12,"DMS+LH","Bcl11b"
"15",2.38644318286566e-12,1.39845645146704,0.514,0.204,4.17054810637602e-08,"DMS+LH","Fam126a"
"16",4.58160406309288e-12,2.25207197596447,0.886,0.508,8.00681126066112e-08,"DMS+LH","Lypd1"
"17",1.06354649938203e-10,1.52942338171623,0.4,0.069,1.85865386232004e-06,"DMS+LH","Adamts2"
"18",1.53885980091084e-10,2.06785528629556,0.486,0.092,2.68931138807178e-06,"DMS+LH","Pou3f1"
"19",6.75358257068656e-07,1.56867802236584,0.514,0.189,0.0118025609005318,"DMS+LH","Igfbp4"
"20",1.39554129698303e-06,1.31544883183061,0.971,0.934,0.0243884797060754,"DMS+LH","Rab3c"
"21",0.000445920755212828,1.44335587949596,0.4,0.234,1,"DMS+LH","Stxbp6"
"22",0.000668223894243402,1.79615028416944,0.143,0.017,1,"DMS+LH","Dlk1"
"23",1.86360013888811e-14,1.20893743520257,0.98,0.596,3.25682760272086e-10,"DMS+MD","Nrip3"
"24",8.04318832432661e-13,1.24373256288982,0.863,0.387,1.40562759155932e-08,"DMS+MD","Ddah1"
"25",3.13247090408659e-44,0.887033618880381,0.974,0.774,5.47430615198172e-40,"DMS+AI","Nrn1"
"26",4.29605342998224e-41,0.888258169050125,0.977,0.793,7.50778297423696e-37,"DMS+AI","Cck"
"27",1.20976838361054e-39,0.843219390372868,0.948,0.644,2.11419122719779e-35,"DMS+AI","Cnr1"
"28",5.06927101887549e-37,0.836305135741638,0.925,0.617,8.85905803258681e-33,"DMS+AI","Camk2d"
"29",7.37241894052743e-37,0.725678610709734,0.837,0.449,1.28840393404657e-32,"DMS+AI","Slc30a3"
"30",1.33796666425731e-24,0.834664334801372,0.68,0.38,2.33823054245608e-20,"DMS+AI","Slc24a3"
"31",3.09951761960507e-20,0.75356199316267,0.703,0.432,5.41671699202181e-16,"DMS+AI","Vstm2l"
"32",9.87137111656957e-15,0.775042491746672,0.493,0.257,1.7251208163317e-10,"DMS+AI","Sox9"
"33",4.20286973366392e-13,0.871439155019222,0.575,0.527,7.34493514655107e-09,"DMS+AI","Etv1"
"34",0.00665894213738241,0.766153651679766,0.33,0.253,1,"DMS+AI","Ptgs2"
"35",8.51185615333383e-29,1.17078665459691,0.705,0.299,1.48753198135662e-24,"LH","Col12a1"
"36",2.34279189173567e-22,1.07253632864843,0.648,0.289,4.09426310999726e-18,"LH","Rnf152"
"37",8.78598689239694e-15,1.00993696433192,0.967,0.722,1.53543906931529e-10,"BLA","Nov"
"38",2.44479031254647e-12,1.05945006844795,0.867,0.532,4.27251555020622e-08,"BLA","Syt17"
"39",1.39613026023874e-11,0.983635301329823,0.9,0.589,2.43987724279322e-07,"BLA","Kctd4"
"40",1.46419047327786e-11,1.13901272030803,0.583,0.212,2.55881927110039e-07,"BLA","Smoc2"
"41",3.77153022355566e-11,1.04308449149552,0.933,0.721,6.59112621868587e-07,"BLA","Gabra2"
"42",1.11655794218394e-10,1.29034936123449,0.583,0.212,1.95129665976066e-06,"BLA","Adamts18"
"43",1.61604267218548e-10,1.42388644049126,0.65,0.367,2.82419617391134e-06,"BLA","Bhlhe22"
"44",3.09715895555302e-09,1.08864396309624,0.7,0.39,5.41259499072446e-05,"BLA","Cpne7"
"45",3.66682060528961e-08,1.01862083784895,0.267,0.186,0.000640813568980413,"BLA","Nectin3"
"46",4.91147608654206e-06,1.19042555537226,0.417,0.214,0.0858329560884091,"BLA","Calb1"
"47",9.32552195872598e-89,1.42539116405773,0.936,0.358,1.62972821750695e-84,"MD","Ifi27"
"48",1.78894816132731e-84,1.40896910532366,0.968,0.604,3.1263658067356e-80,"MD","Nfia"
"49",2.10250316437137e-67,1.5009992952173,0.669,0.184,3.67433453005541e-63,"MD","Lsp1"
"50",4.14285112076468e-34,0.739527399336809,0.715,0.429,7.24004661864836e-30,"DMS","Ptprk"
