"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"barcode4",8.58607875541572e-18,1.8257233832322,0.886,0.189,1.50093242723422e-13,"DMS+AI+MD+LH","barcode4"
"barcode2",3.55688093721025e-13,1.50308303619896,0.943,0.362,6.21778356633724e-09,"DMS+AI+MD+LH","barcode2"
"Hs3st4",1.4770095236317e-11,1.46716812567228,0.971,0.559,2.58196034826058e-07,"DMS+AI+MD+LH","Hs3st4"
"Foxp2",1.7142198718855e-11,1.41172192953148,0.914,0.433,2.99662775804304e-07,"DMS+AI+MD+LH","Foxp2"
"Calm1",3.2268834451751e-11,0.640212401878927,1,1,5.64091495051058e-07,"DMS+AI+MD+LH","Calm1"
"Plcb4",7.71666935096128e-11,1.28928850825842,0.943,0.603,1.34895096924154e-06,"DMS+AI+MD+LH","Plcb4"
"Hsp90ab1",1.38554156165993e-10,0.880896765440279,1,1,2.42206520393773e-06,"DMS+AI+MD+LH","Hsp90ab1"
"Ppp1r1b",1.44860518799814e-10,1.18365844474118,0.886,0.473,2.53230672913956e-06,"DMS+AI+MD+LH","Ppp1r1b"
"Hsp90aa1",5.0169392493148e-10,0.83411690154881,1,1,8.77011150172721e-06,"DMS+AI+MD+LH","Hsp90aa1"
"Syt6",9.36474451960799e-10,1.1023441582079,0.886,0.364,1.63705098947267e-05,"DMS+AI+MD+LH","Syt6"
"Rprm",2.89751479545171e-09,1.47579004276241,0.914,0.609,5.06514561392913e-05,"DMS+AI+MD+LH","Rprm"
"Nxph3",3.73864981097834e-09,1.14664193820061,0.886,0.416,6.53553373457123e-05,"DMS+AI+MD+LH","Nxph3"
"Nup37",8.60770248080962e-09,0.305438835277957,0.371,0.093,0.000150471247067033,"DMS+AI+MD+LH","Nup37"
"Glul",9.83735573557743e-09,1.05476701542311,0.943,0.595,0.000171966815613629,"DMS+AI+MD+LH","Glul"
"Ddah1",1.0606648925753e-08,0.815376453517523,0.886,0.391,0.000185414829871088,"DMS+AI+MD+LH","Ddah1"
"Sla",1.13629284455696e-08,0.774076068314651,0.8,0.312,0.000198635352157003,"DMS+AI+MD+LH","Sla"
"Ngef",1.56124190993746e-08,0.87017764126515,1,0.935,0.000272920698276168,"DMS+AI+MD+LH","Ngef"
"Tle4",1.73370340137774e-08,0.811918854949255,0.971,0.535,0.000303068691594843,"DMS+AI+MD+LH","Tle4"
"Crym",3.0021841212959e-08,1.0760862861324,0.971,0.771,0.000524811806243737,"DMS+AI+MD+LH","Crym"
"Kpna2",3.42164505317878e-08,0.357297058416848,0.4,0.097,0.000598137771746183,"DMS+AI+MD+LH","Kpna2"
"Nrip3",4.2119847353162e-08,1.07491218819856,0.914,0.601,0.000736297051580625,"DMS+AI+MD+LH","Nrip3"
"Hsp90b1",5.6254987479411e-08,0.703106689094979,1,0.986,0.000983393436127584,"DMS+AI+MD+LH","Hsp90b1"
"Reep1",7.06561319980458e-08,0.635471141886905,1,0.938,0.00123513984345784,"DMS+AI+MD+LH","Reep1"
"Ndn",7.31454808820722e-08,0.968577024373513,1,0.975,0.0012786561512995,"DMS+AI+MD+LH","Ndn"
"Psma4",7.46504389822138e-08,0.977446679627064,0.886,0.783,0.00130496432384808,"DMS+AI+MD+LH","Psma4"
"Map1b",9.94948452047864e-08,0.471798058317718,1,0.999,0.00173926938902487,"DMS+AI+MD+LH","Map1b"
"Cadps2",1.11585713783679e-07,0.266031053655428,0.943,0.557,0.00195062986265249,"DMS+AI+MD+LH","Cadps2"
"Cmip",1.23303081720697e-07,0.872666465250783,0.886,0.825,0.00215546117155951,"DMS+AI+MD+LH","Cmip"
"Orc3",1.25120141728088e-07,0.365242207248526,0.6,0.233,0.00218722519754871,"DMS+AI+MD+LH","Orc3"
"Lrrc55",1.35373868936293e-07,0.618745401031497,0.714,0.263,0.00236647060287534,"DMS+AI+MD+LH","Lrrc55"
"Bcl11b",1.3935042486218e-07,0.915404259505262,0.971,0.687,0.00243598477701577,"DMS+AI+MD+LH","Bcl11b"
"Arhgap25",1.58867356237125e-07,0.863907479793906,0.829,0.373,0.00277716025438118,"DMS+AI+MD+LH","Arhgap25"
"Dnm3",1.90821341847016e-07,0.710027613807306,1,0.966,0.00333574787682769,"DMS+AI+MD+LH","Dnm3"
"Ifnar2",2.19302813959061e-07,0.32463426079163,0.571,0.223,0.00383363249081835,"DMS+AI+MD+LH","Ifnar2"
"Fez1",2.42116032360496e-07,0.778057985506748,1,0.922,0.00423243036169384,"DMS+AI+MD+LH","Fez1"
"Cxcl12",2.65623362965726e-07,0.698464628053693,0.943,0.521,0.00464336200800385,"DMS+AI+MD+LH","Cxcl12"
"Hpcal4",2.91144361768438e-07,0.62309765625083,1,0.996,0.00508949458807406,"DMS+AI+MD+LH","Hpcal4"
"Spsb1",3.34728450073862e-07,0.642854965723939,0.771,0.321,0.00585138803574119,"DMS+AI+MD+LH","Spsb1"
"Retreg1",3.51157723659658e-07,0.799571017201413,0.971,0.72,0.00613858816729448,"DMS+AI+MD+LH","Retreg1"
"Ssb",3.52615568849076e-07,0.685858667806407,1,0.95,0.00616407275905069,"DMS+AI+MD+LH","Ssb"
"Tpm3",4.0181331956835e-07,0.551913688199352,1,0.987,0.00702409863937433,"DMS+AI+MD+LH","Tpm3"
"Sparcl1",4.11469188745222e-07,0.734784402614421,1,0.967,0.00719289288845523,"DMS+AI+MD+LH","Sparcl1"
"Prss35",4.13460535858044e-07,0.853342949814693,0.743,0.3,0.00722770362733448,"DMS+AI+MD+LH","Prss35"
"Ifi27",4.43141653772506e-07,1.00275860551086,0.857,0.438,0.00774655924959718,"DMS+AI+MD+LH","Ifi27"
"Nipal3",5.02875273873291e-07,0.641974113452198,1,0.747,0.008790762662579,"DMS+AI+MD+LH","Nipal3"
"Nfib",5.14993929617822e-07,0.783181913043286,1,0.924,0.00900260888364915,"DMS+AI+MD+LH","Nfib"
"Grik3",5.8662028528222e-07,0.72538115599048,1,0.754,0.0102547092070185,"DMS+AI+MD+LH","Grik3"
"Efhd2",6.82163253832711e-07,0.734796782642436,1,0.98,0.0119248958402496,"DMS+AI+MD+LH","Efhd2"
"Col5a1",6.86055683764909e-07,0.684857204061562,0.6,0.19,0.0119929394078944,"DMS+AI+MD+LH","Col5a1"
"Lmo1",7.28185903893233e-07,0.973165394651494,0.886,0.51,0.0127294177859576,"DMS+AI+MD+LH","Lmo1"
"Adora1",7.65576852683988e-07,0.758422868686409,0.971,0.877,0.0133830489617688,"DMS+AI+MD+LH","Adora1"
"Osbpl9",7.74659333982949e-07,0.497167771079655,0.771,0.348,0.0135418198173559,"DMS+AI+MD+LH","Osbpl9"
"Slc25a4",8.63845584775073e-07,0.697376130645492,1,0.998,0.015100884667453,"DMS+AI+MD+LH","Slc25a4"
"Zfpm2",9.20592600301935e-07,0.871514156449239,0.857,0.465,0.0160928792458781,"DMS+AI+MD+LH","Zfpm2"
"Tmem178",9.5596679734632e-07,0.749020256572903,0.971,0.741,0.016711255584411,"DMS+AI+MD+LH","Tmem178"
"Sema5a",9.59358084263696e-07,0.996204149812353,0.8,0.363,0.0167705386710137,"DMS+AI+MD+LH","Sema5a"
"Apip",1.05695440873363e-06,0.495850988802741,0.771,0.357,0.0184766200190726,"DMS+AI+MD+LH","Apip"
"Ccdc12",1.23883314344954e-06,0.747374515747338,1,0.865,0.0216560421806414,"DMS+AI+MD+LH","Ccdc12"
"Zfhx3",1.24522502847458e-06,0.677378738039091,0.629,0.216,0.0217677787227642,"DMS+AI+MD+LH","Zfhx3"
"Morf4l1",1.45229968024732e-06,0.363639903315484,1,0.999,0.0253876507104034,"DMS+AI+MD+LH","Morf4l1"
"Mycbp",1.72310032116318e-06,0.331921215441472,0.771,0.389,0.0301215167142536,"DMS+AI+MD+LH","Mycbp"
"Pqlc3",1.77926684055578e-06,0.319353419763419,0.314,0.072,0.0311033636397557,"DMS+AI+MD+LH","Pqlc3"
"Plekhb1",1.7895680447765e-06,0.529409823036646,0.571,0.195,0.031283438990738,"DMS+AI+MD+LH","Plekhb1"
"Sebox",1.80489941005199e-06,0.952803811179627,0.629,0.221,0.0315514465871189,"DMS+AI+MD+LH","Sebox"
"Nos1ap",1.89421893027564e-06,0.749023481837973,1,0.933,0.0331128411201484,"DMS+AI+MD+LH","Nos1ap"
"Klf9",1.906062703456e-06,0.616329801198479,1,0.983,0.0333198821191144,"DMS+AI+MD+LH","Klf9"
"Aamp",1.91081828287579e-06,0.65148535539152,1,0.856,0.0334030144029517,"DMS+AI+MD+LH","Aamp"
"Plxna2",2.15735631991864e-06,0.660280720705946,1,0.905,0.0377127458284977,"DMS+AI+MD+LH","Plxna2"
"Sez6",2.30031114189365e-06,0.619280018237549,1,0.928,0.0402117390714429,"DMS+AI+MD+LH","Sez6"
"Rwdd2a",2.34893308747934e-06,0.922113565060047,0.857,0.557,0.0410616993022264,"DMS+AI+MD+LH","Rwdd2a"
"Anp32a",2.5864049415028e-06,0.623273233175571,1,0.98,0.0452129447824104,"DMS+AI+MD+LH","Anp32a"
"Grid1",2.67857017939189e-06,0.725571594340513,0.914,0.609,0.0468240853059496,"DMS+AI+MD+LH","Grid1"
"Limk1",2.74761963282869e-06,0.747589074555247,0.857,0.452,0.0480311388014784,"DMS+AI+MD+LH","Limk1"
"Rpl23a",2.83285680182447e-06,0.464676565581923,1,0.987,0.0495211697526936,"DMS+AI+MD+LH","Rpl23a"
"Psma5",2.93366472668793e-06,0.692624462869784,0.971,0.843,0.0512833930872317,"DMS+AI+MD+LH","Psma5"
"Lmo3",3.12276886434799e-06,0.817603207864707,0.914,0.729,0.0545891225176672,"DMS+AI+MD+LH","Lmo3"
"Zcchc18",3.12937141758607e-06,0.531935901727123,1,0.997,0.0547045417508221,"DMS+AI+MD+LH","Zcchc18"
"Nfia",3.28625530575557e-06,0.886031108300646,0.943,0.653,0.0574470289999132,"DMS+AI+MD+LH","Nfia"
"Plcxd3",3.64792851740356e-06,0.343422944828008,0.714,0.349,0.0637694384127317,"DMS+AI+MD+LH","Plcxd3"
"Rpp30",3.70377277949675e-06,0.332240956379145,0.657,0.312,0.0647456519583826,"DMS+AI+MD+LH","Rpp30"
"Rtn1",3.70719198343518e-06,0.35765363188608,1,1,0.0648054230624303,"DMS+AI+MD+LH","Rtn1"
"Tspan33",3.7797355082913e-06,0.545451031114042,0.914,0.526,0.0660735564204403,"DMS+AI+MD+LH","Tspan33"
"Zcchc12",3.93983916544044e-06,0.744697682050587,0.657,0.256,0.0688723284510643,"DMS+AI+MD+LH","Zcchc12"
"Odc1",3.96827406048348e-06,0.636936944527323,0.971,0.727,0.0693693988513116,"DMS+AI+MD+LH","Odc1"
"Cpa6",4.16800952028205e-06,0.30608666835315,0.343,0.084,0.0728609744240506,"DMS+AI+MD+LH","Cpa6"
"Gpn3",4.20595836725668e-06,0.670520762987134,0.8,0.389,0.073524358218014,"DMS+AI+MD+LH","Gpn3"
"Clu",4.40481866304901e-06,0.660362512613066,1,0.762,0.0770006350487598,"DMS+AI+MD+LH","Clu"
"Sdk1",4.50646232469279e-06,0.425067549440874,0.743,0.357,0.0787774678979546,"DMS+AI+MD+LH","Sdk1"
"Ndrg2",4.64459264544189e-06,0.616311646073939,0.571,0.194,0.0811921240349696,"DMS+AI+MD+LH","Ndrg2"
"Tmsb10",4.71151326830301e-06,0.782158891181138,1,0.955,0.082361963443205,"DMS+AI+MD+LH","Tmsb10"
"Pde1a",5.09155482390931e-06,0.554761334793322,1,0.992,0.0890054698767587,"DMS+AI+MD+LH","Pde1a"
"Fam114a2",5.13978600457135e-06,0.629685592263726,0.914,0.539,0.0898485991459118,"DMS+AI+MD+LH","Fam114a2"
"Gnas",5.16717236470457e-06,0.450153426747161,1,0.999,0.0903273401074006,"DMS+AI+MD+LH","Gnas"
