"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC","num_vars"
0.4953,0.1633,0.8,0.0157,0.0309,-0.0019,-0.0169,2
0.6241,0.1767,0.8,0.016,0.0314,-0.0014,-0.0116,5
0.5834,0.27,0.6,0.0136,0.0267,-0.0061,-0.0393,10
0.5861,0.4633,0.6,0.0185,0.0359,0.0037,0.0157,20
0.7122,0.4133,0.8,0.0223,0.0435,0.0114,0.054,50
0.6044,0.5333,0.6,0.0213,0.0411,0.0092,0.0339,100
0.5831,0.76,0.4,0.0282,0.0526,0.0222,0.05,200
0.6237,0.84,0.4,0.0426,0.0769,0.0482,0.0872,300
0.5542,0.8967,0.2,0.0357,0.0606,0.0333,0.0477,400
0.5627,0.9133,0.2,0.0435,0.0714,0.0453,0.0603,500
0.4864,0.9567,0,0,0,-0.0209,-0.0215,1000
0.4983,0.98,0,0,0,-0.0056,-0.0075,2000
0.5,0.9833,0,0,0,0,0,5000
0.5537,0.2167,1,0.0329,0.0637,0.0128,0.0802,2
0.5792,0.25,0.875,0.0303,0.0586,0.0074,0.0413,5
0.8121,0.6467,0.875,0.0625,0.1167,0.0704,0.1717,10
0.8365,0.7367,0.875,0.0824,0.1505,0.107,0.2173,20
0.8694,0.72,0.875,0.0778,0.1429,0.0987,0.2077,50
0.7887,0.73,0.75,0.0706,0.129,0.0844,0.1714,100
0.7027,0.7367,0.75,0.0723,0.1319,0.0875,0.1751,200
0.6173,0.7733,0.5,0.0588,0.1053,0.0604,0.1081,300
0.582,0.7867,0.375,0.0484,0.0857,0.0404,0.0688,400
0.4839,0.8267,0.125,0.0217,0.037,-0.0088,-0.013,500
0.4846,0.9433,0,0,0,-0.0291,-0.0291,1000
0.4966,0.9667,0,0,0,-0.0108,-0.0136,2000
0.5,0.9733,0,0,0,0,0,5000
0.4905,0.0833,1,0.0179,0.0351,0.0024,0.0348,2
0.6956,0.5467,0.8,0.0288,0.0556,0.0242,0.0879,5
0.718,0.57,0.8,0.0303,0.0584,0.0271,0.0944,10
0.5953,0.6767,0.6,0.0306,0.0583,0.0274,0.0759,20
0.6529,0.7167,0.6,0.0349,0.0659,0.0356,0.0902,50
0.7275,0.8533,0.6,0.0667,0.12,0.0928,0.1641,100
0.661,0.9133,0.4,0.08,0.1333,0.1086,0.1492,200
