"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC","num_vars"
0.6024,0.2367,1,0.0498,0.0949,0.0202,0.101,2
0.7812,0.2367,1,0.0498,0.0949,0.0202,0.101,5
0.8247,0.2367,1,0.0498,0.0949,0.0202,0.101,10
0.8099,0.46,0.9167,0.064,0.1196,0.0484,0.1417,20
0.691,0.5333,0.8333,0.0676,0.125,0.0551,0.1388,50
0.6372,0.6,0.6667,0.0645,0.1176,0.0482,0.105,100
0.6301,0.6767,0.5833,0.0707,0.1261,0.059,0.11,200
0.6468,0.7067,0.5833,0.0778,0.1373,0.0717,0.1262,300
0.625,0.74,0.5,0.0769,0.1333,0.0688,0.1117,400
0.5642,0.7767,0.3333,0.0635,0.1067,0.0423,0.0618,500
0.5451,0.8933,0.1667,0.0833,0.1111,0.061,0.0652,1000
0.5399,0.96,0.0833,0.5,0.1429,0.1329,0.1923,2000
0.5,0.96,0,0,0,0,0,5000
0.6018,0.18,1,0.0575,0.1087,0.0156,0.0887,2
0.6204,0.1733,1,0.057,0.1079,0.0147,0.086,5
0.7628,0.18,1,0.0575,0.1087,0.0156,0.0887,10
0.8096,0.3367,1,0.0701,0.131,0.0414,0.1454,20
0.7443,0.44,0.9333,0.0773,0.1429,0.0556,0.1548,50
0.6648,0.47,0.8,0.0714,0.1311,0.0433,0.1109,100
0.6213,0.4833,0.8,0.0732,0.1341,0.0467,0.1167,200
0.6554,0.5767,0.7333,0.0821,0.1477,0.0634,0.1323,300
0.6898,0.65,0.7333,0.0982,0.1732,0.0933,0.1707,400
0.6883,0.71,0.6667,0.1087,0.1869,0.1104,0.1791,500
0.6789,0.87,0.4667,0.1842,0.2642,0.2073,0.2345,1000
0.5544,0.9333,0.1333,0.2222,0.1667,0.1342,0.139,2000
0.4982,0.9467,0,0,0,-0.0063,-0.0133,5000
0.6274,0.1,1,0.0459,0.0878,0.0054,0.0522,2
0.7089,0.2233,1,0.0528,0.1004,0.0197,0.0997,5
0.773,0.2333,1,0.0535,0.1016,0.021,0.1031,10
0.7845,0.3833,0.9231,0.0612,0.1148,0.0365,0.1206,20
0.6979,0.4233,0.9231,0.0652,0.1218,0.0445,0.1354,50
0.6939,0.4667,0.8462,0.0651,0.1209,0.0439,0.1214,100
0.508,0.4833,0.5385,0.0449,0.0828,0.0031,0.0079,200
0.3789,0.59,0.1538,0.0175,0.0315,-0.0502,-0.0992,300
0.3977,0.6233,0.1538,0.0192,0.0342,-0.0464,-0.0862,400
0.387,0.67,0.0769,0.0114,0.0198,-0.0603,-0.1012,500
0.4705,0.83,0.0769,0.025,0.0377,-0.0296,-0.0353,1000
0.4826,0.9233,0,0,0,-0.0392,-0.0395,2000
0.4983,0.9533,0,0,0,-0.0062,-0.0123,5000
0.5816,0.1967,1,0.0474,0.0906,0.0154,0.088,2
0.5075,0.1967,1,0.0474,0.0906,0.0154,0.088,5
0.8487,0.1967,1,0.0474,0.0906,0.0154,0.088,10
0.7836,0.34,0.9167,0.0529,0.1,0.0264,0.0989,20
0.6753,0.47,0.8333,0.0599,0.1117,0.0401,0.1137,50
0.6111,0.5567,0.6667,0.0584,0.1074,0.0365,0.0861,100
0.658,0.65,0.6667,0.0734,0.1322,0.0648,0.1287,200
0.6649,0.74,0.5833,0.0875,0.1522,0.0888,0.1462,300
0.6892,0.7867,0.5833,0.1061,0.1795,0.1199,0.179,400
0.6337,0.8333,0.4167,0.1042,0.1667,0.1097,0.1429,500
0.599,0.92,0.25,0.1667,0.2,0.1597,0.1633,1000
0.4931,0.9467,0,0,0,-0.0204,-0.0237,2000
0.5,0.96,0,0,0,0,0,5000
0.5799,0.1933,1,0.0472,0.0902,0.015,0.0869,2
0.8351,0.1933,1,0.0472,0.0902,0.015,0.0869,5
0.7598,0.2,1,0.0476,0.0909,0.0157,0.0891,10
0.7082,0.44,0.9167,0.0618,0.1158,0.0442,0.1344,20
0.7047,0.5067,0.9167,0.0696,0.1294,0.0595,0.1594,50
0.7473,0.5833,0.9167,0.0815,0.1497,0.0822,0.1915,100
0.6499,0.64,0.6667,0.0714,0.129,0.0612,0.1238,200
0.5174,0.6867,0.3333,0.0444,0.0784,0.0084,0.0148,300
0.4796,0.69,0.25,0.0345,0.0606,-0.0104,-0.018,400
0.4583,0.7267,0.1667,0.027,0.0465,-0.024,-0.0379,500
0.5,0.8833,0.0833,0.04,0.0541,0,0,1000
0.4861,0.9333,0,0,0,-0.0331,-0.0338,2000
0.5,0.96,0,0,0,0,0,5000
0.5906,0.2167,1,0.0524,0.0996,0.0188,0.0975,2
0.6384,0.2167,1,0.0524,0.0996,0.0188,0.0975,5
0.8563,0.2167,1,0.0524,0.0996,0.0188,0.0975,10
0.8992,0.3467,1,0.0622,0.1171,0.0387,0.1404,20
0.7892,0.45,1,0.073,0.1361,0.0602,0.1762,50
0.6753,0.4967,0.8462,0.0688,0.1272,0.0511,0.1335,100
0.7384,0.64,0.8462,0.094,0.1692,0.0989,0.199,200
0.7174,0.67,0.7692,0.0943,0.1681,0.0985,0.1852,300
0.5721,0.7433,0.3846,0.0676,0.1149,0.0445,0.0681,400
0.6,0.7967,0.3846,0.0862,0.1408,0.0754,0.1031,500
0.5247,0.8633,0.1538,0.0625,0.0889,0.029,0.0325,1000
0.4791,0.9167,0,0,0,-0.0434,-0.0434,2000
0.5,0.9567,0,0,0,0,0,5000
0.6117,0.13,1,0.0543,0.1031,0.0091,0.0677,2
0.7394,0.21,1,0.0595,0.1124,0.0199,0.1001,5
0.7682,0.22,1,0.0602,0.1136,0.0213,0.1038,10
0.782,0.27,1,0.0641,0.1205,0.0293,0.1218,20
0.696,0.41,0.9333,0.0737,0.1366,0.0484,0.1428,50
0.6951,0.4767,0.8667,0.0774,0.1421,0.0554,0.1417,100
0.6768,0.5667,0.8,0.0863,0.1558,0.0721,0.1549,200
0.7102,0.63,0.8,0.1,0.1778,0.0976,0.1873,300
0.6702,0.6733,0.6667,0.0971,0.1695,0.0901,0.1562,400
0.693,0.7167,0.6667,0.1111,0.1905,0.1146,0.1836,500
0.5982,0.8367,0.3333,0.1136,0.1695,0.1026,0.1211,1000
0.5614,0.8867,0.2,0.12,0.15,0.0933,0.0968,2000
0.4982,0.9467,0,0,0,-0.0063,-0.0133,5000
0.4978,0.2367,0.7857,0.0464,0.0876,-5e-04,-0.0023,2
0.6016,0.2367,0.7857,0.0464,0.0876,-5e-04,-0.0023,5
0.6314,0.2367,0.7857,0.0464,0.0876,-5e-04,-0.0023,10
0.7163,0.4067,0.7857,0.0591,0.11,0.0254,0.0755,20
0.6282,0.4667,0.7857,0.0655,0.1209,0.038,0.1006,50
0.6206,0.5167,0.7143,0.0662,0.1212,0.0391,0.0933,100
0.6379,0.6333,0.6429,0.0789,0.1406,0.0627,0.1198,200
0.6014,0.6933,0.5,0.0761,0.1321,0.0556,0.0928,300
0.5579,0.74,0.3571,0.0676,0.1136,0.0381,0.0567,400
0.545,0.78,0.2857,0.0667,0.1081,0.0351,0.0474,500
0.5155,0.8533,0.1429,0.0588,0.0833,0.0184,0.0206,1000
0.493,0.94,0,0,0,-0.0212,-0.0257,2000
0.5,0.9533,0,0,0,0,0,5000
0.5841,0.17,1,0.0604,0.1139,0.0148,0.0863,2
0.7496,0.19,1,0.0618,0.1164,0.0177,0.0944,5
0.7762,0.2067,1,0.063,0.1185,0.0202,0.101,10
0.6863,0.2567,0.8125,0.0558,0.1044,0.0051,0.0204,20
0.6487,0.3333,0.8125,0.0619,0.115,0.0177,0.0583,50
0.6249,0.4867,0.75,0.0741,0.1348,0.0418,0.1,100
0.6435,0.53,0.75,0.0805,0.1455,0.0544,0.1203,200
0.6455,0.5767,0.6875,0.0827,0.1477,0.058,0.1167,300
0.6026,0.58,0.625,0.0769,0.137,0.0464,0.0918,400
0.5625,0.62,0.5,0.0702,0.1231,0.0326,0.0587,500
