"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC","num_vars"
0.5366,0.2267,0.8889,0.065,0.1212,0.0106,0.0453,2
0.7032,0.2267,0.8889,0.065,0.1212,0.0106,0.0453,5
0.7434,0.23,0.8889,0.0653,0.1217,0.0111,0.0472,10
0.7289,0.4233,0.8889,0.0856,0.1561,0.0524,0.1385,20
0.7252,0.5733,0.8333,0.1071,0.1899,0.0935,0.1857,50
0.715,0.5933,0.8333,0.1119,0.1974,0.1024,0.1965,100
0.711,0.6433,0.7778,0.1197,0.2074,0.1154,0.2009,200
0.7002,0.6633,0.7222,0.1193,0.2047,0.1134,0.1885,300
0.7216,0.69,0.7222,0.1287,0.2185,0.1299,0.2061,400
0.7378,0.7167,0.7222,0.1398,0.2342,0.1486,0.2252,500
0.5357,0.8133,0.2222,0.087,0.125,0.0424,0.0483,1000
0.5118,0.9133,0.0556,0.1,0.0714,0.0299,0.0313,2000
0.4982,0.9367,0,0,0,-0.0064,-0.0146,5000
0.5568,0.2133,0.9474,0.0711,0.1324,0.0165,0.0744,2
0.6511,0.2133,0.9474,0.0711,0.1324,0.0165,0.0744,5
0.7592,0.2233,0.9474,0.072,0.1338,0.0183,0.0796,10
0.6838,0.3367,0.8421,0.0755,0.1385,0.0252,0.0774,20
0.7159,0.4167,0.7895,0.0806,0.1463,0.0355,0.0908,50
0.633,0.4133,0.7895,0.0802,0.1456,0.0346,0.0892,100
0.5755,0.4233,0.7368,0.0769,0.1393,0.0278,0.0693,200
0.5795,0.49,0.6842,0.0812,0.1453,0.0361,0.0786,300
0.6047,0.5433,0.6842,0.0903,0.1595,0.0536,0.1063,400
0.5282,0.58,0.4737,0.072,0.125,0.0169,0.0301,500
0.5378,0.69,0.3684,0.0795,0.1308,0.0298,0.0429,1000
0.5238,0.8433,0.1579,0.0882,0.1132,0.0348,0.0366,2000
0.5245,0.9367,0.0526,0.5,0.0952,0.0842,0.1469,5000
0.6674,0.92,0,0,0,0,0,2
0.805,0.9033,0.4167,0.4,0.4082,0.3556,0.3556,5
0.8312,0.7933,0.75,0.2432,0.3673,0.2804,0.3443,10
0.755,0.6133,0.875,0.1567,0.2658,0.1506,0.2541,20
0.784,0.5933,0.9167,0.1549,0.2651,0.1485,0.2618,50
0.7532,0.56,0.8333,0.1351,0.2326,0.11,0.2005,100
0.7172,0.5733,0.9167,0.1486,0.2558,0.137,0.2497,200
0.7224,0.56,0.9167,0.1447,0.25,0.1297,0.2418,300
0.7181,0.59,0.875,0.1489,0.2545,0.1365,0.2393,400
