"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC","num_vars"
0.5465,0.8267,0.0625,0.0833,0.0714,-0.022,-0.0223,2
0.6611,0.7433,0.5,0.2078,0.2936,0.1682,0.1925,5
0.7322,0.7833,0.5,0.2462,0.3299,0.2181,0.2376,10
0.6452,0.7533,0.5312,0.2237,0.3148,0.1938,0.2208,20
0.6809,0.63,0.6875,0.1789,0.2839,0.1379,0.195,50
0.7078,0.46,0.8125,0.1429,0.243,0.0752,0.1456,100
0.73,0.5633,0.8125,0.1722,0.2842,0.1312,0.2137,200
0.7353,0.6033,0.75,0.1778,0.2874,0.1389,0.2084,300
0.7069,0.4567,0.875,0.1497,0.2557,0.0899,0.1795,400
0.6551,0.4867,0.8438,0.1534,0.2596,0.0965,0.1804,500
0.5886,0.56,0.625,0.1429,0.2326,0.0713,0.1097,1000
0.5287,0.7233,0.2812,0.1304,0.1782,0.038,0.0421,2000
0.4757,0.85,0,0,0,-0.0657,-0.0735,5000
0.5387,0.89,0.0323,0.25,0.0571,0.0343,0.056,2
0.6714,0.86,0.1613,0.2381,0.1923,0.1188,0.1215,5
0.7677,0.7833,0.3871,0.2069,0.2697,0.156,0.1666,10
0.7939,0.7567,0.6774,0.25,0.3652,0.2524,0.3005,20
0.8068,0.53,0.9032,0.1687,0.2843,0.1333,0.2389,50
0.7266,0.5867,0.7419,0.1655,0.2706,0.1223,0.1897,100
0.6636,0.65,0.7097,0.1864,0.2953,0.1574,0.2198,200
0.6748,0.71,0.6774,0.2143,0.3256,0.2,0.2539,300
0.6667,0.6733,0.7097,0.1982,0.3099,0.1769,0.2388,400
0.6597,0.5733,0.6774,0.1511,0.2471,0.094,0.1457,500
0.5113,0.46,0.5806,0.1078,0.1818,0.0091,0.0164,1000
0.546,0.7233,0.3226,0.1389,0.1942,0.0581,0.0656,2000
0.5583,0.8733,0.1613,0.2941,0.2083,0.1458,0.1536,5000
0.4906,0.91,0,0,0,0,0,2
