"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC","num_vars"
0.5465,0.8267,0.0625,0.0833,0.0714,-0.022,-0.0223,2
0.6611,0.7433,0.5,0.2078,0.2936,0.1682,0.1925,5
0.7322,0.7833,0.5,0.2462,0.3299,0.2181,0.2376,10
0.6452,0.7533,0.5312,0.2237,0.3148,0.1938,0.2208,20
0.6809,0.63,0.6875,0.1789,0.2839,0.1379,0.195,50
0.7078,0.46,0.8125,0.1429,0.243,0.0752,0.1456,100
0.73,0.5633,0.8125,0.1722,0.2842,0.1312,0.2137,200
0.5387,0.89,0.0323,0.25,0.0571,0.0343,0.056,2
0.6714,0.86,0.1613,0.2381,0.1923,0.1188,0.1215,5
0.7677,0.7833,0.3871,0.2069,0.2697,0.156,0.1666,10
0.7939,0.7567,0.6774,0.25,0.3652,0.2524,0.3005,20
0.8068,0.53,0.9032,0.1687,0.2843,0.1333,0.2389,50
0.7266,0.5867,0.7419,0.1655,0.2706,0.1223,0.1897,100
0.6636,0.65,0.7097,0.1864,0.2953,0.1574,0.2198,200
0.4906,0.91,0,0,0,0,0,2
0.6659,0.8467,0.1111,0.12,0.1154,0.0316,0.0316,5
0.7289,0.8233,0.3333,0.2045,0.2535,0.1598,0.1659,10
0.7525,0.77,0.4815,0.1912,0.2737,0.1663,0.1914,20
0.7832,0.7167,0.6296,0.1848,0.2857,0.1702,0.2203,50
0.732,0.4233,0.9259,0.1276,0.2242,0.0784,0.1801,100
0.6943,0.49,0.8148,0.1294,0.2234,0.0805,0.1575,200
0.529,0.8367,0.1071,0.1111,0.1091,0.0192,0.0192,2
0.5517,0.7533,0.25,0.1167,0.1591,0.0365,0.0401,5
0.7071,0.7333,0.4286,0.1579,0.2308,0.1093,0.1293,10
0.692,0.7133,0.6786,0.1979,0.3065,0.1893,0.2466,20
0.7977,0.5967,0.8571,0.1702,0.284,0.1519,0.2489,50
0.7854,0.5467,0.9286,0.1625,0.2766,0.14,0.2542,100
