"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC","num_vars"
0.5625,0.82,0.0833,0.2857,0.129,0.0612,0.0759,2
0.6865,0.7,0.5833,0.2857,0.3836,0.2149,0.2388,5
0.7179,0.7467,0.5208,0.3205,0.3968,0.2478,0.2595,10
0.7134,0.7233,0.7083,0.3301,0.4503,0.2968,0.3355,20
0.7348,0.6467,0.7708,0.2803,0.4111,0.2305,0.2909,50
0.7349,0.6933,0.75,0.3103,0.439,0.2749,0.3256,100
0.7048,0.7067,0.7292,0.3182,0.443,0.2834,0.3283,200
0.7134,0.7067,0.7292,0.3182,0.443,0.2834,0.3283,300
0.7359,0.7167,0.7708,0.3333,0.4654,0.3116,0.3623,400
0.7334,0.72,0.7708,0.3364,0.4684,0.316,0.366,500
0.5952,0.4867,0.7708,0.2056,0.3246,0.0962,0.1522,1000
0.5099,0.5667,0.4375,0.1694,0.2442,0.0175,0.0214,2000
0.5169,0.7267,0.2083,0.1852,0.1961,0.0321,0.0322,5000
0.5471,0.21,0.9574,0.1607,0.2752,0.0095,0.0417,2
0.6428,0.63,0.6383,0.2419,0.3509,0.16,0.1969,5
0.7284,0.66,0.8085,0.2901,0.427,0.2552,0.3231,10
0.7471,0.6967,0.8085,0.3167,0.4551,0.2968,0.3594,20
0.7927,0.7,0.8298,0.3223,0.4643,0.3082,0.3747,50
0.7747,0.6933,0.8298,0.3171,0.4588,0.3002,0.3679,100
0.752,0.68,0.8085,0.304,0.4419,0.2773,0.3426,200
0.7636,0.69,0.8298,0.3145,0.4561,0.2962,0.3645,300
0.7731,0.7233,0.8298,0.3421,0.4845,0.3375,0.3994,400
0.7692,0.7433,0.8298,0.3611,0.5032,0.3645,0.4218,500
0.6582,0.5967,0.7447,0.2431,0.3665,0.1706,0.2283,1000
0.5377,0.53,0.5532,0.1781,0.2694,0.0425,0.0574,2000
0.5445,0.67,0.3617,0.1977,0.2556,0.0665,0.0715,5000
0.6043,0.83,0,0,0,0,0,2
0.7238,0.7433,0.6078,0.3523,0.446,0.2941,0.3126,5
0.7414,0.7733,0.5882,0.3896,0.4688,0.3322,0.3435,10
0.7615,0.7533,0.7647,0.3861,0.5132,0.3711,0.4099,20
0.809,0.75,0.8039,0.3868,0.5223,0.38,0.4266,50
0.7966,0.7267,0.7647,0.3578,0.4875,0.333,0.3777,100
0.8109,0.73,0.7843,0.3636,0.4969,0.3447,0.3922,200
0.7843,0.7433,0.7647,0.375,0.5032,0.3564,0.3975,300
0.7829,0.7467,0.7647,0.3786,0.5065,0.3612,0.4016,400
0.7635,0.7233,0.7451,0.3519,0.478,0.3212,0.3631,500
0.567,0.44,0.7647,0.2,0.3171,0.0651,0.1088,1000
0.5704,0.52,0.6471,0.2075,0.3143,0.0766,0.1061,2000
0.5814,0.6933,0.4118,0.253,0.3134,0.1303,0.1367,5000
0.6006,0.8233,0.1277,0.3333,0.1846,0.1071,0.1228,2
0.6692,0.77,0.2766,0.2708,0.2737,0.1371,0.1371,5
0.7581,0.75,0.6596,0.3444,0.4526,0.3107,0.3382,10
0.7549,0.7333,0.7234,0.3366,0.4595,0.3124,0.3527,20
0.7689,0.6867,0.7872,0.3058,0.4405,0.2774,0.3373,50
0.76,0.7,0.766,0.313,0.4444,0.2855,0.3392,100
0.7586,0.72,0.766,0.3303,0.4615,0.3106,0.3608,200
0.748,0.72,0.766,0.3303,0.4615,0.3106,0.3608,300
0.7393,0.6567,0.7872,0.2846,0.4181,0.2441,0.3078,400
0.6945,0.4967,0.8511,0.2174,0.3463,0.1289,0.2104,500
0.606,0.4967,0.766,0.2045,0.3229,0.1004,0.1569,1000
0.5624,0.5833,0.5319,0.1953,0.2857,0.0733,0.0917,2000
0.5296,0.7033,0.2766,0.1912,0.2261,0.0501,0.0514,5000
0.5313,0.8,0.1064,0.2174,0.1429,0.0445,0.0481,2
0.698,0.7333,0.5106,0.2963,0.375,0.2204,0.2336,5
0.7483,0.7733,0.7234,0.382,0.5,0.371,0.4027,10
0.7685,0.7633,0.7872,0.3776,0.5103,0.3788,0.4233,20
0.7768,0.73,0.8298,0.3482,0.4906,0.3463,0.4067,50
0.7814,0.7333,0.8298,0.3514,0.4937,0.3508,0.4105,100
0.7775,0.7433,0.8298,0.3611,0.5032,0.3645,0.4218,200
0.7671,0.75,0.8298,0.3679,0.5098,0.3739,0.4296,300
0.7727,0.7667,0.8298,0.3861,0.527,0.3984,0.4498,400
0.778,0.7667,0.8298,0.3861,0.527,0.3984,0.4498,500
0.535,0.4267,0.6809,0.1693,0.2712,0.027,0.0454,1000
0.5113,0.5367,0.4894,0.1667,0.2486,0.0195,0.0254,2000
0.4823,0.6967,0.1702,0.1333,0.1495,-0.0317,-0.0321,5000
0.5296,0.8,0.0435,0.1111,0.0625,-0.026,-0.0296,2
0.6898,0.7133,0.5652,0.2826,0.3768,0.2167,0.2386,5
0.7269,0.7233,0.6304,0.3053,0.4113,0.258,0.287,10
0.7473,0.7033,0.7174,0.3028,0.4258,0.2679,0.3133,20
0.761,0.6933,0.7826,0.3051,0.439,0.2802,0.3391,50
0.7642,0.6833,0.7609,0.2941,0.4242,0.2607,0.3168,100
0.774,0.6,0.8696,0.2597,0.4,0.2145,0.3033,200
0.7609,0.6967,0.7826,0.3077,0.4417,0.2841,0.3426,300
0.7382,0.71,0.7609,0.3153,0.4459,0.2925,0.3445,400
0.7176,0.7,0.7174,0.3,0.4231,0.2639,0.3097,500
0.5469,0.4,0.7609,0.1716,0.28,0.0397,0.0738,1000
0.501,0.5067,0.5,0.1554,0.2371,0.0041,0.0057,2000
0.4899,0.6967,0.1957,0.1429,0.1651,-0.0147,-0.015,5000
0.607,0.84,0,0,0,0,0,2
