"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC"
0.5623,0.2267,0.9688,0.1183,0.2109,0.0256,0.0991
0.5011,0.1533,0.9355,0.1032,0.1859,-3e-04,-0.0016
0.5204,0.1733,0.9259,0.0923,0.1678,0.0049,0.024
0.4751,0.1933,0.8214,0.0885,0.1597,-0.0106,-0.0427
0.4968,0.1567,0.9032,0.1007,0.1812,-0.0058,-0.0305
0.5221,0.1267,1,0.0966,0.1761,0.0071,0.0596
0.4995,0.1767,0.8929,0.0929,0.1684,-9e-04,-0.004
0.3934,0.1567,0.697,0.0865,0.1538,-0.0521,-0.2104
0.5192,0.1767,0.9259,0.0926,0.1684,0.0056,0.0272
0.4507,0.1467,0.8276,0.0873,0.1579,-0.0206,-0.1054
0.5136,0.1933,0.9032,0.1049,0.1879,0.0034,0.0143
0.5328,0.1433,0.9643,0.0954,0.1736,0.0045,0.0291
0.5106,0.16,0.931,0.0975,0.1765,0.0018,0.0095
0.4824,0.1733,0.8621,0.0929,0.1678,-0.0082,-0.0372
0.4666,0.1467,0.8571,0.087,0.1579,-0.0139,-0.0743
0.4764,0.14,0.88,0.0794,0.1457,-0.0085,-0.0491
0.5448,0.1867,1,0.1159,0.2078,0.0206,0.1019
0.5109,0.17,0.92,0.0852,0.1559,0.004,0.0201
0.5177,0.2133,0.8889,0.0934,0.169,0.0073,0.0289
0.508,0.1833,0.8966,0.097,0.1751,8e-04,0.0034
0.4833,0.15,0.9,0.0968,0.1748,-0.0071,-0.0392
0.4792,0.1467,0.875,0.0766,0.1409,-0.0072,-0.0402
0.4827,0.1767,0.8621,0.0933,0.1684,-0.0074,-0.0331
0.4954,0.14,0.9286,0.0922,0.1677,-0.0025,-0.0154
0.5079,0.17,0.9375,0.1083,0.1942,0.0036,0.0184
0.513,0.1967,0.9444,0.1245,0.2201,0.0102,0.0444
0.4981,0.15,0.9333,0.0996,0.1801,-8e-04,-0.0046
0.4546,0.16,0.8077,0.0784,0.1429,-0.018,-0.0855
0.4979,0.1733,0.8966,0.0959,0.1733,-0.0016,-0.0075
0.5276,0.17,0.9643,0.0982,0.1782,0.0106,0.0553
0.5055,0.19,0.9032,0.1045,0.1873,0.0025,0.0109
0.5465,0.2267,0.9259,0.098,0.1773,0.0174,0.0669
0.4683,0.1467,0.8667,0.0935,0.1688,-0.0143,-0.0767
0.5387,0.1667,1,0.1039,0.1883,0.016,0.0897
0.4177,0.1233,0.8077,0.0753,0.1377,-0.0248,-0.1477
0.5112,0.1567,0.9677,0.1064,0.1917,0.0068,0.0397
0.5183,0.1233,1,0.0931,0.1703,0.0068,0.0584
0.5078,0.13,0.9677,0.1034,0.1869,3e-04,0.002
0.4614,0.1633,0.8276,0.0889,0.1605,-0.017,-0.079
0.5029,0.1567,0.9286,0.0939,0.1705,0.0012,0.0063
0.5319,0.2367,0.9167,0.1274,0.2237,0.0165,0.0573
0.4822,0.15,0.8667,0.0939,0.1694,-0.0135,-0.071
0.5041,0.1267,0.9643,0.0938,0.1709,9e-04,0.007
0.4786,0.15,0.9032,0.1,0.1801,-0.0074,-0.041
0.5056,0.1367,0.9667,0.101,0.183,0.0023,0.0164
0.5225,0.19,0.9375,0.1107,0.198,0.0089,0.04
0.5373,0.1967,0.931,0.1015,0.1831,0.0106,0.0458
0.5355,0.2133,0.931,0.1034,0.1862,0.0148,0.0594
0.4688,0.1433,0.9032,0.0993,0.1789,-0.009,-0.0526
0.4833,0.1233,0.9333,0.0969,0.1755,-0.0069,-0.0532
0.4284,0.1433,0.7778,0.0772,0.1405,-0.0278,-0.1393
0.4947,0.1933,0.871,0.1019,0.1824,-0.0032,-0.0131
0.5119,0.1733,0.9643,0.0985,0.1788,0.0114,0.0581
0.528,0.1667,0.9706,0.117,0.2089,0.0083,0.046
0.4961,0.17,0.9,0.0989,0.1782,-0.0024,-0.0116
0.4967,0.15,0.9375,0.106,0.1905,-0.0015,-0.0087
0.4697,0.1867,0.8148,0.0843,0.1528,-0.0124,-0.0516
0.4814,0.1467,0.8929,0.0899,0.1634,-0.0075,-0.0416
0.5087,0.16,0.9231,0.0876,0.16,0.002,0.0107
0.5111,0.2,0.9,0.1023,0.1837,0.005,0.0205
0.4786,0.17,0.8889,0.0889,0.1616,-0.0024,-0.0116
0.5254,0.2,0.9355,0.1086,0.1946,0.0116,0.0493
0.5303,0.1467,0.9655,0.0989,0.1795,0.005,0.0314
0.5407,0.2267,0.9333,0.1085,0.1944,0.0186,0.0704
0.5255,0.1967,0.92,0.0878,0.1603,0.0096,0.0423
0.4772,0.1667,0.8621,0.0923,0.1667,-0.0097,-0.0457
0.4027,0.2167,0.6296,0.0702,0.1264,-0.0424,-0.141
0.4658,0.1467,0.8621,0.0903,0.1634,-0.0141,-0.0753
0.5239,0.18,0.9375,0.1095,0.1961,0.0062,0.0297
0.5174,0.1567,0.931,0.0971,0.1759,0.001,0.0055
0.4806,0.17,0.8788,0.1058,0.1889,-0.0092,-0.0432
0.5019,0.14,0.9677,0.1045,0.1887,0.0027,0.0185
0.5283,0.2033,0.9375,0.1124,0.2007,0.0126,0.0525
0.5292,0.1367,1,0.0912,0.1672,0.0099,0.0707
0.5254,0.1533,0.9697,0.1123,0.2013,0.0051,0.0318
0.4794,0.14,0.9,0.0957,0.1731,-0.0094,-0.0561
0.4843,0.18,0.8621,0.0936,0.1689,-0.0066,-0.0292
0.4927,0.1467,0.8846,0.0833,0.1523,-0.0072,-0.0402
0.502,0.18,0.8889,0.0899,0.1633,-2e-04,-0.0011
0.5187,0.1767,0.9375,0.1091,0.1954,0.0054,0.026
0.4546,0.22,0.7407,0.081,0.146,-0.0194,-0.0681
0.5233,0.1733,0.9714,0.121,0.2152,0.0097,0.0519
0.4716,0.1567,0.8621,0.0912,0.165,-0.0119,-0.0596
0.4677,0.1367,0.9091,0.1049,0.1881,-0.0114,-0.0737
0.5253,0.16,0.963,0.0939,0.1711,0.0084,0.0468
0.5093,0.1967,0.9,0.1019,0.1831,0.0041,0.0173
0.532,0.23,0.8857,0.1202,0.2116,0.0077,0.0269
0.4986,0.1367,0.9231,0.0854,0.1564,-0.0027,-0.0172
0.7052,0.13,0.9688,0.1065,0.192,-3e-04,-0.0025
0.4639,0.1467,0.8889,0.0866,0.1579,-0.0073,-0.0407
0.5356,0.2167,0.931,0.1038,0.1869,0.0156,0.0619
0.4847,0.15,0.9062,0.1032,0.1853,-0.0077,-0.0432
0.4879,0.16,0.8846,0.0846,0.1544,-0.0046,-0.0234
0.4772,0.17,0.8519,0.0858,0.1559,-0.0091,-0.0423
0.4857,0.25,0.7879,0.1066,0.1877,-0.0075,-0.023
0.5165,0.18,0.9333,0.1029,0.1854,0.0065,0.0306
0.5149,0.1367,0.9677,0.1042,0.1881,0.0018,0.0134
0.5271,0.2233,0.9032,0.1085,0.1938,0.0114,0.0423
0.5416,0.1567,0.9643,0.0968,0.1759,0.0075,0.0431
0.455,0.1667,0.8378,0.1127,0.1987,-0.0239,-0.107
