"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC"
0.4102,0.42,0.4,0.0116,0.0225,-0.0103,-0.0466
0.3731,0.3733,0.375,0.0161,0.0309,-0.0213,-0.0835
0.5542,0.3167,0.8,0.0192,0.0376,0.0052,0.0301
0.3784,0.7467,0,0,0,-0.0259,-0.0653
0.3814,0.5567,0.2,0.0077,0.0148,-0.0179,-0.0613
0.4647,0.33,0.6,0.0149,0.029,-0.0037,-0.0204
0.4492,0.4967,0.4,0.0133,0.0258,-0.0067,-0.026
0.6241,0.3867,0.875,0.0368,0.0707,0.0206,0.083
0.6424,0.49,0.8,0.0256,0.0497,0.018,0.073
0.3444,0.1933,0.5,0.0124,0.0242,-0.0154,-0.1109
0.4481,0.4,0.5,0.0167,0.0323,-0.0067,-0.0292
0.5661,0.34,0.8,0.0199,0.0388,0.0065,0.036
0.4838,0.4667,0.5,0.0188,0.0361,-0.0025,-0.0095
0.6571,0.5667,0.75,0.0227,0.0441,0.0187,0.0726
0.3815,0.3367,0.4286,0.0152,0.0293,-0.0166,-0.0755
0.369,0.5633,0.1667,0.0079,0.015,-0.0241,-0.0742
0.3929,0.45,0.3333,0.0123,0.0237,-0.0155,-0.0602
0.3095,0.2867,0.3333,0.0094,0.0183,-0.0214,-0.1171
0.4939,0.42,0.5714,0.0229,0.044,-0.001,-0.0037
0.5473,0.5933,0.5,0.0164,0.0317,0.0061,0.0221
0.2458,0.4833,0,0,0,-0.0333,-0.1302
0.5405,0.58,0.5,0.0159,0.0308,0.0051,0.0188
0.5274,0.3167,0.75,0.0287,0.0553,0.0041,0.0192
0.6271,0.6533,0.6,0.0286,0.0545,0.0235,0.0682
0.4559,0.51,0.4,0.0137,0.0265,-0.0059,-0.0226
0.4048,0.3133,0.5,0.0146,0.0283,-0.011,-0.0575
0.4,0.4,0.4,0.0112,0.0217,-0.011,-0.0522
0.3949,0.39,0.4,0.011,0.0214,-0.0114,-0.0551
0.5111,0.4033,0.625,0.0276,0.0529,0.0019,0.0073
0.5102,0.4233,0.6,0.0172,0.0335,0.0012,0.0053
0.3357,0.3833,0.2857,0.011,0.0212,-0.0249,-0.1016
0.3288,0.4533,0.2,0.0062,0.012,-0.021,-0.0879
0.5322,0.4667,0.6,0.0186,0.0361,0.0039,0.0165
0.4195,0.18,0.6667,0.0161,0.0315,-0.0079,-0.0604
0.4281,0.36,0.5,0.0208,0.04,-0.0118,-0.0483
0.6407,0.7067,0.5714,0.0449,0.0833,0.0419,0.093
0.5559,0.5133,0.6,0.0204,0.0395,0.0075,0.0286
0.4898,0.16,0.8333,0.0195,0.0382,-0.001,-0.0081
0.4332,0.37,0.5,0.0212,0.0406,-0.0111,-0.0446
0.4847,0.31,0.6667,0.0191,0.0372,-0.0017,-0.0093
0.5993,0.4567,0.75,0.0359,0.0686,0.0186,0.0644
0.4864,0.3767,0.6,0.016,0.0311,-0.0014,-0.0072
0.4508,0.5,0.4,0.0134,0.026,-0.0065,-0.0252
0.4831,0.5633,0.4,0.0154,0.0296,-0.0026,-0.0088
0.2489,0.1667,0.3333,0.0081,0.0157,-0.0243,-0.1862
0.344,0.2633,0.4286,0.0136,0.0264,-0.0197,-0.1065
0.6792,0.3733,1,0.0359,0.0693,0.0254,0.1134
0.4746,0.3533,0.6,0.0154,0.03,-0.0026,-0.0136
0.4341,0.37,0.5,0.0106,0.0207,-0.0055,-0.0313
0.4892,0.1533,0.8333,0.0194,0.0379,-0.0013,-0.011
0.3605,0.3867,0.3333,0.011,0.0213,-0.0181,-0.0799
0.4447,0.4867,0.4,0.0131,0.0253,-0.0072,-0.0286
0.3588,0.3833,0.3333,0.0109,0.0212,-0.0183,-0.081
0.4289,0.2433,0.625,0.0218,0.0422,-0.0098,-0.0539
0.5612,0.46,0.6667,0.0244,0.0471,0.0088,0.0344
0.5077,0.16,0.875,0.0271,0.0526,0.001,0.0072
0.3373,0.47,0.2,0.0064,0.0124,-0.0205,-0.0834
0.482,0.3967,0.5714,0.022,0.0423,-0.0027,-0.0111
0.701,0.65,0.75,0.028,0.0541,0.0291,0.0955
0.6096,0.4767,0.75,0.0373,0.071,0.0213,0.0708
0.4068,0.4133,0.4,0.0114,0.0222,-0.0105,-0.0484
0.4464,0.4633,0.4286,0.0188,0.0359,-0.0092,-0.0325
0.5559,0.32,0.8,0.0193,0.0377,0.0054,0.031
0.4339,0.4667,0.4,0.0126,0.0244,-0.0082,-0.0339
0.4968,0.1533,0.8571,0.0232,0.0451,-3e-04,-0.0028
0.4136,0.4267,0.4,0.0117,0.0227,-0.01,-0.0447
0.5136,0.43,0.6,0.0174,0.0339,0.0016,0.007
0.2495,0.3,0.2,0.0048,0.0094,-0.0239,-0.1379
0.5136,0.6233,0.4,0.0179,0.0342,0.0024,0.0072
0.3793,0.2633,0.5,0.0136,0.0264,-0.013,-0.0768
0.5881,0.3833,0.8,0.0213,0.0415,0.0093,0.0467
0.3576,0.29,0.4286,0.0142,0.0274,-0.0186,-0.0944
0.4334,0.4367,0.4286,0.0179,0.0343,-0.011,-0.0409
0.4932,0.25,0.75,0.0262,0.0506,-9e-04,-0.0052
0.2966,0.39,0.2,0.0056,0.0108,-0.0223,-0.1063
0.4003,0.5467,0.25,0.0075,0.0145,-0.0117,-0.046
0.4851,0.7633,0.2,0.0147,0.0274,-0.0038,-0.0083
0.2817,0.36,0.2,0.0053,0.0103,-0.0229,-0.116
0.494,0.37,0.625,0.0262,0.0503,-0.001,-0.004
0.5137,0.29,0.75,0.0276,0.0533,0.002,0.0099
0.5295,0.3533,0.7143,0.0254,0.049,0.0041,0.0188
0.4224,0.1633,0.7,0.0275,0.0528,-0.0121,-0.078
