"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC"
0.4649,0.16,0.8958,0.1483,0.2544,-0.0277,-0.1722
0.5046,0.18,0.9787,0.1581,0.2722,0.0033,0.022
0.518,0.23,0.9412,0.1739,0.2936,0.0093,0.0353
0.5,0.2033,0.8936,0.1522,0.2601,-0.0105,-0.0419
0.4851,0.2167,0.8723,0.1519,0.2587,-0.0112,-0.0397
0.4954,0.18,0.9783,0.1552,0.2679,0.0043,0.0275
0.5039,0.2167,0.9375,0.1625,0.2769,0.0058,0.0232
0.4945,0.2067,0.9167,0.1583,0.2699,-0.004,-0.0167
0.5189,0.18,0.9487,0.1317,0.2312,0.0038,0.0191
0.5249,0.22,0.9787,0.1649,0.2822,0.0192,0.0823
0.5069,0.1967,0.9333,0.15,0.2585,0,0
0.4811,0.1967,0.8913,0.148,0.2539,-0.0124,-0.0512
0.5097,0.19,0.9574,0.1573,0.2703,0.0016,0.0084
0.5186,0.1733,0.9787,0.157,0.2706,8e-04,0.0059
0.494,0.1933,0.907,0.1408,0.2437,-0.0058,-0.0251
0.5018,0.19,0.9231,0.1304,0.2286,0.001,0.0044
0.53,0.2267,0.98,0.175,0.297,0.0197,0.0837
0.4786,0.1867,0.8837,0.1372,0.2375,-0.0142,-0.0609
0.525,0.2167,0.9048,0.1413,0.2444,0.0029,0.0107
0.5483,0.2267,0.9318,0.1519,0.2611,0.0119,0.044
0.5142,0.17,0.975,0.1359,0.2385,0.0059,0.0353
0.4857,0.17,0.9333,0.1458,0.2523,-0.0097,-0.0572
0.4987,0.2067,0.8913,0.1496,0.2562,-0.0086,-0.0333
0.4838,0.21,0.8636,0.1413,0.2428,-0.0124,-0.045
0.5238,0.2367,0.9388,0.1691,0.2866,0.0136,0.0488
0.5253,0.22,0.9804,0.1767,0.2994,0.0159,0.0725
0.5137,0.1833,0.9767,0.1469,0.2553,0.0082,0.0454
0.5251,0.2167,0.9565,0.1588,0.2724,0.0128,0.0531
0.4841,0.21,0.8936,0.1533,0.2617,-0.0079,-0.0302
0.5445,0.2233,1,0.1619,0.2786,0.0275,0.1182
0.51,0.17,0.9773,0.1478,0.2567,0.0026,0.0177
0.5092,0.1933,0.9524,0.1429,0.2484,0.0066,0.0308
0.5217,0.1867,0.9773,0.1503,0.2606,0.0086,0.0471
0.4905,0.1967,0.9149,0.1536,0.263,-0.0072,-0.0319
0.6869,0.2067,1,0.153,0.2654,0.0224,0.1064
0.5519,0.18,0.9783,0.1552,0.2679,0.0043,0.0275
0.5018,0.17,0.9535,0.1424,0.2477,-0.0023,-0.0136
0.5109,0.2033,0.9348,0.1541,0.2646,0.0018,0.008
0.4994,0.1733,0.9524,0.1399,0.2439,-3e-04,-0.0018
0.4791,0.19,0.9362,0.1549,0.2659,-0.0041,-0.0201
0.4777,0.2333,0.84,0.1591,0.2675,-0.0177,-0.055
0.5417,0.1967,0.9362,0.156,0.2675,-0.0015,-0.007
0.4817,0.1933,0.875,0.1287,0.2244,-0.0106,-0.0427
0.505,0.2,0.9574,0.159,0.2727,0.0055,0.0263
0.4713,0.1867,0.9216,0.1638,0.2781,-0.0149,-0.078
0.4564,0.17,0.8696,0.1413,0.2432,-0.028,-0.1358
0.5485,0.1833,1,0.1552,0.2687,0.0121,0.078
0.4932,0.2367,0.9216,0.1728,0.291,0.0066,0.0232
0.4662,0.1633,0.8864,0.1368,0.2371,-0.0228,-0.1211
0.487,0.2133,0.94,0.1679,0.2848,0.0028,0.012
0.4886,0.1833,0.9375,0.1568,0.2687,-0.0076,-0.0411
0.5349,0.19,0.9778,0.1538,0.2659,0.009,0.0487
0.4782,0.1933,0.8936,0.1505,0.2577,-0.0143,-0.0615
0.5143,0.22,0.9362,0.16,0.2733,0.0078,0.0304
0.4979,0.2,0.94,0.1655,0.2814,-0.0028,-0.0133
0.5175,0.19,0.9767,0.1479,0.2569,0.0105,0.0548
0.4591,0.19,0.8511,0.1449,0.2477,-0.0274,-0.1095
0.5133,0.1933,0.9792,0.1632,0.2798,0.0075,0.0427
0.5337,0.2233,0.9535,0.1507,0.2603,0.017,0.0658
0.5502,0.22,1,0.1673,0.2866,0.0248,0.1121
0.5125,0.2067,0.9286,0.1423,0.2468,0.0053,0.0219
0.5072,0.2,0.9302,0.1444,0.25,0.0025,0.0106
0.6669,0.21,0.9787,0.1631,0.2796,0.0151,0.0703
0.5007,0.2033,0.9091,0.1455,0.2508,-0.0028,-0.0114
0.516,0.2167,0.9348,0.1564,0.2679,0.007,0.0279
0.4706,0.2067,0.8444,0.1413,0.242,-0.0201,-0.0721
0.5274,0.1833,0.9773,0.1498,0.2598,0.0073,0.042
0.6232,0.1733,0.9574,0.1546,0.2663,-0.0048,-0.0317
0.5451,0.2133,1,0.1748,0.2976,0.0194,0.0989
0.5024,0.19,0.9545,0.1484,0.2569,0.004,0.0201
0.4968,0.1933,0.9608,0.1696,0.2882,-0.0011,-0.0061
0.505,0.1667,0.9787,0.1559,0.269,-0.0017,-0.0155
0.534,0.2167,1,0.1725,0.2943,0.0218,0.1049
0.5191,0.19,0.9756,0.1418,0.2477,0.0119,0.0597
0.5514,0.2067,0.8667,0.1439,0.2468,-0.0141,-0.0521
0.5233,0.18,1,0.1488,0.259,0.0127,0.0798
0.4647,0.17,0.8667,0.1383,0.2385,-0.0272,-0.1297
0.5185,0.18,0.95,0.1348,0.236,0.0032,0.0165
0.5505,0.1967,1,0.1544,0.2675,0.0179,0.0951
0.5615,0.22,0.9592,0.1685,0.2866,0.0121,0.0505
0.5098,0.2167,0.9149,0.1569,0.2679,6e-04,0.0024
0.5202,0.2167,0.9608,0.1738,0.2943,0.0089,0.0396
0.4891,0.19,0.9773,0.1509,0.2614,0.0098,0.0519
0.5038,0.1933,0.9333,0.1495,0.2577,-0.0012,-0.0057
0.5092,0.2167,0.907,0.1444,0.2492,0.0025,0.0095
0.505,0.2033,0.9318,0.148,0.2555,0.0031,0.0132
0.539,0.2133,0.907,0.1439,0.2484,0.0013,0.005
0.4992,0.1733,0.9556,0.1488,0.2575,-0.0028,-0.0174
0.6902,0.75,0.3269,0.2982,0.3119,0.1596,0.1598
0.5076,0.1767,0.9796,0.1633,0.2799,-2e-04,-0.0013
0.5374,0.2467,0.9608,0.1795,0.3025,0.0224,0.0803
0.4734,0.2,0.8889,0.1455,0.25,-0.0105,-0.0422
0.4667,0.1667,0.8684,0.1187,0.2089,-0.018,-0.0851
0.5173,0.1767,0.9767,0.1458,0.2538,0.0058,0.035
0.48,0.2167,0.8654,0.1648,0.2769,-0.0201,-0.0714
0.4892,0.1833,0.9091,0.1423,0.2462,-0.01,-0.0469
0.4988,0.2,0.9375,0.1596,0.2727,-0.001,-0.0046
0.6472,0.5967,0.6735,0.2391,0.3529,0.1474,0.1892
0.4876,0.1933,0.9565,0.1549,0.2667,0.0037,0.0187
0.4836,0.1933,0.898,0.1566,0.2667,-0.0159,-0.0702
