"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC"
0.5024,0.16,0.8889,0.0602,0.1127,3e-04,0.0018
0.4668,0.1267,0.8421,0.0582,0.1088,-0.0109,-0.0701
0.5389,0.1867,0.9583,0.0865,0.1586,0.0139,0.0667
0.4554,0.2467,0.6842,0.0558,0.1032,-0.0158,-0.0577
0.5349,0.3133,0.7895,0.0691,0.1271,0.0121,0.0384
0.5106,0.1267,0.9444,0.0612,0.1149,0.0024,0.0172
0.5018,0.2,0.85,0.0669,0.1241,6e-04,0.0025
0.4454,0.15,0.7917,0.0706,0.1297,-0.0202,-0.1017
0.4527,0.21,0.7619,0.0645,0.119,-0.0116,-0.0469
0.5089,0.2567,0.8,0.0681,0.1255,0.003,0.0108
0.6051,0.3033,0.9524,0.0877,0.1606,0.0372,0.1236
0.5294,0.2067,0.9048,0.0745,0.1377,0.0096,0.0421
0.487,0.17,0.85,0.0646,0.1201,-0.0043,-0.0217
0.4816,0.19,0.8261,0.0736,0.1352,-0.0065,-0.0282
0.4025,0.17,0.6667,0.0471,0.0879,-0.0272,-0.1297
0.5297,0.1633,0.9524,0.0741,0.1375,0.0087,0.0479
0.5314,0.17,0.9524,0.0746,0.1384,0.0099,0.0525
0.4871,0.2,0.8261,0.0745,0.1367,-0.0046,-0.0193
0.4309,0.2067,0.6957,0.0648,0.1185,-0.0253,-0.0965
0.4652,0.27,0.6957,0.0702,0.1275,-0.0137,-0.0434
0.4336,0.1133,0.8,0.0576,0.1074,-0.0194,-0.1299
0.5065,0.1633,0.9091,0.0743,0.1375,0.0022,0.0115
0.4671,0.12,0.8636,0.0679,0.1258,-0.0118,-0.0786
0.4732,0.14,0.8636,0.0693,0.1284,-0.0085,-0.0497
0.504,0.1967,0.85,0.0667,0.1236,0,0
0.5035,0.1967,0.8636,0.0739,0.1362,0.0013,0.0056
0.5035,0.1767,0.8667,0.0504,0.0952,8e-04,0.0044
0.5858,0.31,0.9091,0.0889,0.1619,0.0327,0.1034
0.536,0.1767,0.9444,0.0646,0.121,0.0098,0.0521
0.5211,0.19,0.9,0.0695,0.129,0.006,0.0285
0.5185,0.26,0.8182,0.0763,0.1395,0.0062,0.0216
0.4513,0.2133,0.7273,0.065,0.1194,-0.0176,-0.0679
0.484,0.1767,0.8333,0.0579,0.1083,-0.0044,-0.0221
0.5123,0.1633,0.9048,0.0709,0.1315,0.0019,0.0102
0.5247,0.1433,0.9565,0.0791,0.1462,0.0053,0.033
0.5149,0.1767,0.9048,0.072,0.1333,0.0042,0.0209
0.4964,0.1467,0.9,0.0662,0.1233,-0.001,-0.0061
0.4818,0.1267,0.8824,0.0545,0.1027,-0.0045,-0.0304
0.5623,0.18,1,0.0717,0.1338,0.0177,0.0945
0.4583,0.2133,0.75,0.0726,0.1324,-0.0158,-0.0597
0.4909,0.1967,0.8333,0.0778,0.1423,-0.0047,-0.0196
0.5182,0.1867,0.8947,0.0656,0.1223,0.0049,0.0238
0.5018,0.2433,0.8,0.0669,0.1236,6e-04,0.0022
0.5542,0.16,1,0.0836,0.1544,0.015,0.0869
0.5112,0.1767,0.8947,0.0649,0.121,0.0033,0.0167
0.4841,0.1633,0.8571,0.0677,0.1254,-0.005,-0.0256
0.497,0.1567,0.85,0.0637,0.1185,-0.0064,-0.0342
0.4604,0.23,0.7222,0.0544,0.1012,-0.0117,-0.0467
0.4925,0.21,0.8261,0.0754,0.1382,-0.0027,-0.0109
0.4117,0.1433,0.7273,0.0599,0.1107,-0.0287,-0.1463
0.5166,0.1867,0.8947,0.0656,0.1223,0.0049,0.0238
0.5001,0.1433,0.9048,0.0693,0.1288,-0.0014,-0.0084
0.5198,0.22,0.8636,0.076,0.1397,0.0057,0.0229
0.5308,0.2067,0.9167,0.0853,0.156,0.0113,0.0482
0.5335,0.1733,0.9524,0.0749,0.1389,0.0105,0.0547
0.5461,0.1433,1,0.0655,0.1229,0.0115,0.0762
0.5191,0.1833,0.9231,0.0899,0.1638,0.007,0.0326
0.5348,0.1767,0.9545,0.0787,0.1453,0.0114,0.058
0.4218,0.17,0.7059,0.0469,0.0879,-0.0205,-0.1022
0.4657,0.17,0.8095,0.0649,0.1201,-0.0109,-0.0526
0.4871,0.2,0.8261,0.0745,0.1367,-0.0046,-0.0193
0.5667,0.3133,0.8636,0.0856,0.1557,0.0257,0.0793
0.4647,0.1467,0.8095,0.0632,0.1172,-0.0145,-0.0785
0.4855,0.1933,0.8333,0.0775,0.1418,-0.0053,-0.0227
0.4805,0.1567,0.8571,0.0672,0.1246,-0.006,-0.0322
0.6178,0.33,0.9524,0.0909,0.166,0.0438,0.1359
0.4966,0.1833,0.8636,0.0728,0.1343,-0.0011,-0.0053
0.4837,0.1767,0.8333,0.0579,0.1083,-0.0044,-0.0221
0.4882,0.2333,0.7778,0.0583,0.1085,-0.0035,-0.014
0.5164,0.1867,0.8947,0.0656,0.1223,0.0049,0.0238
0.5271,0.16,0.9474,0.0669,0.125,0.0076,0.0433
0.5582,0.2233,0.96,0.0938,0.1708,0.0224,0.0909
0.4364,0.18,0.7391,0.0661,0.1214,-0.0225,-0.0967
0.4551,0.22,0.7222,0.0537,0.1,-0.0132,-0.054
0.5212,0.19,0.9,0.0695,0.129,0.006,0.0285
0.4981,0.2133,0.8261,0.0757,0.1387,-0.0021,-0.0082
0.5224,0.27,0.8182,0.0773,0.1412,0.0083,0.028
0.5329,0.1533,0.9524,0.0733,0.1361,0.007,0.0406
0.6125,0.32,0.95,0.0856,0.157,0.0395,0.128
0.5229,0.1867,0.913,0.0798,0.1469,0.0068,0.0319
0.4321,0.2,0.7,0.0565,0.1045,-0.0216,-0.0894
0.5589,0.1767,1,0.0749,0.1394,0.0175,0.094
0.4882,0.13,0.875,0.0753,0.1386,-0.0102,-0.0636
0.5075,0.1067,0.95,0.0664,0.1242,-5e-04,-0.0042
0.5141,0.2033,0.85,0.0672,0.1245,0.0011,0.0049
0.4872,0.21,0.8095,0.068,0.1255,-0.0042,-0.0175
0.5607,0.1233,0.9474,0.0643,0.1204,0.002,0.0146
0.5258,0.1533,0.9524,0.0733,0.1361,0.007,0.0406
0.5216,0.1467,0.9474,0.0659,0.1233,0.0055,0.034
0.5461,0.1967,0.9524,0.0769,0.1423,0.0147,0.0692
0.474,0.3267,0.6471,0.0531,0.0982,-0.0073,-0.0228
0.5215,0.2933,0.7778,0.0631,0.1167,0.0064,0.0218
0.5065,0.1733,0.8824,0.0575,0.1079,0.0017,0.009
0.4959,0.15,0.8889,0.0595,0.1115,-0.0011,-0.0065
0.5384,0.2233,0.9048,0.076,0.1402,0.0127,0.0526
0.4585,0.2033,0.75,0.0602,0.1115,-0.0136,-0.0569
0.521,0.15,0.9524,0.073,0.1356,0.0064,0.0381
0.4888,0.12,0.9048,0.0676,0.1258,-0.0051,-0.0359
0.5271,0.2033,0.8947,0.0669,0.1245,0.0076,0.0347
0.4561,0.1867,0.7727,0.0664,0.1223,-0.0147,-0.0641
