"group","target","Metric","Value"
"ran","AI","AUC",0.5623
"ran","AI","AUC",0.5011
"ran","AI","AUC",0.5204
"ran","AI","AUC",0.4751
"ran","AI","AUC",0.4968
"ran","AI","AUC",0.5221
"ran","AI","AUC",0.4995
"ran","AI","AUC",0.3934
"ran","AI","AUC",0.5192
"ran","AI","AUC",0.4507
"ran","AI","AUC",0.5136
"ran","AI","AUC",0.5328
"ran","AI","AUC",0.5106
"ran","AI","AUC",0.4824
"ran","AI","AUC",0.4666
"ran","AI","AUC",0.4764
"ran","AI","AUC",0.5448
"ran","AI","AUC",0.5109
"ran","AI","AUC",0.5177
"ran","AI","AUC",0.508
"ran","AI","AUC",0.4833
"ran","AI","AUC",0.4792
"ran","AI","AUC",0.4827
"ran","AI","AUC",0.4954
"ran","AI","AUC",0.5079
"ran","AI","AUC",0.513
"ran","AI","AUC",0.4981
"ran","AI","AUC",0.4546
"ran","AI","AUC",0.4979
"ran","AI","AUC",0.5276
"ran","AI","AUC",0.5055
"ran","AI","AUC",0.5465
"ran","AI","AUC",0.4683
"ran","AI","AUC",0.5387
"ran","AI","AUC",0.4177
"ran","AI","AUC",0.5112
"ran","AI","AUC",0.5183
"ran","AI","AUC",0.5078
"ran","AI","AUC",0.4614
"ran","AI","AUC",0.5029
"ran","AI","AUC",0.5319
"ran","AI","AUC",0.4822
"ran","AI","AUC",0.5041
"ran","AI","AUC",0.4786
"ran","AI","AUC",0.5056
"ran","AI","AUC",0.5225
"ran","AI","AUC",0.5373
"ran","AI","AUC",0.5355
"ran","AI","AUC",0.4688
"ran","AI","AUC",0.4833
"ran","AI","AUC",0.4284
"ran","AI","AUC",0.4947
"ran","AI","AUC",0.5119
"ran","AI","AUC",0.528
"ran","AI","AUC",0.4961
"ran","AI","AUC",0.4967
"ran","AI","AUC",0.4697
"ran","AI","AUC",0.4814
"ran","AI","AUC",0.5087
"ran","AI","AUC",0.5111
"ran","AI","AUC",0.4786
"ran","AI","AUC",0.5254
"ran","AI","AUC",0.5303
"ran","AI","AUC",0.5407
"ran","AI","AUC",0.5255
"ran","AI","AUC",0.4772
"ran","AI","AUC",0.4027
"ran","AI","AUC",0.4658
"ran","AI","AUC",0.5239
"ran","AI","AUC",0.5174
"ran","AI","AUC",0.4806
"ran","AI","AUC",0.5019
"ran","AI","AUC",0.5283
"ran","AI","AUC",0.5292
"ran","AI","AUC",0.5254
"ran","AI","AUC",0.4794
"ran","AI","AUC",0.4843
"ran","AI","AUC",0.4927
"ran","AI","AUC",0.502
"ran","AI","AUC",0.5187
"ran","AI","AUC",0.4546
