"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC"
0.595,0.43,0.75,0.1283,0.2192,0.0453,0.0903
0.5535,0.23,0.9355,0.1124,0.2007,0.0199,0.0738
0.4119,0.2233,0.8889,0.0945,0.1708,0.0097,0.0369
0.4814,0.4033,0.7143,0.1047,0.1826,0.0237,0.0518
0.4745,0.3667,0.7097,0.1084,0.188,0.0107,0.024
0.6799,0.4767,0.8571,0.1356,0.2341,0.087,0.1743
0.5371,0.42,0.6071,0.0944,0.1635,0.0023,0.0047
0.5121,0.5267,0.4545,0.1079,0.1744,-0.0041,-0.0062
0.5623,0.4167,0.6667,0.0978,0.1706,0.0162,0.0344
0.6157,0.3233,0.931,0.1184,0.2101,0.0466,0.131
0.4763,0.4333,0.5806,0.1029,0.1748,-0.001,-0.0019
0.5593,0.3767,0.7143,0.1005,0.1762,0.015,0.0346
0.5725,0.44,0.7586,0.1202,0.2075,0.0488,0.0997
0.4092,0.2767,0.6897,0.0877,0.1556,-0.0192,-0.0539
0.5399,0.6133,0.5,0.1207,0.1944,0.0519,0.0747
0.4496,0.2767,0.72,0.0789,0.1423,-0.0093,-0.0282
0.4812,0.2033,0.7812,0.0973,0.173,-0.0206,-0.0744
0.504,0.2933,0.76,0.0844,0.152,0.0024,0.007
0.5255,0.23,1,0.1047,0.1895,0.0317,0.1269
0.4809,0.3133,0.7586,0.0995,0.176,0.0061,0.0163
0.4951,0.2833,0.7333,0.0961,0.1699,-0.0084,-0.0235
0.412,0.75,0.1667,0.0678,0.0964,-0.0196,-0.0223
0.5706,0.2767,0.8621,0.105,0.1873,0.018,0.0555
0.599,0.6167,0.4643,0.115,0.1844,0.0409,0.058
0.4887,0.36,0.6562,0.104,0.1795,-0.0057,-0.0126
0.492,0.55,0.25,0.0769,0.1176,-0.0807,-0.106
0.4913,0.2833,0.8,0.103,0.1825,0.0065,0.0187
0.5219,0.2533,0.9231,0.0976,0.1765,0.0234,0.0826
0.4855,0.2233,0.931,0.1047,0.1882,0.0174,0.067
0.5871,0.3433,0.7143,0.0957,0.1688,0.005,0.0123
0.5561,0.5533,0.5484,0.1241,0.2024,0.0407,0.0625
0.4666,0.1933,0.8148,0.0849,0.1538,-0.0109,-0.0444
0.4716,0.5367,0.4667,0.1022,0.1677,0.0043,0.0067
0.5174,0.26,0.8966,0.1061,0.1898,0.0204,0.0675
0.5714,0.71,0.3077,0.1039,0.1553,0.0296,0.036
0.5755,0.2067,0.9677,0.1124,0.2013,0.0199,0.0843
0.4679,0.2767,0.7778,0.0905,0.1622,0.0011,0.0033
0.5372,0.2233,0.9032,0.1085,0.1938,0.0114,0.0423
0.5379,0.6667,0.3448,0.1099,0.1667,0.0235,0.0295
0.5661,0.4333,0.6429,0.1011,0.1748,0.0161,0.0323
0.5709,0.4433,0.6944,0.1381,0.2304,0.0378,0.0688
0.5814,0.4967,0.7,0.1288,0.2176,0.0586,0.1048
0.4896,0.2933,0.7143,0.0893,0.1587,-0.0086,-0.0239
0.5101,0.6967,0.2581,0.1053,0.1495,0.0032,0.0037
0.4641,0.1933,0.8667,0.0985,0.1769,-0.0033,-0.0137
0.5893,0.2433,0.9375,0.1176,0.2091,0.0241,0.0847
0.5262,0.3633,0.7586,0.1068,0.1872,0.0214,0.0507
0.452,0.3133,0.7931,0.1031,0.1825,0.0138,0.0373
0.5408,0.22,0.9355,0.1111,0.1986,0.0171,0.0661
0.4175,0.2667,0.7667,0.0975,0.1729,-0.0055,-0.0163
0.5687,0.37,0.8519,0.1106,0.1957,0.0433,0.1081
0.4417,0.45,0.3871,0.0759,0.127,-0.0553,-0.0949
0.5445,0.56,0.6071,0.1232,0.2048,0.0588,0.0947
0.5351,0.23,0.9118,0.1197,0.2116,0.0141,0.0504
0.5253,0.5267,0.5,0.1056,0.1744,0.0111,0.0178
0.5129,0.3267,0.75,0.1101,0.192,0.0073,0.0181
0.4434,0.4167,0.5926,0.0889,0.1546,-0.0023,-0.0048
0.5018,0.2767,0.7143,0.0873,0.1556,-0.0128,-0.037
