"group","target","Metric","Value"
"swap","AI","AUC",0.595
"swap","AI","AUC",0.5535
"swap","AI","AUC",0.4119
"swap","AI","AUC",0.4814
"swap","AI","AUC",0.4745
"swap","AI","AUC",0.6799
"swap","AI","AUC",0.5371
"swap","AI","AUC",0.5121
"swap","AI","AUC",0.5623
"swap","AI","AUC",0.6157
"swap","AI","AUC",0.4763
"swap","AI","AUC",0.5593
"swap","AI","AUC",0.5725
"swap","AI","AUC",0.4092
"swap","AI","AUC",0.5399
"swap","AI","AUC",0.4496
"swap","AI","AUC",0.4812
"swap","AI","AUC",0.504
"swap","AI","AUC",0.5255
"swap","AI","AUC",0.4809
"swap","AI","AUC",0.4951
"swap","AI","AUC",0.412
"swap","AI","AUC",0.5706
"swap","AI","AUC",0.599
"swap","AI","AUC",0.4887
"swap","AI","AUC",0.492
"swap","AI","AUC",0.4913
"swap","AI","AUC",0.5219
"swap","AI","AUC",0.4855
"swap","AI","AUC",0.5871
"swap","AI","AUC",0.5561
"swap","AI","AUC",0.4666
"swap","AI","AUC",0.4716
"swap","AI","AUC",0.5174
"swap","AI","AUC",0.5714
"swap","AI","AUC",0.5755
"swap","AI","AUC",0.4679
"swap","AI","AUC",0.5372
"swap","AI","AUC",0.5379
"swap","AI","AUC",0.5661
"swap","AI","AUC",0.5709
"swap","AI","AUC",0.5814
"swap","AI","AUC",0.4896
"swap","AI","AUC",0.5101
"swap","AI","AUC",0.4641
"swap","AI","AUC",0.5893
"swap","AI","AUC",0.5262
"swap","AI","AUC",0.452
"swap","AI","AUC",0.5408
"swap","AI","AUC",0.4175
"swap","AI","AUC",0.5687
"swap","AI","AUC",0.4417
"swap","AI","AUC",0.5445
"swap","AI","AUC",0.5351
"swap","AI","AUC",0.5253
"swap","AI","AUC",0.5129
"swap","AI","AUC",0.4434
"swap","AI","AUC",0.5018
"swap","AI","AUC",0.4771
"swap","AI","AUC",0.4293
"swap","AI","AUC",0.5706
"swap","AI","AUC",0.6178
"swap","AI","AUC",0.5216
"swap","AI","AUC",0.5337
"swap","AI","AUC",0.5183
"swap","AI","AUC",0.5149
"swap","AI","AUC",0.5012
"swap","AI","AUC",0.4226
"swap","AI","AUC",0.545
"swap","AI","AUC",0.5684
"swap","AI","AUC",0.4967
"swap","AI","AUC",0.562
"swap","AI","AUC",0.4277
"swap","AI","AUC",0.4629
"swap","AI","AUC",0.5287
"swap","AI","AUC",0.5165
"swap","AI","AUC",0.5553
"swap","AI","AUC",0.5773
"swap","AI","AUC",0.3991
"swap","AI","AUC",0.469
"swap","AI","AUC",0.5176
"swap","AI","AUC",0.4927
"swap","AI","AUC",0.4712
"swap","AI","AUC",0.4227
"swap","AI","AUC",0.526
"swap","AI","AUC",0.4948
"swap","AI","AUC",0.4692
"swap","AI","AUC",0.4458
"swap","AI","AUC",0.4887
"swap","AI","AUC",0.4154
"swap","AI","AUC",0.4821
"swap","AI","AUC",0.518
"swap","AI","AUC",0.6133
"swap","AI","AUC",0.5731
"swap","AI","AUC",0.4833
"swap","AI","AUC",0.505
"swap","AI","AUC",0.4739
"swap","AI","AUC",0.6313
"swap","AI","AUC",0.5493
"swap","AI","AUC",0.3801
"original","AI","AUC",0.7078
"original","AI","AUC",0.7266
"original","AI","AUC",0.732
"original","AI","AUC",0.7854
"original","AI","AUC",0.7537
"original","AI","AUC",0.8065
"original","AI","AUC",0.7568
"original","AI","AUC",0.7768
"original","AI","AUC",0.7052
"original","AI","AUC",0.7246
"original","AI","AUC",0.7245
"original","AI","AUC",0.6959
"original","AI","AUC",0.7558
"original","AI","AUC",0.7142
"original","AI","AUC",0.7361
"original","AI","AUC",0.7515
"original","AI","AUC",0.7324
"original","AI","AUC",0.7172
"original","AI","AUC",0.7418
"original","AI","AUC",0.6634
"original","AI","AUC",0.7993
"original","AI","AUC",0.6873
"original","AI","AUC",0.7623
"original","AI","AUC",0.6301
"original","AI","AUC",0.8014
"original","AI","AUC",0.6751
"original","AI","AUC",0.7591
"original","AI","AUC",0.7697
"original","AI","AUC",0.7901
"original","AI","AUC",0.6596
"original","AI","AUC",0.6392
"original","AI","AUC",0.7289
"original","AI","AUC",0.7467
"original","AI","AUC",0.6811
"original","AI","AUC",0.6438
"original","AI","AUC",0.752
"original","AI","AUC",0.7669
