"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC"
0.5647,0.5133,0.6,0.0204,0.0395,0.0075,0.0286
0.458,0.5367,0.375,0.0219,0.0414,-0.0095,-0.0271
0.361,0.71,0,0,0,-0.0324,-0.0798
0.4882,0.46,0.5,0.0123,0.0241,-0.002,-0.0093
0.7085,0.27,1,0.0223,0.0437,0.0114,0.0758
0.4071,0.6067,0.2,0.0087,0.0167,-0.0158,-0.0491
0.4536,0.3967,0.6,0.0165,0.0321,-4e-04,-0.0018
0.2791,0.2267,0.5,0.0172,0.0333,-0.0192,-0.1081
0.4332,0.47,0.4,0.0127,0.0245,-0.008,-0.033
0.5102,0.35,0.6667,0.0203,0.0394,6e-04,0.003
0.3889,0.43,0.3333,0.0118,0.0229,-0.0164,-0.0662
0.3919,0.5767,0.2,0.0081,0.0155,-0.0171,-0.0564
0.3359,0.49,0.1667,0.0067,0.0129,-0.0266,-0.0943
0.394,0.5333,0.25,0.0072,0.0141,-0.0121,-0.049
0.4863,0.3567,0.7143,0.0255,0.0493,0.0044,0.0198
0.4147,0.43,0.5,0.0175,0.0339,-0.0049,-0.0202
0.4354,0.4233,0.5,0.0173,0.0335,-0.0053,-0.0222
0.5689,0.6167,0.5,0.0261,0.0496,0.012,0.0343
0.3608,0.1767,0.8571,0.0238,0.0463,0.001,0.0072
0.4899,0.7233,0.25,0.0123,0.0235,-0.0019,-0.0052
0.4051,0.6033,0.2,0.0086,0.0165,-0.0159,-0.0499
0.603,0.7033,0.5,0.0225,0.043,0.0179,0.0517
0.5805,0.25,0.875,0.0303,0.0586,0.0074,0.0413
0.3397,0.4733,0.2,0.0065,0.0125,-0.0205,-0.0825
0.5508,0.5033,0.6,0.02,0.0387,0.0067,0.026
0.5315,0.3667,0.6667,0.0208,0.0404,0.0017,0.0079
0.339,0.32,0.4,0.0099,0.0192,-0.0137,-0.077
0.4644,0.5167,0.4,0.0139,0.0268,-0.0055,-0.0208
0.4658,0.38,0.625,0.0266,0.051,-1e-04,-6e-04
0.5739,0.55,0.6,0.0221,0.0426,0.0107,0.0384
0.5595,0.3167,0.7143,0.024,0.0465,0.0014,0.007
0.4793,0.5567,0.4,0.0152,0.0292,-0.003,-0.0105
0.5593,0.7133,0.4,0.0235,0.0444,0.0134,0.0337
0.4889,0.47,0.5,0.0189,0.0364,-0.0023,-0.0086
0.5246,0.2267,0.875,0.0294,0.0569,0.0056,0.0334
0.5865,0.33,0.8571,0.0291,0.0563,0.0117,0.0568
0.542,0.6767,0.4,0.0208,0.0396,0.0082,0.0223
0.54,0.5733,0.5,0.0234,0.0448,0.0068,0.0212
0.4615,0.4,0.5,0.0222,0.0426,-0.009,-0.0338
0.5522,0.44,0.6667,0.0235,0.0455,0.0071,0.0288
0.4414,0.3333,0.625,0.0248,0.0476,-0.0039,-0.0171
0.479,0.5333,0.4,0.0144,0.0278,-0.0045,-0.0165
0.3325,0.46,0.2,0.0063,0.0122,-0.0208,-0.0861
0.5169,0.63,0.4,0.0182,0.0348,0.003,0.009
0.6159,0.3867,0.8333,0.0266,0.0515,0.0133,0.061
0.4537,0.3467,0.7143,0.0251,0.0485,0.0036,0.0167
0.6399,0.3033,0.8571,0.028,0.0543,0.0095,0.0492
0.5888,0.35,0.8,0.0202,0.0394,0.0071,0.0385
0.5608,0.6233,0.5,0.0177,0.0342,0.0087,0.0296
0.4226,0.4033,0.5,0.0168,0.0324,-0.0065,-0.0282
0.3302,0.4867,0.1667,0.0067,0.0128,-0.0267,-0.0952
0.6373,0.6733,0.6,0.0303,0.0577,0.0268,0.0748
0.5374,0.27,1,0.0267,0.0519,0.0135,0.0825
0.4249,0.39,0.375,0.0166,0.0317,-0.0204,-0.0773
0.5091,0.6767,0.3333,0.0211,0.0396,0.0021,0.0051
0.5779,0.34,0.625,0.025,0.0481,-0.0034,-0.0146
0.5593,0.52,0.6,0.0207,0.04,0.008,0.0304
0.6962,0.37,1,0.0357,0.069,0.025,0.1126
0.5253,0.7933,0.25,0.0167,0.0312,0.0064,0.0145
0.5148,0.34,0.75,0.0297,0.0571,0.0062,0.0271
0.4776,0.5533,0.4,0.015,0.029,-0.0032,-0.0114
0.5529,0.3967,0.7143,0.0272,0.0524,0.0077,0.032
0.4864,0.7633,0.2,0.0147,0.0274,-0.0038,-0.0083
0.2881,0.57,0,0,0,-0.0331,-0.1093
0.5239,0.3267,0.7143,0.0244,0.0472,0.0021,0.0103
0.6231,0.6433,0.6,0.0278,0.0531,0.0219,0.0651
0.5397,0.5633,0.4,0.0154,0.0296,-0.0026,-0.0088
0.3715,0.5367,0.2,0.0074,0.0142,-0.0186,-0.0663
0.6383,0.4767,0.8,0.025,0.0485,0.0167,0.0696
0.5082,0.43,0.6667,0.0231,0.0447,0.0063,0.026
0.4285,0.4533,0.4,0.0123,0.0238,-0.0088,-0.0375
0.587,0.4567,0.7143,0.0301,0.0578,0.0136,0.05
0.557,0.3667,0.7143,0.0259,0.05,0.0052,0.0229
0.5492,0.3833,0.75,0.0317,0.0609,0.0103,0.0411
0.538,0.6733,0.4,0.0206,0.0392,0.0078,0.0213
