"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC"
0.5313,0.63,0.375,0.1818,0.2449,0.0375,0.0418
0.569,0.4567,0.6596,0.1742,0.2756,0.0368,0.0581
0.4897,0.4733,0.5882,0.1796,0.2752,0.02,0.0288
0.479,0.47,0.5319,0.1543,0.2392,-0.0048,-0.007
0.4747,0.5733,0.3617,0.1478,0.2099,-0.0161,-0.0192
0.5361,0.2567,0.8261,0.1502,0.2542,-0.0072,-0.0202
0.4597,0.54,0.3333,0.1311,0.1882,-0.0538,-0.0652
0.5287,0.3933,0.6875,0.165,0.2661,0.0109,0.0193
0.6212,0.3233,0.8718,0.1466,0.2509,0.0365,0.0909
0.5674,0.4333,0.7021,0.1746,0.2797,0.0384,0.0644
0.4376,0.4667,0.4667,0.1338,0.2079,-0.0329,-0.0477
0.5199,0.6667,0.3043,0.1707,0.2188,0.0277,0.0296
0.4632,0.53,0.4681,0.1594,0.2378,0.0054,0.007
0.5713,0.5567,0.6596,0.2095,0.3179,0.1051,0.1433
0.441,0.3267,0.6977,0.137,0.229,-0.014,-0.0298
0.5407,0.6067,0.4359,0.1504,0.2237,0.0377,0.0473
0.6381,0.59,0.66,0.2374,0.3492,0.1379,0.1764
0.5937,0.49,0.6744,0.1726,0.2749,0.0604,0.0943
0.4043,0.2467,0.6905,0.1198,0.2042,-0.0451,-0.1187
0.4928,0.3433,0.7045,0.1442,0.2394,-0.0054,-0.0112
0.5738,0.2167,0.95,0.1402,0.2444,0.0156,0.0619
0.5583,0.4633,0.7333,0.1813,0.2907,0.0661,0.1089
0.4561,0.6533,0.1522,0.0972,0.1186,-0.0842,-0.0875
0.5455,0.6733,0.25,0.1447,0.1833,-0.003,-0.0032
0.5873,0.4767,0.6939,0.1932,0.3022,0.0627,0.0962
0.5019,0.4867,0.5686,0.1801,0.2736,0.0207,0.029
0.4638,0.44,0.5581,0.1387,0.2222,-0.0096,-0.0153
0.4851,0.5233,0.3478,0.124,0.1829,-0.0558,-0.0706
0.6337,0.5733,0.6596,0.2168,0.3263,0.1184,0.1578
0.5161,0.3367,0.7333,0.15,0.2491,0,0
0.4284,0.6967,0.1818,0.127,0.1495,-0.028,-0.0287
0.4477,0.55,0.3333,0.1157,0.1718,-0.0455,-0.0576
0.5011,0.5033,0.5682,0.1613,0.2513,0.0295,0.0427
0.5247,0.48,0.6383,0.1775,0.2778,0.0432,0.0651
0.4699,0.6067,0.3023,0.1287,0.1806,-0.0257,-0.0297
0.6047,0.4833,0.6739,0.1813,0.2857,0.0581,0.0893
0.5707,0.3933,0.814,0.1675,0.2778,0.0525,0.1044
0.6123,0.4833,0.6957,0.185,0.2922,0.066,0.1025
0.5769,0.5467,0.5714,0.169,0.2609,0.0571,0.0793
0.5283,0.6333,0.3617,0.1753,0.2361,0.0317,0.0354
0.5223,0.4967,0.62,0.1902,0.2911,0.0483,0.0688
0.5743,0.45,0.766,0.1895,0.3038,0.0702,0.1186
0.5234,0.5267,0.6,0.16,0.2526,0.0533,0.0784
0.5382,0.48,0.5957,0.1697,0.2642,0.0268,0.0396
0.5315,0.5067,0.5882,0.1911,0.2885,0.0428,0.0588
0.5114,0.54,0.4783,0.1618,0.2418,0.0163,0.0213
0.5953,0.32,0.8222,0.1588,0.2662,0.0197,0.0459
0.5293,0.3667,0.8431,0.1911,0.3116,0.0476,0.0973
0.5559,0.3367,0.75,0.1493,0.2491,0.0059,0.0126
0.4971,0.3133,0.74,0.1609,0.2643,-0.0131,-0.0282
0.5458,0.68,0.2917,0.1842,0.2258,0.0369,0.0385
0.4754,0.51,0.4889,0.1507,0.2304,0.0014,0.0019
0.5269,0.7033,0.234,0.1719,0.1982,0.0214,0.0218
0.5421,0.3333,0.7234,0.1538,0.2537,-0.0063,-0.013
0.5476,0.3333,0.88,0.1849,0.3056,0.0415,0.0957
0.5146,0.49,0.4884,0.1382,0.2154,-0.0104,-0.015
0.5591,0.53,0.5106,0.169,0.254,0.0243,0.0322
0.5005,0.3667,0.6875,0.1587,0.2578,-0.003,-0.0055
0.493,0.52,0.5116,0.1517,0.234,0.0166,0.0232
0.4852,0.4333,0.5745,0.1525,0.2411,-0.0087,-0.0136
0.5531,0.5,0.7143,0.1786,0.2857,0.0795,0.1254
0.5381,0.71,0.2326,0.1562,0.1869,0.0186,0.0192
0.5212,0.3633,0.766,0.1667,0.2738,0.0221,0.0441
0.5719,0.4033,0.8409,0.177,0.2925,0.0662,0.1301
0.5219,0.3133,0.8261,0.161,0.2695,0.0173,0.041
0.518,0.44,0.6667,0.1639,0.2632,0.0295,0.0488
0.5176,0.5533,0.4091,0.1429,0.2118,-0.0072,-0.0092
0.5826,0.4833,0.7872,0.2033,0.3231,0.0987,0.1593
0.54,0.34,0.78,0.1726,0.2826,0.0133,0.0277
0.5129,0.2933,0.8409,0.1529,0.2587,0.014,0.0359
0.5099,0.4033,0.6667,0.1735,0.2753,0.0075,0.0127
0.5397,0.55,0.5532,0.1857,0.2781,0.0568,0.0748
0.5539,0.5333,0.6531,0.2065,0.3137,0.0872,0.1206
0.5356,0.5967,0.3415,0.1296,0.1879,-0.0127,-0.0154
0.5413,0.6267,0.4222,0.181,0.2533,0.0549,0.0636
0.5369,0.5067,0.6047,0.1656,0.26,0.0451,0.0666
0.5536,0.49,0.7111,0.186,0.2949,0.075,0.117
0.56,0.3367,0.8,0.1435,0.2433,0.0223,0.0509
0.4721,0.3667,0.6818,0.1456,0.24,-0.0023,-0.0043
0.5105,0.6533,0.2653,0.1605,0.2,-0.0044,-0.0047
0.5072,0.3367,0.7872,0.1637,0.2711,0.0158,0.0339
0.5289,0.49,0.5686,0.1812,0.2749,0.023,0.032
0.5763,0.4,0.7955,0.1699,0.28,0.0505,0.0972
0.5279,0.3533,0.6667,0.1435,0.2362,-0.0141,-0.0274
0.5171,0.53,0.4884,0.15,0.2295,0.0131,0.0178
0.4973,0.6467,0.4318,0.19,0.2639,0.0756,0.0866
0.5658,0.4667,0.7674,0.1803,0.292,0.078,0.132
0.5925,0.2833,0.8444,0.1545,0.2612,0.0101,0.0267
0.4898,0.5533,0.4231,0.1746,0.2472,0.0024,0.0029
0.5013,0.45,0.6939,0.1848,0.2918,0.0457,0.0731
0.5252,0.3567,0.7059,0.1682,0.2717,-0.004,-0.0075
0.5795,0.4033,0.8667,0.184,0.3035,0.0745,0.1476
0.4912,0.1933,0.8158,0.1165,0.2039,-0.0228,-0.0852
0.6509,0.3833,0.7907,0.1619,0.2688,0.0405,0.081
0.5521,0.5067,0.6154,0.2,0.3019,0.0545,0.0753
0.5905,0.4767,0.7273,0.1808,0.2896,0.0714,0.1157
0.4915,0.3767,0.6667,0.1576,0.255,-0.0052,-0.0093
0.565,0.3467,0.7551,0.1674,0.2741,0.0091,0.0185
0.5747,0.3467,0.7609,0.1591,0.2632,0.0128,0.0265
0.5659,0.3967,0.7755,0.1827,0.2957,0.0426,0.0787
