"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC"
0.4806,0.13,0.9167,0.0406,0.0777,0.0012,0.0092
0.4551,0.2933,0.7333,0.0502,0.094,5e-04,0.0017
0.4995,0.2233,0.9231,0.0492,0.0934,0.0121,0.0599
0.5777,0.2133,0.9167,0.0447,0.0853,0.0097,0.0514
0.5051,0.2567,0.75,0.0393,0.0747,-0.0014,-0.0064
0.5787,0.33,0.6923,0.0437,0.0822,7e-04,0.0026
0.5535,0.3567,0.8,0.0594,0.1106,0.0193,0.062
0.6794,0.3267,0.8571,0.0566,0.1062,0.0204,0.0731
0.6055,0.2233,0.8125,0.0535,0.1004,3e-04,0.0015
0.4646,0.37,0.5455,0.0316,0.0597,-0.0103,-0.0356
0.5209,0.1967,0.7692,0.0403,0.0766,-0.0062,-0.0323
0.5338,0.37,0.5385,0.0368,0.069,-0.0132,-0.0419
0.4576,0.3033,0.6667,0.0376,0.0711,-0.005,-0.0195
0.5497,0.2967,0.9375,0.0667,0.1245,0.0276,0.1028
0.5669,0.2333,0.8,0.0339,0.065,0.0012,0.006
0.3486,0.3467,0.5,0.0255,0.0485,-0.0159,-0.0598
0.5728,0.2467,0.8,0.0345,0.0661,0.0024,0.0118
0.4938,0.44,0.6,0.0353,0.0667,0.004,0.0125
0.5209,0.2033,0.7857,0.0445,0.0843,-0.0044,-0.0218
0.5532,0.3267,0.7857,0.0524,0.0982,0.0117,0.0414
0.4467,0.4567,0.5556,0.0305,0.0578,0.001,0.0031
0.5382,0.3033,0.8571,0.0548,0.103,0.0167,0.0634
0.43,0.2567,0.7273,0.0351,0.0669,-0.0032,-0.015
0.7222,0.5633,0.9091,0.0714,0.1325,0.0692,0.173
0.6403,0.2833,1,0.0444,0.0851,0.0227,0.1072
0.5464,0.2833,0.8333,0.0448,0.0851,0.0099,0.0421
0.6052,0.3133,0.8182,0.0423,0.0804,0.0114,0.0465
0.5453,0.41,0.8182,0.0489,0.0923,0.0248,0.0821
0.4138,0.2267,0.6923,0.038,0.072,-0.0111,-0.051
0.4328,0.2767,0.7857,0.0489,0.0921,0.0046,0.0182
0.5772,0.3633,0.7692,0.0505,0.0948,0.0147,0.0491
0.6508,0.1667,0.9167,0.0423,0.0809,0.0048,0.03
0.5561,0.2033,0.9091,0.0403,0.0772,0.0075,0.0425
0.6035,0.3,0.8,0.0548,0.1026,0.0099,0.0362
0.5332,0.2333,0.9286,0.0537,0.1016,0.0146,0.0683
0.6043,0.45,0.6923,0.0529,0.0984,0.0194,0.054
0.5518,0.26,0.7857,0.0478,0.0902,0.0024,0.01
0.4933,0.2233,0.75,0.0377,0.0717,-0.0048,-0.0237
0.483,0.3733,0.6154,0.0419,0.0784,-0.003,-0.0094
0.3417,0.41,0.4615,0.0341,0.0635,-0.0187,-0.0541
0.6112,0.3333,0.9,0.0433,0.0826,0.0202,0.0832
0.4299,0.3,0.5333,0.0379,0.0708,-0.0249,-0.0854
0.5783,0.3667,0.7143,0.051,0.0952,0.0089,0.0283
0.4529,0.19,0.8667,0.0512,0.0967,0.0025,0.0127
0.5567,0.1633,0.9231,0.0458,0.0873,0.0051,0.0318
0.3861,0.2333,0.5,0.0304,0.0574,-0.0336,-0.1395
0.3897,0.2967,0.6923,0.0417,0.0786,-0.0034,-0.0131
0.5006,0.3033,0.7273,0.0374,0.0711,0.0015,0.006
0.4617,0.1967,0.6923,0.0366,0.0695,-0.014,-0.0707
0.5431,0.3,0.75,0.0417,0.0789,0.0034,0.0136
0.5176,0.26,0.9286,0.0556,0.1048,0.0184,0.0794
0.4923,0.19,1,0.0471,0.0899,0.0146,0.0857
0.4248,0.2833,0.7692,0.045,0.0851,0.0035,0.0142
0.5208,0.1833,0.9231,0.0469,0.0892,0.0073,0.042
0.64,0.1867,1,0.0394,0.0758,0.0124,0.079
0.4553,0.4067,0.5556,0.0279,0.0532,-0.0042,-0.0147
0.4977,0.64,0.3846,0.0476,0.0847,0.0083,0.0154
0.4329,0.2467,0.6667,0.0433,0.0813,-0.0139,-0.0563
0.3146,0.26,0.4545,0.0226,0.0431,-0.0288,-0.125
0.5606,0.2533,1,0.0549,0.104,0.0238,0.1097
0.5839,0.4967,0.7143,0.0637,0.117,0.0342,0.0846
0.613,0.3567,0.8333,0.0498,0.0939,0.0199,0.0709
0.4544,0.2067,0.9091,0.0405,0.0775,0.0079,0.0439
0.4173,0.23,0.6923,0.0381,0.0723,-0.0107,-0.049
0.3529,0.1333,0.75,0.0338,0.0647,-0.0128,-0.088
0.4351,0.3067,0.6923,0.0423,0.0796,-0.0022,-0.0083
0.5447,0.2067,0.9167,0.0444,0.0846,0.009,0.0485
0.5524,0.7667,0.2143,0.0484,0.0789,0.003,0.0042
0.4483,0.37,0.5625,0.0471,0.087,-0.0127,-0.0366
0.5162,0.2667,0.8182,0.0396,0.0756,0.0061,0.028
0.3468,0.33,0.4545,0.025,0.0474,-0.0238,-0.0878
0.412,0.26,0.5385,0.0314,0.0593,-0.0246,-0.0998
0.4238,0.3367,0.4167,0.0254,0.0478,-0.0298,-0.1032
0.6132,0.2867,0.8182,0.0407,0.0776,0.0083,0.0361
0.5462,0.32,0.7692,0.0474,0.0893,0.0083,0.0307
0.3752,0.3567,0.5,0.0259,0.0493,-0.0151,-0.0556
0.4934,0.2333,0.9,0.0378,0.0726,0.0092,0.0489
0.4401,0.3933,0.4545,0.0276,0.0521,-0.0183,-0.0593
0.4005,0.4433,0.4167,0.0303,0.0565,-0.0195,-0.0547
0.4458,0.2867,0.6429,0.0413,0.0776,-0.0111,-0.0416
0.3293,0.38,0.3,0.0165,0.0312,-0.0341,-0.1166
0.5027,0.22,0.8571,0.0492,0.093,0.0052,0.0249
0.4534,0.31,0.5833,0.0335,0.0633,-0.0133,-0.0503
0.4363,0.21,0.7143,0.0412,0.0778,-0.0114,-0.054
0.465,0.43,0.4,0.0237,0.0447,-0.0195,-0.0612
0.5282,0.3267,0.8182,0.0431,0.0818,0.0131,0.0516
0.5378,0.32,0.9167,0.0514,0.0973,0.0234,0.0918
0.4595,0.4567,0.5,0.0368,0.0686,-0.0064,-0.0178
0.572,0.2833,0.8333,0.0448,0.0851,0.0099,0.0421
0.4569,0.41,0.6,0.0335,0.0635,4e-04,0.0013
0.521,0.2833,0.75,0.0407,0.0773,0.0015,0.0062
0.268,0.2633,0.5,0.0317,0.0596,-0.0309,-0.1189
0.4479,0.31,0.5,0.0242,0.0461,-0.0187,-0.0763
0.4565,0.3167,0.6429,0.0431,0.0807,-0.0074,-0.0259
0.6179,0.3333,0.8571,0.0571,0.1071,0.0215,0.0759
0.4921,0.1467,0.9231,0.0449,0.0857,0.0033,0.0225
0.5366,0.1667,0.9375,0.0568,0.1071,0.0073,0.042
0.6387,0.4533,0.8182,0.0526,0.0989,0.0322,0.0978
0.5253,0.2333,0.8462,0.046,0.0873,0.0056,0.0262
0.6259,0.2067,1,0.0556,0.1053,0.0185,0.0966
