"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC"
0.5444,0.2,0.8333,0.0595,0.1111,-0.001,-0.0046
0.588,0.38,0.7368,0.0718,0.1308,0.0174,0.0473
0.4541,0.6133,0.4583,0.0965,0.1594,0.0314,0.0476
0.6415,0.22,1,0.0751,0.1397,0.0248,0.1121
0.4365,0.1433,0.7895,0.056,0.1045,-0.0156,-0.0875
0.5699,0.1867,0.8889,0.062,0.1159,0.0042,0.021
0.41,0.2933,0.7,0.0636,0.1167,-0.0063,-0.0201
0.4998,0.3733,0.6667,0.0816,0.1455,0.0034,0.0083
0.4631,0.34,0.6667,0.0683,0.1239,-0.0035,-0.0098
0.4289,0.56,0.45,0.0692,0.12,0.005,0.009
0.5636,0.32,0.6667,0.0664,0.1207,-0.0076,-0.022
0.4859,0.2733,0.6667,0.0622,0.1138,-0.0163,-0.0528
0.483,0.3867,0.55,0.0591,0.1068,-0.0155,-0.0385
0.5482,0.28,0.7391,0.0749,0.136,-0.0037,-0.0118
0.5234,0.45,0.6667,0.0702,0.127,0.0207,0.0493
0.5045,0.43,0.619,0.0739,0.132,0.0079,0.018
0.6464,0.3533,0.9048,0.09,0.1638,0.0418,0.121
0.5103,0.2667,0.7391,0.0736,0.1339,-0.0065,-0.0211
0.4626,0.42,0.4783,0.0636,0.1122,-0.0267,-0.0574
0.5211,0.2133,0.8696,0.0791,0.1449,0.0051,0.0208
0.5368,0.2333,0.75,0.0625,0.1154,-0.0088,-0.0334
0.4557,0.3867,0.5909,0.0691,0.1238,-0.0086,-0.0208
0.5069,0.2167,0.8182,0.0723,0.1328,-0.0022,-0.0089
0.5325,0.3267,0.7727,0.0794,0.1441,0.0128,0.0369
0.5575,0.2267,0.75,0.062,0.1145,-0.0099,-0.0383
0.3134,0.2,0.5909,0.0533,0.0977,-0.0425,-0.1606
0.4538,0.37,0.4667,0.0372,0.069,-0.0261,-0.0759
0.4956,0.25,0.6364,0.0606,0.1107,-0.0268,-0.0893
0.5546,0.2,0.8333,0.0595,0.1111,-0.001,-0.0046
0.4603,0.2133,0.85,0.068,0.1259,0.0028,0.012
0.5309,0.2,0.8636,0.0742,0.1367,0.0019,0.0082
0.4782,0.1867,0.9091,0.0763,0.1408,0.0064,0.0302
0.6022,0.49,0.6667,0.0755,0.1356,0.0312,0.0692
0.5145,0.3567,0.7143,0.0743,0.1345,0.0088,0.024
0.4354,0.27,0.6522,0.0664,0.1205,-0.0217,-0.0676
0.4813,0.3633,0.5714,0.0619,0.1116,-0.0168,-0.0432
0.5404,0.3867,0.65,0.0684,0.1238,0.0036,0.0092
0.5233,0.2767,0.7647,0.0575,0.107,0.0018,0.0065
0.5389,0.78,0.2105,0.0727,0.1081,0.0154,0.0183
0.3754,0.32,0.5,0.0588,0.1053,-0.0442,-0.1138
0.4662,0.2033,0.8333,0.0784,0.1434,-0.0034,-0.0138
0.5004,0.2267,0.7368,0.0581,0.1077,-0.011,-0.0435
0.532,0.44,0.7,0.0795,0.1429,0.0263,0.0615
0.4732,0.76,0.1739,0.0702,0.1,-0.0104,-0.0118
0.5029,0.2067,0.7895,0.0602,0.1119,-0.0065,-0.0281
0.4388,0.4067,0.5714,0.0663,0.1188,-0.0076,-0.0179
0.5351,0.2333,0.95,0.0766,0.1418,0.021,0.0871
0.5205,0.15,0.8889,0.0595,0.1115,-0.0011,-0.0065
0.4054,0.1467,0.913,0.0764,0.1409,-7e-04,-0.0038
0.6021,0.32,0.9545,0.0938,0.1707,0.0429,0.1345
0.576,0.3333,0.7895,0.0711,0.1304,0.0161,0.049
0.5022,0.1833,0.8571,0.0692,0.1281,-0.0016,-0.0077
0.5608,0.3633,0.7273,0.0796,0.1435,0.013,0.0343
0.4393,0.69,0.25,0.0741,0.1143,-0.0104,-0.0133
0.5475,0.29,0.8095,0.0752,0.1377,0.011,0.0358
0.3536,0.3667,0.4444,0.0426,0.0777,-0.0358,-0.0952
