"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sparcl1",1.37551687696492e-222,-1.25785997660678,0.907,0.98,2.66698967274728e-218
"Hs3st4",5.41439853983299e-217,-2.28048670679533,0.394,0.713,1.04979773288822e-212
"Nptxr",4.08704857620443e-198,1.32628477355327,0.994,0.701,7.92437848440276e-194
"Cck",5.21508164166771e-198,1.44045677133851,0.991,0.628,1.01115217950295e-193
"Cnr1",2.29767496295822e-197,1.4386711270619,0.959,0.489,4.45496198567968e-193
"Tle4",1.13918829813812e-195,-2.19414555945339,0.316,0.718,2.20877219126e-191
"Rprm",2.85411277301511e-191,-3.21056790047725,0.464,0.731,5.533839255599e-187
"Nrip3",1.05678212998027e-187,-1.93817535557842,0.429,0.741,2.04899487181875e-183
"C1ql3",4.72362100404057e-187,1.27977124322304,0.98,0.495,9.15862876473426e-183
"Foxp2",2.76130953639479e-185,-2.37081973081568,0.167,0.624,5.35390306011587e-181
"Nrn1",2.65656563243626e-183,1.33576549741857,0.983,0.703,5.15081510473066e-179
"Stum",5.89395875175755e-183,1.24780999008957,0.922,0.384,1.14277966237827e-178
"Ccdc12",1.71046128250497e-167,-1.49749923477891,0.821,0.907,3.31641338064889e-163
"Nxph3",9.3873324773666e-166,-1.98433428138193,0.175,0.626,1.82010989403661e-161
"Ajap1",1.18622769911663e-162,0.977658710846356,0.862,0.33,2.29997688581723e-158
"Sema5a",7.22035681347268e-160,-2.33563167992291,0.088,0.566,1.39995498256422e-155
"Rnf152",1.70906493148733e-158,-2.15048532174096,0.049,0.537,3.31370599566079e-154
"Syt6",2.39250964014303e-158,-2.05246659464503,0.065,0.537,4.63883694127331e-154
"Syt17",5.39590335168573e-147,0.95981112943578,0.83,0.324,1.04621170085835e-142
"Kcnab1",6.24960656685014e-146,1.04890565755906,0.912,0.442,1.21173621724657e-141
"Cpne5",1.65246822545741e-143,1.01206387934763,0.892,0.404,3.20397064233937e-139
"Ramp3",2.84930640058784e-143,-1.51509207489759,0.503,0.803,5.52452018009977e-139
"Crym",7.91428003405793e-143,-1.6322981865886,0.687,0.861,1.53449975580349e-138
"Srgap3",3.62370293850195e-141,0.913564012847655,0.957,0.528,7.02599762746143e-137
"Rimbp2",2.5866311584105e-140,0.968268693151691,0.967,0.643,5.01521915304212e-136
"Slc24a3",2.38304992528408e-137,1.33139008369932,0.729,0.269,4.62049550013331e-133
"Syn1",5.27106067158159e-135,0.612239389784478,0.998,0.992,1.02200595361295e-130
"Mgat4c",3.19424281801453e-131,-1.57939227049146,0.357,0.711,6.19331739984838e-127
"Rapgef5",1.33490189965886e-130,0.942146421914159,0.945,0.569,2.58824129324856e-126
