"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"C1ql3",3.28019915602336e-97,1.37177565510847,0.976,0.512,6.3599781436137e-93
"Nptxr",1.05838441712109e-96,1.37858739326802,0.991,0.712,2.05210154635608e-92
"Cnr1",2.00032954829871e-92,1.42439800645815,0.933,0.507,3.87843896119637e-88
"Stum",1.08959564413869e-87,1.21954873000699,0.915,0.404,2.1126169944205e-83
"Syt17",1.2220558543533e-87,1.25935087476886,0.866,0.341,2.36944409600562e-83
"Hs3st4",2.17895099071708e-87,-1.85434258577326,0.419,0.7,4.22476807590136e-83
"Rprm",3.75721197520039e-85,-2.72356362901232,0.395,0.724,7.28485829871604e-81
"Tle4",5.39999535549256e-85,-1.94962031255238,0.343,0.702,1.04700509947645e-80
"Timp2",1.16161317384613e-79,1.14908101300006,0.988,0.815,2.25225178277026e-75
"Crym",4.20616127374416e-77,-1.49004492905032,0.748,0.852,8.15532609366255e-73
"Ccdc12",1.39895955373732e-76,-1.43086520883508,0.805,0.904,2.71244267874129e-72
"Sparcl1",1.84306129963619e-76,-0.936936270926186,0.948,0.976,3.57351155386461e-72
"Ckb",3.60776711209811e-75,-1.21854410700995,0.988,0.989,6.99509965364702e-71
"Ajap1",8.18491491198099e-73,1.05752429895259,0.842,0.35,1.58697315228399e-68
"6430548M08Rik",1.48870298888132e-72,1.04800205502673,0.918,0.641,2.88644622514199e-68
"Foxp2",2.8328719123587e-72,-1.91669233015504,0.237,0.605,5.49265535087228e-68
"Sema5a",1.32045993873278e-71,-2.01866721862745,0.088,0.549,2.56023977520898e-67
"Ubb",2.83392595064868e-71,-1.14755238530983,1,0.996,5.49469902571272e-67
"Dgkb",2.99201028157457e-71,1.12771353446303,0.921,0.581,5.80120873494494e-67
"Rtn4rl1",3.26705292963094e-70,0.882213096232709,0.784,0.3,6.33448892526143e-66
"Cck",8.69390052926051e-70,0.905473420836948,0.982,0.641,1.68566037361832e-65
"Rnf152",9.40307641607088e-70,-1.82950797893143,0.061,0.519,1.82316248631198e-65
"Nxph3",3.17936301981001e-69,-1.73726671477354,0.185,0.61,6.16446695910964e-65
"Nrip3",4.4053981379214e-69,-1.52062920200805,0.45,0.729,8.5416264496158e-65
"Rimbp2",1.74643868016642e-68,1.0251485933316,0.933,0.656,3.38616995697468e-64
"Syn2",7.07465509701016e-68,0.70423364776894,1,0.996,1.3717048767593e-63
"Syt6",7.27995478823228e-68,-1.78552289715647,0.07,0.52,1.41151043389036e-63
"Ndufa4",1.89425288569518e-67,-0.529903466528914,1,0.993,3.67276692007438e-63
"Ccl27a",2.52442209667257e-67,-1.04428141715739,0.942,0.97,4.89460200323845e-63
"Rapgef5",3.7062984577763e-66,0.944624574838808,0.939,0.583,7.18614207978247e-62
"Necab1",4.97701809660489e-66,1.0457424509777,0.933,0.7,9.64994038750723e-62
"Wnt4",3.78026699919462e-65,1.12944588268942,0.778,0.343,7.32955968473844e-61
"Ndufc2",7.50579726274345e-65,-0.85119453015585,0.973,0.975,1.45529903127333e-60
"Calm2",1.18226289793311e-64,-0.624328519251359,1,0.999,2.2922895328025e-60
"Kctd4",5.96539617194602e-64,0.918560854085861,0.881,0.432,1.15663066377861e-59
"Srgap3",1.19489101706747e-63,0.943099693501401,0.927,0.545,2.31677419299211e-59
"Fez1",1.15803660024221e-61,-0.895104050388071,0.909,0.933,2.24531716420961e-57
"Kcnab1",1.73527173937307e-61,1.00140335092574,0.872,0.461,3.36451837547044e-57
"Camk2d",1.84509361205331e-61,1.06043813809475,0.909,0.557,3.57745200441016e-57
"Mef2c",1.94624739987733e-61,0.74074699667109,1,0.999,3.77357908362215e-57
"Trim2",8.05699823183435e-61,0.678258900504986,0.997,0.989,1.56217138717036e-56
"Cpne5",1.65810626499711e-60,0.752724794475224,0.869,0.423,3.2149022372029e-56
"Fkbp3",2.60615283334771e-60,-0.685493268296133,0.979,0.977,5.05306972857788e-56
"Cox5a",4.72381798970939e-60,-0.760270311342726,0.979,0.981,9.15901070024753e-56
"Bhlhe22",9.92569614987282e-60,1.09695010413938,0.702,0.259,1.92449322649884e-55
"Mgst3",1.91869593465282e-59,-1.05472613602903,0.848,0.917,3.72015954769835e-55
"Fam19a1",1.95611630391018e-59,1.18569847934399,0.684,0.245,3.79271390165144e-55
"Slc24a3",7.72919412707302e-59,1.18920870659485,0.711,0.287,1.49861344929819e-54
"Ptprs",1.85722889859022e-58,0.654731577803312,1,0.985,3.60098111147657e-54
"Pcp4",3.18228881332223e-58,-1.56782211273923,0.769,0.892,6.17013978015047e-54
"Efhd2",1.08559415074557e-57,-1.1214884846868,0.939,0.974,2.10485849888058e-53
"Dctn3",8.48680882848658e-57,-0.710587329008532,0.967,0.973,1.64550736375526e-52
"Prdx1",2.97874655564655e-56,-1.08294867714587,0.897,0.938,5.77549169674309e-52
"Cpne7",8.30652687136659e-56,1.06662731955551,0.69,0.265,1.61055249508927e-51
"Rabac1",3.78314729328913e-55,-0.907202424056571,0.942,0.969,7.33514428695829e-51
"Cnih3",7.22749555563995e-55,0.863032124114443,0.942,0.766,1.40133911328303e-50
"Ldhb",2.77502416248114e-54,-1.20944059552982,0.863,0.936,5.38049434863468e-50
"Arpc3",4.90947686059961e-54,-0.828791193699134,0.973,0.972,9.51898468501659e-50
"Park7",5.26924495963914e-54,-0.78461831937005,0.933,0.967,1.02165390522443e-49
"Nsg2",5.27588553269947e-54,0.51319658555787,1,0.999,1.0229414459351e-49
"Syt4",5.47031977134324e-54,0.656644308486641,1,0.998,1.06064030046574e-49
"Ramp3",7.17589855537017e-54,-1.12850808828463,0.657,0.787,1.39133497090072e-49
"Scg5",9.07020188537854e-54,-0.779017546754775,0.985,0.98,1.75862144355605e-49
"Ddah1",1.94125927768759e-53,-1.68083580833096,0.152,0.53,3.76390761350848e-49
"Fras1",2.57439583293598e-53,0.801242247663964,0.693,0.274,4.99149608047957e-49
"Tagln3",2.65754323022775e-53,-0.808756699493732,0.997,0.99,5.15271056908859e-49
"Col12a1",3.64161201064739e-53,-1.67399428275686,0.109,0.496,7.06072152744422e-49
"Sla",4.3672192881195e-53,-1.35477395304834,0.049,0.423,8.4676014777349e-49
"Stmn1",9.67728395679537e-52,-0.745421460713482,1,0.997,1.87632858638305e-47
"Ntng1",2.79448982679571e-51,1.11333386198558,0.65,0.245,5.4182363251742e-47
"Fhl1",3.61195008640608e-51,0.818037305339909,0.787,0.371,7.00321002253275e-47
"Nrn1",4.53326328797243e-51,0.874685202362336,0.973,0.713,8.78954418904974e-47
"Lingo1",5.70411209458923e-51,0.647121477377498,1,0.965,1.10597029401991e-46
"Tmem178",5.85682254589406e-51,-1.08792170819442,0.657,0.807,1.1355793234234e-46
"Atp6v1f",1.90188951525516e-50,-0.568226929008314,0.997,0.984,3.68757358112824e-46
"Camk2n1",3.0264585863883e-50,0.735381143446905,1,0.993,5.86800055314828e-46
"Nwd2",3.51318437374644e-50,0.893970799646556,0.894,0.556,6.81171318225697e-46
"Prdx5",4.92519643982166e-50,-0.571908770145788,0.988,0.982,9.54946337717021e-46
"Mgat5",7.41712175289579e-50,0.793119422905352,0.891,0.516,1.43810573666896e-45
"Unc5d",1.55936274714858e-49,0.764373357137134,0.605,0.217,3.02344843044638e-45
"Psmb5",2.37577792846667e-49,-0.905670758103835,0.869,0.925,4.60639582550402e-45
"Mdh1",2.70428592609043e-49,-0.941869339685659,0.991,0.988,5.24333998209674e-45
"Trbc2",3.99115085203395e-49,-1.45423301413895,0.48,0.703,7.73844238700863e-45
"Pcdh15",4.55351233681595e-49,0.695987581402004,0.833,0.427,8.82880506985245e-45
"Plxna4",8.47170425133857e-49,0.851434987528688,0.915,0.615,1.64257873729203e-44
"Rab26",1.23382735514297e-48,-0.923540590035199,0.772,0.851,2.39226785888671e-44
"Ptprk",1.68444689506778e-48,0.659723852539414,0.748,0.346,3.26597408484692e-44
"Clmn",1.99659497658415e-48,0.913121357506604,0.772,0.406,3.87119800009901e-44
"Tenm4",2.33529409533475e-48,0.765795002124937,0.957,0.699,4.52790172144455e-44
"Slc4a3",3.51048537996395e-48,0.753871200674299,0.933,0.647,6.80648010321211e-44
"Pitpnc1",3.61098000162873e-48,-1.47280859122477,0.301,0.634,7.00132912515794e-44
"H3f3a",4.64100894308242e-48,-0.494585731737998,1,0.987,8.9984522397425e-44
"Prdx2",5.28392006385314e-48,-0.724591757331717,0.982,0.976,1.02449926118049e-43
"Bex2",8.7939165028384e-48,-0.48922213894793,1,0.995,1.70505247073534e-43
"Adora1",9.6484246294267e-48,-0.931930371511672,0.805,0.888,1.87073305139954e-43
"Adamts18",1.52537813372377e-47,0.942951919263116,0.489,0.141,2.95755566347702e-43
"Pgbd5",1.57541884305782e-47,0.678150746058763,0.982,0.856,3.05457959480481e-43
"Atp5f1",2.98169849557087e-47,-0.739147644214263,0.988,0.986,5.78121521306236e-43
"Plcb4",3.09350276847345e-47,-1.28799044917865,0.398,0.688,5.99799251779317e-43
"Rprml",3.65141203684844e-47,-0.846767960116024,0.939,0.957,7.07972279824544e-43
"Nell1",4.27960034524103e-47,0.930491206425516,0.538,0.177,8.29771710938783e-43
"Atp5h",5.20818695628508e-47,-0.515755201508775,0.994,0.991,1.00981536895411e-42
"Gpc6",5.22437763565402e-47,0.703407588971748,0.574,0.205,1.01295457977696e-42
"App",9.92050045290347e-47,0.426665026556977,1,0.999,1.92348583281345e-42
"Trp53i11",1.42055156370072e-46,0.580127259148532,0.757,0.366,2.75430742685932e-42
"Nectin1",1.42164073635507e-46,0.999031492813325,0.578,0.207,2.75641922371885e-42
"Ntm",2.46691433651572e-46,0.775318642527423,0.97,0.732,4.78310020707032e-42
"Sccpdh",3.25680751682883e-46,0.96661740997098,0.799,0.552,6.31462409437942e-42
"Mgat4c",3.45400614754943e-46,-1.19842245040359,0.492,0.693,6.69697251948359e-42
"Ckmt1",3.87791895078432e-46,-0.92903431459334,0.805,0.884,7.51889705367571e-42
"Auts2",5.56080475564517e-46,0.707327966817581,0.982,0.792,1.07818443407204e-41
"Wls",1.11365389923592e-45,0.812951326828746,0.614,0.235,2.15926354522852e-41
"Unc5c",1.26646762541259e-45,0.762570111041227,0.717,0.322,2.45555407891248e-41
"Cntnap5a",1.52533628698524e-45,0.899887798499099,0.644,0.262,2.95747452683569e-41
"Thsd4",1.6747593482886e-45,0.727693859566658,0.368,0.078,3.24719090039677e-41
"Zfpm2",1.77930712233964e-45,-1.159922827991,0.207,0.566,3.44989857950434e-41
"Nkiras1",2.24867406791516e-45,-0.777524478995919,0.906,0.934,4.35995415028069e-41
"Ppia",3.09550262340788e-45,-0.616182271429547,1,0.995,6.00187003652554e-41
"Dad1",3.20192209024475e-45,-0.662226122359645,0.939,0.953,6.20820674077554e-41
"Psmb3",6.53618207895399e-45,-0.985359888511123,0.705,0.825,1.26730034328839e-40
