"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ajap1",0,1.07339488500744,0.73,0.246,0
"C1ql3",0,1.38664899777743,0.896,0.407,0
"Camk2n1",0,0.890057561351032,1,0.992,0
"Ccdc12",0,-1.30086027861715,0.837,0.922,0
"Cck",0,1.49378968540547,0.911,0.567,0
"Cnr1",0,1.52188114180704,0.871,0.405,0
"Col12a1",0,-1.73656536249512,0.163,0.588,0
"Cpne5",0,1.05449020719972,0.784,0.323,0
"Crym",0,-1.11444152766252,0.755,0.88,0
"Epha4",0,1.12619483235059,0.953,0.784,0
"Fam19a1",0,1.32125606268795,0.596,0.149,0
"Foxp2",0,-1.58848553626521,0.266,0.701,0
"Hs3st4",0,-1.37644886366919,0.461,0.767,0
"Kcnab1",0,1.00276472610422,0.819,0.361,0
"Lmo3",0,-1.10655666225761,0.598,0.878,0
"Mef2c",0,0.934400475612641,1,0.999,0
"Nptxr",0,1.36519949902553,0.952,0.645,0
"Nrn1",0,1.36258172614172,0.899,0.663,0
"Nsf",0,0.5857644591945,1,0.996,0
"Ntm",0,1.24398202329246,0.938,0.675,0
"Nwd2",0,1.0991649728139,0.86,0.471,0
"Nxph3",0,-1.32194225735913,0.275,0.701,0
"Rapgef5",0,0.999433506624769,0.878,0.501,0
"Rimbp2",0,1.12593823879114,0.92,0.582,0
"Rnf152",0,-1.79374960059313,0.148,0.62,0
"Rprm",0,-2.13096597066789,0.503,0.782,0
"Sema5a",0,-1.68277624152548,0.181,0.65,0
"Slc30a3",0,1.35992387451135,0.716,0.204,0
"Srgap3",0,1.10564725000641,0.886,0.45,0
"Stum",0,1.39772960041293,0.814,0.291,0
"Syt17",0,1.04913507454339,0.715,0.241,0
"Syt4",0,0.70279677836936,1,0.998,0
"Syt6",0,-1.4863332118017,0.158,0.619,0
"Tle4",0,-1.60608663903548,0.412,0.782,0
"Vstm2l",0,1.35456184325879,0.661,0.228,0
"Nrip3",1.31935290065446e-319,-1.1159956111522,0.49,0.795,2.55809333907894e-315
"Lingo1",4.52707911116375e-315,0.7188669041752,0.996,0.956,8.7775536886354e-311
"6430548M08Rik",1.50932814950319e-311,0.986083051479482,0.886,0.572,2.92643634907174e-307
"Wnt4",3.14974207727642e-306,1.10852940328989,0.677,0.253,6.10703491363126e-302
"Rab3c",1.84136321116748e-305,1.11211688349333,0.96,0.843,3.57021913013263e-301
"Tenm4",3.75004069091527e-304,0.925777505242822,0.926,0.636,7.27095389561561e-300
"Slc2a13",6.01332579362778e-300,1.02188097241702,0.8,0.416,1.16592373812649e-295
"Slc24a3",2.39894767840072e-295,1.28409847113839,0.599,0.203,4.65131965365115e-291
"Syn2",5.65037862733013e-292,0.62424997922342,1,0.995,1.09555191205304e-287
"Slc39a10",2.9748388666425e-290,0.75269653499539,0.994,0.949,5.76791507853315e-286
"Ptprk",4.7447112170204e-289,0.815864465186042,0.674,0.256,9.19952057868085e-285
"Prdx1",1.76972137792636e-283,-0.906488077134295,0.903,0.947,3.43131277966142e-279
"Mgat4c",3.69658034566213e-282,-1.18804499428497,0.491,0.751,7.16729963220431e-278
"Auts2",1.99526777718484e-279,0.860582069636669,0.945,0.75,3.86862469318369e-275
"Unc5c",2.08190821854108e-278,0.815000382072937,0.644,0.234,4.03661184492931e-274
"Robo2",1.8840211930497e-277,0.997157677531394,0.823,0.47,3.65292869120405e-273
"Fbxw7",4.09301871498834e-275,0.641678306041655,0.999,0.978,7.93595398649089e-271
"Rtn4rl1",1.9864882062e-273,0.844249179864264,0.616,0.218,3.85160198300119e-269
"Trpc5",2.82392457944351e-271,0.791943778385285,0.526,0.151,5.47530736708302e-267
"Bhlhe40",1.14223028714262e-270,1.01974256719177,0.655,0.252,2.21467030374082e-266
"Ubb",4.73730502606983e-270,-0.850714597085839,1,0.995,9.1851607150468e-266
"Rabac1",2.05452489292271e-267,-0.76248407630424,0.96,0.971,3.98351831488784e-263
"Tmem178b",2.27717962301368e-266,0.879726337428124,0.861,0.516,4.41522357106123e-262
"Bcl11b",2.79797930651093e-264,-0.882713869617681,0.541,0.859,5.42500207739404e-260
"Necab1",4.70324299989274e-263,1.00183418384459,0.893,0.647,9.11911785249202e-259
"Efhd2",2.27861457340839e-261,-0.836159140032557,0.975,0.972,4.41800579638153e-257
"Ptgfrn",2.24058065917803e-260,0.882842752295935,0.37,0.063,4.34426184008028e-256
"Ptprs",2.32194583559748e-260,0.598962795148542,0.999,0.981,4.50202078063996e-256
"Sparcl1",7.57196543560831e-260,-0.65293338283572,0.955,0.981,1.46812837831009e-255
"Ttc3",2.22007351860952e-259,0.365278683705775,1,1,4.304500545232e-255
"Zbtb18",1.79172079771309e-257,0.682949088329578,0.991,0.957,3.47396745468591e-253
"Ramp3",4.43346685179564e-257,-0.992309976885584,0.666,0.821,8.59604887894656e-253
"Lmo1",7.77226412654833e-257,-1.43167587115158,0.37,0.669,1.50696429149645e-252
"Camk2d",2.83721727557022e-256,1.02962301707201,0.825,0.484,5.5010805756031e-252
"Cnih3",3.94464362011593e-255,0.861385230467245,0.913,0.725,7.64826951504278e-251
"Ntng1",4.63798918571134e-255,0.970114440823503,0.536,0.167,8.99259723217571e-251
"Ptma",1.46359153342895e-253,-0.484436363444877,0.998,0.995,2.83775762416539e-249
"Syt1",1.44952893778849e-252,0.465026373624911,1,1,2.81049165747811e-248
"Kcnb2",2.24466102981293e-250,0.95644385512195,0.805,0.482,4.35217327070429e-246
"Bhlhe22",2.41160350336059e-249,0.653722519733613,0.545,0.185,4.67585803266584e-245
"Pkib",2.9800431982934e-248,1.10776136733994,0.658,0.289,5.77800575717108e-244
"Calm2",3.52271468242422e-248,-0.503478774642156,1,0.999,6.83019149775233e-244
"Gpc6",3.6338250365249e-248,0.872802330669268,0.479,0.13,7.04562336331813e-244
"Park7",4.22021396774438e-248,-0.639011137774871,0.965,0.966,8.18257286205958e-244
"Car10",6.31535613496433e-245,0.936948709289719,0.877,0.675,1.22448440100823e-240
"Timp2",1.5595531740783e-244,0.959008413715731,0.93,0.785,3.02381764922042e-240
"Wls",2.26276743644468e-244,0.892493580976263,0.518,0.158,4.38727978252259e-240
"Dgkb",3.42462022672519e-243,1.00428490593468,0.828,0.515,6.63999615759747e-239
"Uchl1",1.05494731896922e-242,-0.685029765805346,0.997,0.994,2.04543735674942e-238
"Ddah1",2.09472949098917e-242,-1.28654617760919,0.243,0.608,4.06147101007891e-238
"Bok",5.60184724574889e-240,1.07326792568385,0.715,0.363,1.08614216247825e-235
"Tmem178",1.3990128155594e-239,-0.885448102307786,0.694,0.837,2.71254594808812e-235
"Nfib",1.94992325204741e-239,-0.637168287647158,0.884,0.963,3.78070619339472e-235
"Ckb",2.2526642863561e-239,-0.856672066947219,0.988,0.989,4.36769078481585e-235
"Plcb4",2.98814937861704e-238,-1.10408035778496,0.494,0.739,5.79372283020059e-234
"Cdh10",3.58313256848652e-237,0.874451458519114,0.778,0.418,6.94733573703851e-233
"Ndn",5.01881169046126e-237,-0.858116040119296,0.978,0.976,9.73097398663534e-233
"Arpc3",1.05803710229704e-236,-0.684686203149195,0.973,0.971,2.05142813764374e-232
"Nell1",1.70867413980965e-236,0.842808041951218,0.435,0.108,3.31294828967693e-232
"Sla",5.07498075325903e-236,-1.10701757586687,0.138,0.501,9.83988018249394e-232
"Ndufa4",5.34207162081056e-236,-0.432589474120937,0.998,0.992,1.03577426655896e-231
"Fez1",1.71310154548376e-235,-0.72431810085543,0.901,0.943,3.32153258653847e-231
"1190002N15Rik",1.87388400310933e-230,0.798220231206527,0.665,0.285,3.63327369362867e-226
"Lhx2",3.52723405428915e-229,1.00909785344056,0.467,0.134,6.83895410786124e-225
"Nectin1",3.91458221542652e-229,0.991049720738052,0.472,0.137,7.58998345749048e-225
"Mgat5",6.26863071608364e-229,0.835223978544087,0.799,0.44,1.21542480954146e-224
"Ttc9b",6.47623829999662e-228,-0.763837083232813,0.994,0.984,1.25567784398635e-223
"Ndufc2",9.60109065409024e-228,-0.601185960151948,0.974,0.976,1.86155546692156e-223
"Nfia",1.69005696659245e-227,-1.12469399088446,0.518,0.761,3.27685145252611e-223
"Gapdh",4.53724202054864e-227,-0.904788499423408,0.993,0.989,8.79725855364176e-223
"Pcdh15",1.49883400874551e-226,0.868564277100581,0.72,0.349,2.90608925955667e-222
"Cox5a",2.10213985125834e-226,-0.550900143758444,0.988,0.979,4.0758389576048e-222
"Ifi27",4.85810627779634e-226,-1.17540311375941,0.282,0.623,9.41938226201933e-222
"Dkkl1",6.54535695576216e-226,1.05607505419613,0.566,0.213,1.26907926015273e-221
"Camk2a",7.91496528875866e-226,0.633686155497454,0.996,0.978,1.53463261983742e-221
"Fndc5",2.24231371387198e-225,0.914204005253064,0.672,0.307,4.34762205982638e-221
"Fam126b",2.46270103733764e-225,0.602079493569832,0.993,0.967,4.77493104129396e-221
"Myl6",8.05987370078268e-224,-0.512617985331399,0.997,0.989,1.56272891184475e-219
"Fat3",1.37534470483284e-221,0.994853713080338,0.717,0.511,2.66665584820039e-217
"Cacna1g",3.57551685280076e-221,0.793996391310604,0.627,0.259,6.9325696258954e-217
"Pgbd5",4.25397958991916e-221,0.668166624505683,0.963,0.826,8.24804102689427e-217
"Syn1",1.37416687567243e-220,0.487240728226508,0.997,0.991,2.66437215524127e-216
"Nsg2",2.60821827137114e-220,0.434504350122014,1,0.998,5.05707440636149e-216
"Mdh1",1.54568842131198e-217,-0.736400429226662,0.995,0.986,2.99693528008179e-213
"Atp1b2",1.94439948134538e-217,1.0564422627468,0.691,0.387,3.76999615438056e-213
"Pcp4",2.5830200809854e-216,-1.12180489192572,0.854,0.899,5.00821763502259e-212
"A830036E02Rik",4.55485675438818e-216,0.915371813251137,0.446,0.126,8.83141176108324e-212
"Ldhb",9.85671438684768e-216,-0.857366814620906,0.913,0.94,1.9111183524659e-211
"App",5.63197310491908e-215,0.395974559180502,1,0.999,1.09198326531276e-210
"Efna5",1.6177198820186e-214,0.899563034808215,0.602,0.246,3.13659707924586e-210
"Bdnf",3.97423723457996e-214,1.40002887645279,0.643,0.318,7.70564857412709e-210
"Rab26",8.24089132089497e-214,-0.75143272725852,0.8,0.864,1.59782641820833e-209
"Fam212b",8.98144089581536e-214,0.757439415695304,0.869,0.62,1.74141157528964e-209
"Kctd4",3.8002857987045e-213,0.69524742441795,0.724,0.356,7.36837413510815e-209
"Ndufa11",3.9058629081458e-213,-0.593572093093002,0.935,0.964,7.57307759260390e-209
"R3hdm1",1.23326382601971e-212,0.750775426880404,0.998,0.986,2.39117523226961e-208
"Slc4a3",4.84913576379123e-212,0.729324774120768,0.874,0.584,9.40198933241481e-208
"Mgst3",5.32066608106641e-212,-0.716996108420977,0.881,0.925,1.03162394645797e-207
"Hrh3",5.63591019946762e-212,0.981228313146419,0.685,0.336,1.09274662857478e-207
"Edil3",9.87072638987931e-212,0.678244257010483,0.777,0.415,1.9138351397337e-207
"Hpca",1.51573994475322e-211,0.839306612605845,0.943,0.823,2.93886817888201e-207
"Bsn",5.98231503106004e-211,0.599846854417204,0.992,0.952,1.15991106137223e-206
"Itm2c",4.30029587623126e-210,-0.499092247006108,0.999,0.997,8.33784367442478e-206
"Tspan17",6.65330089090068e-210,0.772928146909184,0.79,0.451,1.29000850973673e-205
"Cpne7",3.27137779250725e-209,0.664472434168995,0.53,0.197,6.3428744018923e-205
"Psmb5",5.97199973277677e-209,-0.720767517378826,0.898,0.931,1.15791102818809e-204
"Syndig1",1.65497684626275e-208,0.711110006510376,0.443,0.129,3.20883460721885e-204
"Stmn1",1.78517706228146e-208,-0.579894998625611,0.998,0.997,3.46127980605752e-204
"Rtn4r",7.52531152290029e-208,0.787902079590663,0.781,0.441,1.45908265117514e-203
"Fhl1",5.47315223744345e-207,0.736528317596916,0.656,0.295,1.06118948731791e-202
"Tenm2",5.23239361002518e-206,0.770810655601763,0.935,0.782,1.01450879704778e-201
"Dnajc21",5.83991850118325e-206,0.999495406922916,0.76,0.522,1.13230179819442e-201
"Cxcl12",4.04129480861565e-205,-1.18470611487362,0.391,0.669,7.83566650442489e-201
"Arpp21",4.27381533929312e-205,0.576038284942076,1,0.996,8.28650056135542e-201
"Kcnq3",9.37070596477468e-205,0.792268036834201,0.941,0.873,1.81688617951016e-200
"Stxbp1",1.06216680058796e-204,0.393679671854977,1,0.997,2.05943520965999e-200
"Psma6",1.42198957118565e-204,-0.740400168774275,0.766,0.868,2.75709557957187e-200
"Myl12b",3.94419004558505e-203,-0.574183514362296,0.982,0.978,7.64739007938486e-199
"Bsg",7.82795005820885e-203,-0.505194262036702,0.995,0.988,1.51776123678611e-198
"Sox9",1.67727417018906e-202,1.07946860044341,0.419,0.116,3.25206688857957e-198
"Etv6",6.15935151557108e-202,0.744012162925745,0.535,0.197,1.19423666535408e-197
"Nr2f1",8.62298063822477e-202,0.746672502682935,0.943,0.784,1.6719097159454e-197
"Kcnip4",4.40720697542054e-201,0.752813962418345,0.838,0.525,8.54513360464289e-197
"Pdzrn4",1.18436395850515e-199,-1.00942082596354,0.378,0.652,2.29636327914563e-195
"Adora1",1.21201453441934e-199,-0.68612264326494,0.852,0.896,2.34997498078565e-195
"H3f3a",8.33319230559714e-199,-0.460433291395524,0.99,0.986,1.61572265613223e-194
"Scg5",9.75421667106262e-199,-0.600777744257077,0.982,0.98,1.89124507035233e-194
"Slc6a17",1.30044248752713e-196,0.601097620517221,0.987,0.949,2.52142793906635e-192
"Prdx2",5.57766912825656e-196,-0.596249518818976,0.977,0.975,1.08145426727766e-191
"Glra2",8.47329060050135e-196,-1.02710592070572,0.27,0.576,1.64288631453121e-191
"Slc16a2",1.03208951023672e-195,0.660939124609147,0.637,0.288,2.00111835139798e-191
"Nyap2",1.20208480309392e-195,0.768285116462502,0.806,0.5,2.3307222247188e-191
"Psmb2",8.28918743179153e-195,-0.760834984536895,0.707,0.829,1.60719055115006e-190
"Tmsb10",2.06055917987668e-193,-0.81921277621472,0.957,0.972,3.9952181938629e-189
"Atp5c1",1.12201811836766e-192,-0.537458595369899,0.987,0.979,2.17548092970306e-188
"Cacna2d3",5.5680310282719e-192,0.577694316610485,0.5,0.188,1.07958553607164e-187
"Gabra2",1.06596881078643e-190,0.636810477930919,0.844,0.525,2.0668069272338e-186
"Rwdd2a",4.04982234255407e-190,-1.02671555742274,0.441,0.675,7.85220053997809e-186
"Sccpdh",6.57114309620405e-190,0.935563320739818,0.744,0.5,1.274078934923e-185
"Man1a",1.18445976383015e-189,0.735422492465702,0.618,0.275,2.29654903609027e-185
"Ccl27a",1.32743426236719e-189,-0.687190228113813,0.967,0.969,2.57376229130375e-185
"Htr2a",1.00660774238125e-188,0.851842222720045,0.395,0.109,1.951711751703e-184
"Ppia",1.77712487109639e-188,-0.501786181285927,0.997,0.995,3.44566741256879e-184
"Garnl3",2.00712316565301e-188,-0.955658156806977,0.661,0.777,3.89161110588463e-184
"Gucy1a1",4.22031121505062e-188,0.648100333515479,0.7,0.353,8.18276141486164e-184
