"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pou3f1",9.78841073265973e-94,2.18053204142287,0.375,0.072,1.89787495695539e-89
"Atp1b1",7.04106155728533e-79,0.427768323514424,1,0.999,1.36519142534205e-74
"Bcl11b",1.39116107607197e-72,0.895040167474987,0.995,0.77,2.69732221039595e-68
"Ina",6.45612973653358e-69,0.777840095072662,0.997,0.975,1.2517789946165e-64
"Camk2d",9.34379013938853e-67,-2.01969518846295,0.204,0.585,1.81166747012604e-62
"Crym",7.66406134880999e-66,0.765880164337341,1,0.842,1.48598485492077e-61
"Olfm1",2.71785856457023e-65,-0.490200324201033,1,0.999,5.26965597084522e-61
"Adamts2",1.27318168794052e-63,1.10347403734565,0.318,0.047,2.46857197474788e-59
"Pex5l",9.38700664995879e-63,1.13304760605665,0.829,0.685,1.82004671936051e-58
"Nrn1",1.77189386595518e-62,-1.77898188184892,0.628,0.726,3.43552501670051e-58
"Pcdh10",1.33754958507635e-61,-0.807328224478572,0.886,0.978,2.59337489050454e-57
"Fam84b",4.02270689023414e-61,0.930885777068233,0.282,0.038,7.79962638947497e-57
"Bcl6",4.34226956814847e-57,1.02863643587967,0.297,0.05,8.41922646568306e-53
"Car10",8.47392154105306e-56,-1.37332806753238,0.447,0.738,1.64300864759478e-51
"Nrip3",6.19616588780646e-53,0.597665173669147,0.982,0.708,1.20137460398679e-48
"Igfbp4",3.88634113539997e-52,1.45016032136222,0.558,0.236,7.53522682742701e-48
"Fezf2",6.230291460695e-49,0.819222678624018,0.93,0.701,1.20799121131415e-44
"Gprc5b",2.29109902744308e-48,0.726114893145397,0.279,0.045,4.44221190430939e-44
"Nfia",1.95682957500379e-47,0.668725794601251,0.959,0.689,3.79409686297486e-43
"Ptprk",3.41290327391291e-47,-1.44207822299488,0.075,0.373,6.61727815778974e-43
"Gap43",6.57512193566905e-47,0.458629476816397,1,0.994,1.27485039210687e-42
"Sorbs2",3.24956241447572e-45,-0.746742760584586,0.948,0.96,6.30057656542697e-41
"Necab1",1.96888671169096e-44,-1.19346982226781,0.61,0.713,3.81747444529761e-40
"Lypd1",5.41682431781972e-44,1.01360904502864,0.871,0.558,1.05026806698207e-39
"Camk2n2",2.08069520483947e-43,-1.53039652445356,0.279,0.543,4.03425993266324e-39
"Pcdh15",1.08234564296188e-42,-1.28502382980674,0.181,0.453,2.09855996713879e-38
"Parm1",5.48115483882758e-42,0.896304136817432,0.765,0.463,1.06274111170028e-37
"Cdh13",1.85637307793833e-41,0.556726452240205,0.959,0.692,3.59932176081463e-37
"Fam126a",7.13081911777948e-41,0.940839461386936,0.406,0.169,1.38259451874626e-36
"Dscaml1",1.16693974443381e-40,0.747945218739237,0.77,0.456,2.26257947048272e-36
"3100002H09Rik",2.08967375521734e-40,0.430542759306185,0.142,0.009,4.0516684439909e-36
"Elmod1",5.89516419720968e-40,0.482771559879505,1,0.981,1.14301338619699e-35
"Vat1l",2.85739231525656e-39,1.01260300812652,0.455,0.265,5.54019796005095e-35
"Nwd2",4.95152168001439e-39,-1.18067860559216,0.429,0.574,9.6005053853799e-35
"Neurod6",7.14795600156886e-39,-0.559833468880543,0.827,0.953,1.38591718914419e-34
"Calm1",5.08921140759859e-38,0.339375491118534,1,1,9.8674719981929e-34
"Gm19410",5.13683608823076e-38,0.87032968779049,0.537,0.262,9.95981149147061e-34
"Nfib",1.33385837995681e-37,0.50762024749864,1,0.941,2.58621801289825e-33
"L3mbtl4",7.22895241493179e-37,0.384741731460185,0.142,0.011,1.40162158373112e-32
"Lmo1",1.69494838097551e-36,0.395986375413476,0.884,0.582,3.28633541587341e-32
"Satb2",2.48120632720506e-36,-0.680082756069073,0.695,0.785,4.8108109478179e-32
"Cadps2",3.95814971465515e-36,0.753234836030068,0.85,0.578,7.67445648174488e-32
"Ccl27a",4.77452207443544e-36,0.470929739752919,1,0.967,9.25732085012287e-32
"Arl6ip1",8.56028551027069e-36,0.39916554257263,1,0.996,1.65975375758638e-31
"Cxcl12",1.36731420743791e-35,0.512633026465386,0.884,0.587,2.65108551680136e-31
