"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hsp90ab1",5.61101838558478e-140,0.751694210642375,1,0.999,1.08792035478103e-135
"Calm1",7.82279102688185e-131,0.518493963136319,1,1,1.51676095220212e-126
"Hsp90aa1",5.15372289921618e-127,0.635554730145088,1,0.999,9.99255332929026e-123
"Slc25a4",2.52902122445786e-116,0.70060162327178,1,0.993,4.90351925210134e-112
"Crym",1.2344308977869e-114,0.915558470595164,0.993,0.838,2.39343806771902e-110
"Psma4",2.03538992182444e-105,0.853603470457646,0.963,0.789,3.9464175194254e-101
"Plcb4",1.27591811362805e-101,0.971916620159688,0.936,0.66,2.47387763051342e-97
"mt-Co1",4.13242421329742e-101,-0.379587288117587,1,1,8.01235730716236e-97
"Cyr61",5.0159453625074e-101,1.39940969632695,0.783,0.381,9.72541646336559e-97
"Ndn",1.11622441341865e-98,0.856383142437118,0.997,0.975,2.16424751517742e-94
"Ifi27",9.85966079176113e-97,0.907565581607646,0.894,0.513,1.91168963091457e-92
"mt-Co2",3.04146234647171e-95,-0.427837604024107,1,1,5.897091343574e-91
"C1ql3",1.22926689340152e-94,-1.76211940997159,0.388,0.539,2.38342557961621e-90
"mt-Nd1",2.80675054564467e-93,-0.466150552253443,1,1,5.44200863295045e-89
"Dusp1",3.27298526846378e-93,1.08631415824643,0.941,0.732,6.34599113702442e-89
"mt-Atp6",3.69742882380987e-93,-0.413968412643689,1,1,7.16894474648495e-89
"Ubb",2.98589088171459e-92,0.759954285061912,1,0.996,5.78934383055643e-88
"Lsp1",8.12721937721743e-92,0.963484366931036,0.656,0.249,1.57578656504869e-87
"Itm2b",9.60493893910109e-92,0.699619042591732,1,0.992,1.86230161090231e-87
"Ppp1r1b",9.68139311462334e-92,0.873636720843644,0.876,0.512,1.87712531099432e-87
"Uchl1",2.56157372245852e-91,0.644208460726001,1,0.994,4.96663529047482e-87
"Npas4",4.1625249748091e-91,1.02370108248208,0.92,0.664,8.07071967365736e-87
"Rwdd2a",6.97347139087575e-91,0.892325018507904,0.904,0.596,1.3520863679769e-86
"Tuba1a",2.89905523852465e-90,0.856641690537391,1,0.989,5.62097820197544e-86
"mt-Nd2",6.23903363244118e-90,-0.41033603949595,1,1,1.20968623099402e-85
"Rtn1",4.44019362082324e-89,0.38966276705707,1,1,8.60909141141418e-85
"Arc",6.13515508787859e-89,0.910695534759831,0.974,0.774,1.18954521998878e-84
"Nptxr",7.56151346980457e-89,-1.80580407585243,0.612,0.729,1.46610184666041e-84
